feature,mean_abs_shap
ncbi_244127,5387198981416.507
ncbi_1678,4525118149428.79
ncbi_1263,4525118149428.774
ncbi_836,2693599490708.3047
ncbi_1284678,2693599490708.1963
ncbi_580596,2693599490708.1943
ncbi_416916,2693599490708.1924
ncbi_102106,389708624964.5989
ncbi_1485,389708624964.598
ncbi_29521,389708624964.5952
ncbi_713,389708624964.59283
ncbi_1257,0.403000088978731
ncbi_848,0.07112147361495451
ncbi_543311,0.046177464536386034
ncbi_1730,0.03988519147220187
ncbi_123375,0.03703758647999107
ncbi_572511,0.03405157286039899
ncbi_29465,0.022523271690060482
ncbi_189330,0.02093030508741409
ncbi_1301,0.020184884559982835
ncbi_644652,0.019584800804443064
ncbi_239934,0.018060510030238622
ncbi_561,0.01790369991815889
ncbi_906,0.01786111856663373
ncbi_816,0.01702245973426381
ncbi_33042,0.016640598293667062
ncbi_52225,0.01655355964651644
ncbi_1654,0.01618812549903485
ncbi_39948,0.015760457652801763
ncbi_642,0.015545605773429408
ncbi_1378,0.015327757064635626
ncbi_283168,0.014810759727517943
ncbi_841,0.014602092769423676
ncbi_239759,0.014497557760532274
ncbi_1357,0.014207361227146229
ncbi_207244,0.013933395069864492
ncbi_165779,0.01358781431981465
ncbi_459786,0.013002838022496464
ncbi_61170,0.012588068235432874
ncbi_581,0.012393816913609022
ncbi_830,0.012349982495389792
ncbi_2753,0.012327527043518085
ncbi_84111,0.012127892835314293
ncbi_419014,0.012023792926808092
ncbi_158846,0.011797323372637416
ncbi_577310,0.011334825614213772
ncbi_570,0.011305980315222595
ncbi_2172,0.01122128381884577
ncbi_286,0.011168346774522966
ncbi_80841,0.011113700882026997
ncbi_447020,0.011065273703741772
ncbi_544447,0.010954583325920931
ncbi_2316,0.010765080280257563
ncbi_1017280,0.010694496407844747
ncbi_194,0.010537847990563823
ncbi_46255,0.010345186364476172
ncbi_577309,0.010258614806640972
ncbi_32207,0.010113813846220713
ncbi_375288,0.010044881135170186
ncbi_547,0.010022231597587179
ncbi_196082,0.009957269289522896
ncbi_216851,0.009941039125357317
ncbi_846,0.009866904017483902
ncbi_40544,0.009586700984087374
ncbi_248744,0.009511300751273504
ncbi_2701,0.009438530627780368
ncbi_150022,0.00938137849771465
ncbi_292632,0.009270274721466189
ncbi_397864,0.009178732885011351
ncbi_544,0.00899606699469201
ncbi_724,0.008803201863902385
ncbi_162289,0.008761467559010359
ncbi_265975,0.008698291279974292
ncbi_1951303,0.008676746278246805
ncbi_118747,0.008599403887735538
ncbi_189971,0.008561783490407935
ncbi_2305133,0.00846125037820941
ncbi_1578,0.008416454496589152
ncbi_100883,0.00840201695374839
ncbi_1434006,0.00831335048053923
ncbi_191303,0.00826067794370501
ncbi_1380,0.008177289312185497
ncbi_1348911,0.00811779358112717
ncbi_1334011,0.008108680372924507
ncbi_638847,0.008098499597851732
ncbi_186928,0.00785356675201131
ncbi_264995,0.007751215848961116
ncbi_35832,0.0076653389983593
ncbi_117563,0.007565356782400256
ncbi_135858,0.0075507813686869945
ncbi_196081,0.00754483449302648
ncbi_1716,0.007504811263462407
ncbi_185291,0.007473131848594489
ncbi_1743,0.007440226119593419
ncbi_946234,0.007432146163425592
ncbi_1279,0.007379637186073576
ncbi_1350,0.007323695496745625
ncbi_674963,0.007252286558084493
ncbi_583,0.0072189237843497895
ncbi_156454,0.007158878952012873
ncbi_84113,0.007067754558334734
ncbi_46123,0.006920507210399434
ncbi_160674,0.00691912758854135
ncbi_39779,0.006887020524761954
ncbi_33024,0.006854077760457713
ncbi_1253,0.006785374847179885
ncbi_1895827,0.006735777949751211
ncbi_904,0.00671441198643382
ncbi_1243,0.006652378328811037
ncbi_1283313,0.006479974844786561
ncbi_84108,0.006431150813916015
ncbi_970,0.006384406447792151
ncbi_1411023,0.006371020172113444
ncbi_838,0.006356016747125462
ncbi_133925,0.00628314390056606
ncbi_156973,0.0062169198245158605
ncbi_872,0.005931706893744808
ncbi_86331,0.00591338538917954
ncbi_1696,0.005552559664646354
ncbi_568,0.005519324644275331
ncbi_538,0.005332839062059788
ncbi_32067,0.005245568884610501
ncbi_620,0.005131984909234015
ncbi_157,0.004954620598747968
ncbi_44259,0.004811513209938413
ncbi_698776,0.004683811635361373
ncbi_1507525,0.0044368243671537985
ncbi_36866,0.004365199896668346
ncbi_184869,0.004215285740027284
ncbi_177971,0.004163008338955778
ncbi_1279384,0.003826884499071608
ncbi_433334,0.002758158037604185
ncbi_209,0.0025249513506202022
ncbi_400634,0.0018359016813270237
ncbi_180162,0.0017439875099133947
ncbi_2160,0.001466878597523387
ncbi_413496,0.0013195603642782293
ncbi_200630,0.0
ncbi_43996,0.0
ncbi_207769,0.0
