ncbi_1678,ncbi_84111,ncbi_397864,ncbi_1301,ncbi_1185408,ncbi_189330,ncbi_841,ncbi_216851,ncbi_78119,ncbi_118966,ncbi_872,ncbi_574899,ncbi_816,ncbi_1263,ncbi_1485,ncbi_1159323,ncbi_239759,ncbi_283168,ncbi_28050,ncbi_580596,ncbi_204475,ncbi_44748,ncbi_292632,ncbi_151037,ncbi_420345,ncbi_970,ncbi_838,ncbi_61170,ncbi_1350,ncbi_978,ncbi_286,ncbi_1253,ncbi_102106,ncbi_32207,ncbi_33870,ncbi_638847,ncbi_375288,ncbi_1380,ncbi_46123,ncbi_244127,ncbi_1386,ncbi_1654,ncbi_46255,ncbi_990721,ncbi_241189,ncbi_100175,ncbi_508459,ncbi_117563,ncbi_118747,ncbi_577309,ncbi_1578,ncbi_830,ncbi_100883,ncbi_39948,ncbi_239934,ncbi_574697,ncbi_482,ncbi_177971,ncbi_40544,ncbi_133925,ncbi_131079,ncbi_156973,ncbi_836,ncbi_222991,ncbi_437755,ncbi_158846,ncbi_33024,ncbi_1243,ncbi_264995,ncbi_33042,ncbi_135858,ncbi_35832,ncbi_543311,ncbi_84108,ncbi_162289,ncbi_904,ncbi_1073,ncbi_194,ncbi_172900,ncbi_963,ncbi_864,ncbi_674963,ncbi_583,ncbi_413496,ncbi_2050,ncbi_651554,ncbi_1257,ncbi_150022,ncbi_52225,ncbi_469,ncbi_119852,ncbi_1357,ncbi_299568,ncbi_588605,ncbi_34104,ncbi_2753,ncbi_191303,ncbi_207244,ncbi_572511,ncbi_140625,ncbi_906,ncbi_29465,ncbi_724,ncbi_1716,ncbi_447020,ncbi_846,ncbi_46205,ncbi_848,ncbi_1279,ncbi_51514,ncbi_713,ncbi_86331,ncbi_265975,ncbi_581,ncbi_1266,ncbi_184869,ncbi_702,ncbi_416916,ncbi_2172,ncbi_613,ncbi_28231,ncbi_141948,ncbi_174708,ncbi_1827,ncbi_265,ncbi_2740,ncbi_586,ncbi_528,ncbi_59753,ncbi_146918,ncbi_1298,ncbi_48736,ncbi_171673,ncbi_68,ncbi_165779,ncbi_83770,ncbi_2316,ncbi_157
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15248673873846674,-0.6142280329517676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21014698352390376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807410384323909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32948454040528513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562938929892701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3974909674720007,0.0,0.18163039157603464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2524414345153326,-0.10174626483867934,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19539974196124082,0.0,0.0,0.0,0.0,0.0,-0.06624396173644473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4460670422651288,0.0,0.0,-0.3641761688235104,0.0,-0.017190535128659874,0.02001385887303335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14936363246708423,0.0,0.0,0.8023394410122723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033142854841271885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.009728883742542493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2089481736932317,0.0,-0.2581374628040634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19179061030960445,0.0,0.0,0.0,0.0,0.0,0.1358250716534113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13581211981634755,0.0,-0.07210517883199753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04927260690360826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050260896197285014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21645004000399398,0.06285108118865265,0.0,0.0,0.0,-0.10877869580361821,0.0,0.0,0.0,0.0,0.0,0.0,0.2564023064031472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12941360369821112,0.0,0.0,0.0,0.0,0.0,0.0,0.2258294373694435,0.0,0.0,0.0,0.0,0.0,0.3180442795457321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12216732608662531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23702911691786333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03158067777757274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3167317212899395,0.0,0.0,0.0,0.09507391265456773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1593600636479026,0.0,0.0,0.0,0.0,0.08262126857364033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25272744592516894,-0.04803733440564315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1592546489262986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09460374744922423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015122262856345487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12907822672931335,0.0,0.0,0.0,0.0
0.0,0.0,0.09502770289805533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10478739419350061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05615850700397306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15371387275326748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174864354824627,0.046327006230361366,-0.09051480150565556,0.0,-0.24077403194296976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522547814568881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054594992078927776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.021386312578389077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07414976607382362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026757411336305503,0.0,-0.26563535152378126,0.0,0.0,0.0,0.024925576328880115,-0.12440171059970423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1762115209291611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16867759438162355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2877629256522004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09986083268677959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13358784212227123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05262825133412909,0.0,0.11975277050439948,0.0,0.057964307194181816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2554888942389361,0.0,0.0,0.18502494993363164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13991706528685707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08731237542229793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07925372052575831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08930527541633491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2217408098481942,-0.009792603989113706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05729660014160067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15105925056296388,0.0,0.0,0.0,0.0,-0.011029073167544924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08706292248165647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00483849167657348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01379573980483104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4161401684689783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3479883933749954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29685095582327825,0.0,-0.09187483350241282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15411234280252167,0.0016162190299141932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061842357844914625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1368323588628269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
