g__Acidaminococcus,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Allobaculum,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Bulleidia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Catenibacterium,g__Christensenella,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterococcus,g__Faecalibacterium,g__Finegoldia,g__Gemmiger,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Lactonifactor,g__Leuconostoc,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Mitsuokella,g__Mobiluncus,g__Mogibacterium,g__Odoribacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parvimonas,g__Pediococcus,g__Peptococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Pseudomonas,g__Roseburia,g__Rothia,g__Ruminococcus,g__Slackia,g__Staphylococcus,g__Stenotrophomonas,g__Streptococcus,g__Sutterella,g__Turicibacter,g__Varibaculum,g__Veillonella,g__Weissella,g__Acetivibrio,g__Acholeplasma,g__Actinobacillus,g__Aggregatibacter,g__Anaerobiospirillum,g__Anaerofilum,g__Anaerotruncus,g__Bacillus,g__Campylobacter,g__Cellulosilyticum,g__Clavibacter,g__Coraliomargarita,g__Cryptobacterium,g__Desulfonispora,g__Eikenella,g__Elusimicrobium,g__Escherichia,g__Eubacterium,g__Faecalitalea,g__Fusobacterium,g__Gemella,g__Gloeobacter,g__Gordonibacter,g__Holdemanella,g__Intestinibacter,g__Kandleria,g__Klebsiella,g__Lachnoclostridium,g__Leptotrichia,g__Lysinibacillus,g__Methanosphaera,g__Morganella,g__Olsenella,g__Oscillibacter,g__Papillibacter,g__Parasutterella,g__Pectinatus,g__Proteus,g__Pseudoflavonifractor,g__Pyramidobacter,g__Ruminiclostridium,g__Salmonella,g__Sneathia,g__Spiroplasma,g__Sporobacter,g__Streptomyces,g__Subdoligranulum,g__Tissierella,g__Treponema,g__Tyzzerella,g__Ureibacillus,g__Victivallis,g__Cetobacterium,g__Serratia
0.0,0.07575897,0.02423162,0.0,0.05912439,0.0,0.0,0.0,0.049214087,0.0,0.051081855,0.0,0.034244098,0.0,0.018729225,0.0,0.0,0.051119592,0.0,0.0,0.0,0.0,0.023706032,0.044641927,0.024721893,0.0,0.0,0.0,0.032315746,0.044054948,0.0,0.04001645,0.0,0.030966723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046483867,0.0,0.0,0.0,0.046711594,0.0,0.027650096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02963237,0.08188384,0.031261623,0.040836297,0.0,0.0,0.042056307,0.04955647,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.041655745,0.0,0.029251017,0.032371588,0.0,0.05533221,0.0,0.044525065,0.0,0.03050523,0.0,0.0,0.0,0.0,0.0,0.0,0.03621808,0.027900014,0.0,0.020883784,0.061073583,0.0,0.0,0.025937049,0.03726158,0.0,0.040827613,0.0,0.0,0.062739424,0.0,0.0,0.0292931,0.0,0.0,0.0,0.025787145,0.0,0.0,0.0,0.0,0.0,0.0,0.04910752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06784127,0.0,0.0,0.0,0.0,0.12913078,0.036673848,0.0,0.056019656,0.029494781,0.0,0.0,0.03016986,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.07954597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10451504,0.0,0.0,0.07329951,0.0,0.052993167,0.0,0.0,0.0,0.0,0.0,0.0,0.05947894,0.0,0.0,0.0,0.0,0.0,0.05346679,0.06255017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06228653,0.0,0.0,0.11232692,0.07145813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07148405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05960571,0.0,0.07219059,0.0,0.0,0.0,0.06479841,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.04905899,0.02076511,0.0,0.0,0.0,0.0,0.028569961,0.032908335,0.0,0.052808825,0.0,0.032191403,0.0,0.018820079,0.0,0.0,0.0,0.0,0.0,0.024087384,0.023295807,0.024748435,0.0,0.023697268,0.0,0.0,0.0,0.022407768,0.03310388,0.0,0.03549695,0.0,0.030631727,0.0,0.0,0.0,0.028585333,0.04920565,0.0,0.042522334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047076188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056749158,0.0,0.0,0.10750945,0.03217954,0.0,0.03220464,0.032528594,0.0,0.04378457,0.037512116,0.0,0.037550494,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.026980214,0.0,0.06335697,0.0,0.0,0.0,0.0,0.0,0.065679565,0.0,0.03425958,0.0,0.023072558,0.0,0.0,0.0,0.0,0.0,0.03385748,0.03615687,0.032124966,0.052281756,0.03058569,0.0,0.0,0.0,0.029004486,0.0,0.0358633,0.041103106,0.0,0.0,0.0,0.0,0.0,0.03162219,0.05678735,0.069063954,0.032393843,0.0,0.0,0.0,0.0,0.03198078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09528984,0.04246957,0.030870494,0.03531907,0.0,0.0,0.0,0.036686335,0.0,0.033189964,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.045758747,0.027959445,0.0,0.0,0.0,0.0,0.0,0.06030537,0.0,0.077468574,0.04928882,0.036666684,0.0,0.02994077,0.0,0.0,0.0,0.0,0.0,0.0,0.040689524,0.029591538,0.0,0.024539527,0.0,0.0,0.0,0.03426403,0.0,0.037406135,0.03739224,0.0,0.0,0.0,0.0,0.0,0.03437094,0.04277586,0.07333267,0.03190809,0.0,0.0,0.0,0.0,0.033944353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102513924,0.052668627,0.0,0.036228925,0.0,0.0,0.0,0.02755958,0.0,0.03342563,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.047763303,0.023611007,0.0,0.047372304,0.0,0.0,0.026478777,0.03496846,0.0,0.04929659,0.0458689,0.026333496,0.0,0.01790973,0.0,0.0,0.0,0.0,0.0,0.025512278,0.034684822,0.021073885,0.0,0.026743468,0.0,0.0,0.03758948,0.024858018,0.0,0.0,0.030393481,0.0,0.028042533,0.0,0.0,0.0,0.028935729,0.05241769,0.06437532,0.03318106,0.0,0.039888717,0.0,0.0,0.035163146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042037535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03526898,0.0,0.030450419,0.034241427,0.0,0.0,0.028712487,0.0,0.026826994,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105201654,0.0,0.07333813,0.0,0.06292214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06675019,0.0,0.1160502,0.0,0.0,0.0,0.06216687,0.11641535,0.0,0.066742346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08255658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09723489,0.0,0.0,0.10557976,0.0,0.0,0.045041863,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.04837759,0.024661552,0.03610903,0.0,0.0,0.0,0.032185536,0.0360468,0.03321617,0.06841415,0.0,0.02736159,0.0,0.02751762,0.0,0.0,0.0,0.0,0.0,0.0,0.033582915,0.023475463,0.0,0.030392237,0.0,0.0,0.0,0.033606675,0.038299367,0.0,0.026113788,0.031355374,0.0,0.0,0.0,0.0,0.0,0.0,0.07767074,0.03724275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04829041,0.09082204,0.06333667,0.0,0.039364293,0.032774825,0.0,0.0,0.028981762,0.0,0.03080065,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.038054537,0.041985955,0.07532528,0.0,0.0,0.057448182,0.04369439,0.0,0.06373972,0.0,0.04539078,0.0,0.024782121,0.0,0.0,0.0,0.0,0.0,0.0,0.05265892,0.028805278,0.0,0.052988965,0.0,0.0,0.0,0.052137822,0.0,0.0,0.03730212,0.0,0.0,0.0,0.0,0.07808142,0.0,0.0,0.0,0.06868192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040445507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042270645,0.0,0.0497871,0.0,0.0,0.0,0.04460985,0.0,0.061809473,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
