g__Abiotrophia,g__Acidaminococcus,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aeromonas,g__Aggregatibacter,g__Akkermansia,g__Alistipes,g__Alloprevotella,g__Alloscardovia,g__Anaerococcus,g__Anaerofustis,g__Anaeroglobus,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Bulleidia,g__Butyricicoccus,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Cetobacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Corynebacterium,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Eggerthia,g__Eikenella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Filifactor,g__Finegoldia,g__Flavonifractor,g__Fretibacterium,g__Fusobacterium,g__Gardnerella,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Hafnia,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leptotrichia,g__Leuconostoc,g__Marvinbryantia,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Mogibacterium,g__Morganella,g__Odoribacter,g__Olsenella,g__Oribacterium,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parascardovia,g__Parasutterella,g__Parvimonas,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudoflavonifractor,g__Pseudomonas,g__Pyramidobacter,g__Raoultella,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Selenomonas,g__Shigella,g__Slackia,g__Solobacterium,g__Streptococcus,g__Subdoligranulum,g__Succinatimonas,g__Sutterella,g__Synergistes,g__Treponema,g__Turicibacter,g__Veillonella,g__Weissella,g__Brevibacterium,g__Varibaculum,g__Cronobacter,g__Staphylococcus,g__Brachyspira,g__Cellulosilyticum,g__Helicobacter,g__Catonella,g__Lysinibacillus,g__Methanobacterium
0.0,0.013643071,0.0,0.03768616,0.015002798,0.0,0.0,0.013127927,0.021278707,0.0,0.0,0.0,0.015478324,0.0,0.037204575,0.023255674,0.0,0.021360626,0.009791578,0.025522837,0.017874354,0.016496109,0.0,0.0,0.0,0.0,0.013415733,0.0,0.0,0.014033978,0.012855374,0.0,0.0,0.008753816,0.0,0.021131158,0.0,0.011156164,0.0,0.0,0.0,0.0,0.0,0.035973445,0.015379689,0.020157738,0.014652808,0.008163756,0.0,0.0,0.0,0.0,0.0,0.020873357,0.013227767,0.029330125,0.0,0.0,0.018438507,0.016306505,0.0,0.0,0.040848795,0.0,0.0,0.023468986,0.0,0.020278955,0.0,0.0,0.0,0.019257171,0.012635261,0.028541282,0.0,0.047208454,0.008109552,0.01494809,0.010380293,0.0,0.0,0.009767063,0.0,0.0,0.011281188,0.012881113,0.0,0.012299427,0.0,0.01455305,0.011162426,0.0,0.0,0.0,0.033329993,0.0,0.0077622132,0.0,0.0,0.0,0.0,0.012864391,0.03505306,0.0101700965,0.0,0.0,0.0,0.0,0.0,0.061626438,0.0,,,,,,,,,,
0.0,0.025000107,0.0,0.0,0.0,0.0,0.02402853,0.012070372,0.030784426,0.042593166,0.0,0.0,0.0,0.0,0.060107138,0.01652149,0.0,0.015264458,0.0,0.028124556,0.015700663,0.013425764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016371043,0.015040092,0.0072763525,0.0,0.020150298,0.0,0.013036082,0.0,0.009398853,0.0,0.010005571,0.0,0.0,0.0,0.0,0.011887268,0.01899582,0.011489123,0.0,0.0,0.016936187,0.0,0.01367822,0.0,0.018861327,0.0069535505,0.06806759,0.012075756,0.0,0.012177528,0.022580435,0.0,0.0,0.033549804,0.0,0.0,0.019256352,0.023468824,0.0,0.0,0.0,0.0,0.0,0.031203901,0.0,0.0,0.023563597,0.009220598,0.026944587,0.0,0.0,0.0,0.010383276,0.0,0.0,0.013840806,0.0,0.0,0.011369335,0.0,0.0,0.0,0.0,0.0,0.0,0.013768319,0.0,0.021049144,0.0,0.0,0.0,0.0,0.013533571,0.055340175,0.008723713,0.0,0.03717301,0.0,0.0,0.0,0.040862985,0.018146347,,,,,,,,,,
0.0,0.0,0.0,0.04170596,0.0,0.0,0.0,0.036994375,0.06662636,0.0,0.008152694,0.01850988,0.0,0.0,0.03620503,0.013987177,0.018271646,0.04439216,0.0102027105,0.010298217,0.0141625125,0.009579812,0.0,0.0,0.0,0.0,0.010571937,0.0,0.0,0.012579175,0.008332627,0.00873173,0.0,0.012662383,0.0,0.015941478,0.0,0.012520115,0.0,0.01077245,0.0,0.0,0.0,0.0,0.011781818,0.011017534,0.054809675,0.0,0.014398422,0.0,0.0,0.0,0.0,0.013822719,0.0,0.04532436,0.043789398,0.0,0.01130417,0.0,0.0,0.0,0.0,0.0,0.0,0.011855065,0.0,0.014391571,0.0,0.013643602,0.0,0.0,0.0,0.011607784,0.0,0.02250718,0.0,0.0065952414,0.008391782,0.0,0.0,0.009521987,0.0,0.0,0.01101203,0.017471353,0.01129578,0.0064077317,0.0,0.0,0.0,0.0,0.0,0.0,0.01095533,0.040383294,0.0084610805,0.0,0.0,0.0094220005,0.0,0.018523362,0.032081407,0.015041703,0.0,0.020617615,0.0,0.0,0.0,0.07236445,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.011980216,0.0,0.0,0.022790292,0.019304316,0.0,0.0,0.07100785,0.0131344125,0.0,0.02227868,0.036058407,0.023770658,0.026159668,0.0,0.037036184,0.023263637,0.015482994,0.0,0.0,0.0,0.0,0.024283906,0.0,0.0,0.025538167,0.03927719,0.01627689,0.028073804,0.016049158,0.0,0.0,0.0,0.023070602,0.0,0.01669575,0.0,0.0,0.0,0.0,0.016216805,0.014784093,0.022582658,0.0,0.0,0.0,0.0,0.06784559,0.0,0.0,0.0,0.0,0.0,0.0,0.01853526,0.03252619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016048482,0.03114636,0.01715971,0.0,0.0,0.01519078,0.0,0.022140674,0.019321801,0.0,0.0,0.026000844,0.0,0.0,0.0,0.0,0.0,0.0,0.042898353,0.0,0.013817119,0.0,0.0,0.0,0.018474746,0.025744038,0.046423096,0.021610646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.010231909,0.0,0.0,0.022504644,0.017602187,0.0,0.0,0.0,0.0,0.0,0.0,0.03040266,0.0,0.022408403,0.018844353,0.012839473,0.015094716,0.01830199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01711903,0.018190943,0.012282455,0.0,0.022237405,0.0,0.019546349,0.0,0.009786854,0.0,0.058531854,0.0,0.0,0.029827463,0.0,0.020982862,0.016272973,0.023461869,0.01419507,0.0,0.0,0.0,0.0,0.0,0.048147175,0.0155691635,0.058380846,0.033778917,0.0,0.0,0.017539546,0.0,0.0,0.0,0.0,0.0,0.035430145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036829047,0.0,0.010950759,0.0,0.0,0.0,0.016173942,0.0,0.0,0.024644453,0.0,0.0,0.02896529,0.0,0.0,0.009621096,0.0,0.0,0.0,0.03354139,0.0,0.011086009,0.0,0.0,0.0,0.0,0.018029416,0.042532306,0.0154938465,0.0,0.0,0.0,0.044870883,0.0,0.06775041,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.015528245,0.0,0.0,0.025262045,0.02076946,0.0,0.0,0.0,0.0,0.0,0.06571073,0.025707139,0.0,0.021209046,0.0,0.064443305,0.015096522,0.020296393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016488498,0.0,0.010557482,0.0,0.015647143,0.0,0.025909126,0.03881899,0.02368201,0.0,0.013844674,0.0,0.0,0.0,0.0,0.01598646,0.015656412,0.08719911,0.0,0.0,0.016787203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021957185,0.0,0.0,0.0,0.0,0.0,0.018114312,0.0,0.026984204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02977047,0.0,0.0117928935,0.0,0.0,0.0,0.030723438,0.0,0.0,0.024846883,0.0,0.0,0.052136037,0.0,0.0,0.0,0.0,0.0,0.0,0.036730845,0.0,0.013190579,0.0,0.0,0.0,0.0,0.0,0.05802778,0.012629071,0.0,0.02835528,0.0,0.0,0.0,0.08014099,0.0,,,,,,,,,,
0.015689416,0.0,0.0,0.031319883,0.01131168,0.0,0.0,0.031984754,0.06596994,0.0,0.0,0.0,0.0,0.0,0.01865353,0.0,0.018529182,0.026334045,0.0,0.010061118,0.0,0.011544382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014162172,0.012213667,0.009444715,0.0,0.009869959,0.0,0.0,0.034765806,0.009018995,0.0,0.011802259,0.0,0.0,0.0,0.01277837,0.012697018,0.013481537,0.051960766,0.0,0.017494844,0.011969904,0.0,0.0,0.0,0.038875703,0.011739339,0.031709716,0.032213848,0.0,0.0,0.013790962,0.019749263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024706952,0.0,0.014593279,0.0,0.05136642,0.0,0.0,0.0,0.01876848,0.0,0.0,0.0138173355,0.0,0.025083713,0.03480453,0.0,0.0,0.0,0.0,0.0,0.0,0.051765967,0.0,0.01057474,0.0071672965,0.0,0.0,0.0,0.01700197,0.03765967,0.010863171,0.0,0.0,0.0,0.0,0.0,0.053436954,0.017252736,,,,,,,,,,
0.0,0.022783855,0.0,0.0,0.0,0.0,0.03252187,0.0412651,0.0,0.015314878,0.0,0.0,0.0,0.0,0.0,0.03121414,0.0,0.019081738,0.0,0.012962795,0.02848377,0.011877918,0.0,0.017680958,0.0,0.0,0.0,0.0,0.0,0.018443374,0.0,0.012955012,0.0,0.010521913,0.0,0.0,0.0,0.0,0.0,0.018854963,0.0,0.0,0.0,0.023906594,0.01442182,0.022007361,0.06607093,0.0,0.0,0.0,0.0,0.019884331,0.0,0.023325766,0.0,0.060667947,0.0477155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025942557,0.012305334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695642,0.0,0.0,0.0,0.013635497,0.0,0.020397097,0.01554805,0.0,0.039321266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020716235,0.05426919,0.0,0.010632177,0.0,0.0,0.0,0.031201804,0.04461151,0.028831769,0.0,0.015018866,0.0,0.0,0.0,0.08391054,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08425131,0.021016676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020545052,0.0,0.04346559,0.01597103,0.0405665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577692,0.034697525,0.026028886,0.0,0.0,0.0,0.0,0.0,0.015767857,0.0,0.031297803,0.0,0.0,0.0,0.0,0.016654145,0.014706534,0.060650095,0.0,0.0,0.028497275,0.0,0.023158794,0.0,0.0,0.0,0.0,0.0,0.0,0.02613492,0.03609867,0.090799965,0.0,0.0,0.0,0.0,0.021728182,0.019982047,0.03222903,0.0,0.0,0.0,0.0,0.017282719,0.0,0.0,0.019873276,0.0,0.014899168,0.0,0.0,0.033368777,0.0,0.0,0.0,0.0,0.0,0.0,0.054535963,0.0,0.0,0.0,0.0,0.0,0.0,0.015618726,0.0,0.02315727,0.0,0.0,0.0,0.0,0.0,0.05082521,0.03041412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
0.017834729,0.02016393,0.020482417,0.052787792,0.0,0.021177832,0.0,0.02908761,0.014659262,0.0,0.0,0.0,0.0,0.0,0.0,0.011775238,0.021268822,0.0170194,0.0,0.075915635,0.013528752,0.010532884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01423842,0.013731605,0.007828032,0.0,0.014587082,0.0,0.019268982,0.042550366,0.008919816,0.0,0.011332708,0.0,0.0,0.0,0.0,0.011388462,0.0147700105,0.06898954,0.0,0.0,0.012132626,0.0,0.030771818,0.0,0.017276168,0.0,0.019638004,0.0067455084,0.0,0.0,0.016100867,0.079727165,0.0,0.0,0.0,0.0,0.0,0.019096423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022899767,0.0,0.008133731,0.021008909,0.0,0.009007879,0.01663437,0.0,0.0,0.018599888,0.0,0.0,0.008181268,0.0,0.0,0.0,0.0,0.0,0.0,0.009694333,0.061480336,0.013118566,0.0,0.0,0.0,0.0,0.022965442,0.01038913,0.007960994,0.0,0.0,0.0,0.0,0.0,0.014597483,0.0,,,,,,,,,,
