g__Acidaminococcus,g__Acinetobacter,g__Actinobaculum,g__Actinomyces,g__Adlercreutzia,g__Aeromonas,g__Akkermansia,g__Alistipes,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Cetobacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Gardnerella,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Odoribacter,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudomonas,g__Pyramidobacter,g__Raoultella,g__Roseburia,g__Rothia,g__Ruminococcus,g__Shigella,g__Slackia,g__Solobacterium,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Succinatimonas,g__Sutterella,g__Turicibacter,g__Veillonella,g__Weissella,g__Enhydrobacter,g__Fretibacterium,g__Halomonas,g__Morganella,g__Providencia
0.0,0.0,0.012363348,0.01804245,0.0,0.0,0.0,0.055566322,0.0,0.0,0.027788885,0.0,0.0,0.06236848,0.02763381,0.016302226,0.026019854,0.011522148,0.0,0.0,0.0,0.0,0.0,0.0,0.022638166,0.030450035,0.042277463,0.0129480595,0.0,0.009331367,0.0,0.0,0.008665639,0.011193302,0.0,0.014821494,0.011760537,0.011576194,0.04534848,0.0,0.0,0.0,0.018268196,0.011193895,0.021466302,0.029568449,0.027317172,0.0,0.04072338,0.0,0.028255202,0.01844976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036305733,0.020122731,0.03209028,0.0,0.0,0.029618163,0.0,0.0,0.0,0.023572167,0.0,0.0,0.0,0.0,0.03462594,0.026559057,0.0106008295,0.0,0.0,0.01753079,0.0,0.011819224,0.0102235675,0.0,0.0,0.0,0.05057789,0.022493055,,,,,
0.0,0.0,0.0,0.063751824,0.0,0.0,0.0,0.0,0.0,0.0,0.030107,0.024936004,0.0,0.023889825,0.0,0.016817167,0.0,0.016560454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154192485,0.020332623,0.016004583,0.0,0.0,0.0,0.05437205,0.0100642955,0.013135244,0.0,0.020594815,0.013504901,0.010226285,0.012004085,0.023902465,0.051814232,0.0,0.038184877,0.0,0.03864132,0.022069408,0.024703564,0.0,0.06991012,0.0,0.024915572,0.02401281,0.025138833,0.0,0.0,0.0,0.0,0.021167122,0.0,0.012277819,0.0,0.02502574,0.015743999,0.0,0.0,0.0,0.0,0.01988975,0.020064732,0.0,0.0,0.0,0.0,0.0134404525,0.04347228,0.013543874,0.0,0.0,0.02250584,0.0,0.039191738,0.010777898,0.0,0.0,0.0,0.03788506,0.0,,,,,
0.0,0.0,0.0,0.040839117,0.0062873024,0.0,0.0,0.015443536,0.0,0.0,0.022510096,0.0,0.0,0.038998652,0.009918782,0.008481759,0.02304534,0.008039956,0.0,0.0,0.018552175,0.0,0.0,0.0,0.024802981,0.01974243,0.03665494,0.0,0.020151217,0.0071581295,0.018764105,0.0,0.0055636205,0.012359154,0.0,0.016817812,0.009489187,0.0065506543,0.012698427,0.0,0.0,0.0,0.0320666,0.004886806,0.03626678,0.0324404,0.014863124,0.0,0.027818974,0.022134323,0.018111467,0.0,0.0,0.01869898,0.0,0.0,0.0099398205,0.0,0.013228329,0.028645674,0.022769619,0.0,0.009033042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07179259,0.0,0.0,0.023748057,0.019915063,0.0077380566,0.0,0.0069731004,0.018702365,0.022821166,0.027574304,0.009134797,0.0,0.0,0.019525593,0.08501296,0.01328869,,,,,
0.0,0.0,0.0,0.0,0.0077137332,0.0,0.027562344,0.023147872,0.03930443,0.0,0.04976314,0.017162967,0.0,0.017588457,0.010066926,0.015881537,0.0,0.019099608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022150893,0.0,0.017991947,0.0,0.0075690965,0.022267107,0.011498741,0.016173977,0.012520159,0.0,0.015702315,0.0142113045,0.012922054,0.015978564,0.018418608,0.0,0.0,0.042156156,0.0074148276,0.047469784,0.039056692,0.020043006,0.0,0.045873992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01670923,0.019181984,0.0,0.016143031,0.0,0.0,0.0,0.0,0.019973306,0.0,0.035241734,0.0,0.0,0.0,0.0,0.016595587,0.0,0.033484172,0.046314307,0.00966529,0.0,0.0,0.0,0.0,0.046113726,0.017745748,0.0,0.0,0.019957703,0.06601305,0.020150838,,,,,
0.0,0.0,0.0,0.06824731,0.0069313273,0.0,0.0,0.010541025,0.0,0.0,0.051633246,0.019876856,0.0,0.024339816,0.011326896,0.007961858,0.02528823,0.015221382,0.0,0.02637511,0.0,0.0,0.0,0.0,0.011514503,0.021441609,0.018430756,0.011200146,0.008227162,0.007347542,0.0,0.0,0.0074122017,0.0152460905,0.015308811,0.019661352,0.012598728,0.00854423,0.02128081,0.018357694,0.0,0.0,0.0,0.006276179,0.0,0.040772747,0.014548014,0.008283444,0.051716357,0.0185599,0.021205552,0.020144416,0.020982936,0.0,0.0,0.0,0.016625587,0.0330374,0.0,0.022130622,0.0,0.032952193,0.0,0.0,0.0,0.0,0.039020557,0.01736139,0.0,0.0,0.0,0.019716611,0.0,0.016287645,0.0,0.010466581,0.0,0.0,0.025117654,0.0,0.04306023,0.010431911,0.0,0.0,0.0,0.033212557,0.013774794,,,,,
0.0,0.0,0.0,0.048168585,0.0,0.0,0.04530584,0.047005106,0.0,0.0,0.048396982,0.021024993,0.0,0.056301996,0.0,0.0103042945,0.0,0.022690708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026615923,0.0,0.019623486,0.0,0.011228375,0.0,0.015220297,0.012190877,0.0163569,0.0,0.0,0.019249283,0.011788172,0.016584866,0.024905834,0.0,0.0,0.030784868,0.010774929,0.029078685,0.038716048,0.0,0.0,0.019672787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02525825,0.03571703,0.0,0.061641835,0.0,0.0,0.0,0.0,0.030676194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326228,0.0,0.012400375,0.0,0.0,0.028958915,0.0,0.05998816,0.010676791,0.0,0.0,0.028300216,0.07176961,0.0,,,,,
0.0,0.0,0.0,0.0,0.016973887,0.0,0.0,0.031281665,0.0,0.0,0.04467318,0.0,0.0,0.03657863,0.02698983,0.012252154,0.0,0.010658489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022897067,0.013879187,0.0,0.04290613,0.013502032,0.0,0.0,0.017117083,0.041176986,0.0,0.04671052,0.031534694,0.012184631,0.05158943,0.0,0.0,0.0,0.0,0.020464994,0.0,0.0,0.0,0.015350933,0.020623654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027336761,0.056846485,0.0,0.040572524,0.0,0.0,0.035657797,0.0,0.0,0.0,0.0,0.046226304,0.0,0.0,0.08996476,0.0,0.0,0.0575724,0.0,0.013734248,0.0,0.0,0.0,0.0,0.052601397,0.021645738,0.0,0.0,0.0,0.0,0.028496362,,,,,
0.0,0.0,0.0,0.061989523,0.0,0.0,0.0,0.06532747,0.0,0.0,0.030117564,0.0,0.0,0.022717167,0.0,0.03887673,0.029800182,0.010550363,0.011839433,0.0,0.0,0.0,0.0,0.0,0.03608334,0.020199811,0.0335385,0.008335756,0.0,0.0,0.0,0.0,0.041855715,0.018142277,0.0,0.017168744,0.013776978,0.00948702,0.07426855,0.017443556,0.0,0.0,0.0,0.01641691,0.04689541,0.0,0.0,0.02101425,0.02659068,0.015522008,0.022851817,0.0,0.0,0.0,0.0,0.0,0.022935418,0.0,0.0,0.011393231,0.0,0.01656799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012779039,0.0,0.03390184,0.0,0.0,0.03844509,0.0,0.053734504,0.031652402,0.0,0.0,0.0,0.04987174,0.017908987,,,,,
0.0,0.0,0.0,0.038923975,0.0074294126,0.0,0.030887399,0.02075323,0.0,0.0,0.02532918,0.016615344,0.0,0.03951716,0.020977229,0.016751118,0.022541216,0.00825504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019707376,0.00797891,0.0,0.020097787,0.005799711,0.01825083,0.0,0.009844991,0.011215424,0.017153641,0.012573577,0.007743102,0.008761652,0.06388134,0.0,0.0,0.0,0.030052098,0.004861214,0.023747217,0.021089874,0.017303202,0.017833043,0.049409345,0.0,0.0,0.0,0.0,0.021819785,0.0,0.0,0.012484624,0.032767415,0.0,0.022136759,0.013155479,0.024589594,0.0,0.0,0.021346716,0.0,0.0,0.0,0.016156584,0.0,0.0,0.013320383,0.0,0.021737972,0.035799515,0.0074426276,0.0,0.0,0.020009,0.0,0.037772976,0.010016367,0.0,0.0,0.0,0.062411994,0.011747638,,,,,
0.0,0.03733236,0.0,0.067694336,0.009400476,0.0,0.010985455,0.014316813,0.0,0.0,0.05710526,0.01938244,0.0,0.03204238,0.013629488,0.014443019,0.0,0.029813277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020400343,0.0,0.014432749,0.0,0.010104976,0.020541614,0.0,0.010297069,0.022803145,0.0,0.02831915,0.016500674,0.01163038,0.019292336,0.024976773,0.0,0.0,0.0,0.010708839,0.0,0.0,0.018452765,0.0,0.04036563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178118,0.038904604,0.0,0.014956215,0.0,0.03714919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043727037,0.056793436,0.011959996,0.0,0.0,0.030366005,0.0,0.04435985,0.013417419,0.0,0.0,0.031078814,0.08450386,0.0,,,,,
