disease_type,n_datasets,ENet vs RF,ENet vs TabPFN,ENet vs MGM,RF vs TabPFN,RF vs MGM,TabPFN vs MGM
Autoimmun,1,66.10169491525424,51.5625,76.78571428571429,51.5625,80.0,48.484848484848484
Intestinal,7,55.95804745568896,40.75926157768961,54.657401422107306,49.18734841026054,69.31899157537607,47.21489683625775
Liver,1,56.89655172413793,55.172413793103445,59.32203389830509,52.459016393442624,46.96969696969697,52.38095238095238
Mental,4,68.88364779874215,45.91206499856198,54.49614292556103,49.462938228233,58.15729556460488,42.56927967865468
Metabolic,1,48.4375,35.2112676056338,28.94736842105263,37.68115942028985,31.08108108108108,19.51219512195122
