disease_type,n_datasets,ENet vs RF,ENet vs TabPFN,ENet vs MGM,RF vs TabPFN,RF vs MGM,TabPFN vs MGM
Autoimmun,1,22.580645161290324,15.151515151515152,34.48275862068966,31.03448275862069,44.44444444444444,25.806451612903224
Intestinal,7,34.75129962629963,31.94248280455177,46.48675115207373,38.95202908749707,37.70567832202141,26.5372446632612
Liver,1,35.714285714285715,31.03448275862069,25.806451612903224,35.714285714285715,39.285714285714285,30.0
Mental,4,49.111111111111114,29.988118921308576,47.16338259441708,35.29687266756232,51.3984674329502,25.09707287933094
Metabolic,1,42.857142857142854,33.333333333333336,37.93103448275862,25.0,29.032258064516128,25.0
