model,1,2,3
ElasticNet_DebiasM,0.6595744680851063,0.5333333333333333,0.7525862068965516
RandomForest_DebiasM,0.689627659574468,0.4311827956989247,0.7396551724137932
TabPFN_DebiasM,0.7659574468085106,0.6838709677419355,0.8551724137931034
ElasticNet_ComBat,0.6675531914893618,0.6301075268817204,0.7594827586206896
RandomForest_ComBat,0.6941489361702128,0.7553763440860215,0.8693965517241379
TabPFN_ComBat,0.747340425531915,0.6387096774193548,0.8870689655172415
ElasticNet_MMUPHin,0.601063829787234,0.4602150537634408,0.6258620689655172
RandomForest_MMUPHin,0.6380319148936171,0.4408602150537635,0.7525862068965516
TabPFN_MMUPHin,0.6909574468085107,0.5139784946236559,0.8905172413793103
