1,2,3,model
0.32666666666666666,0.5,0.5,ElasticNet
0.457271364317841,1.0,0.44782608695652176,ElasticNet
0.5,0.5,0.5,ElasticNet
0.4842578710644677,0.36003600360036003,0.5879227053140096,ElasticNet
0.535,0.4291741674167417,0.5734299516908212,RandomForest
0.5344827586206897,1.0,0.3939613526570048,RandomForest
0.4272863568215892,0.541966696669667,0.528641975308642,RandomForest
0.5622188905547226,0.3417529252925292,0.41545893719806765,RandomForest
0.6090000000000001,0.4386813681368137,0.5289855072463768,TabPFN
0.46026986506746637,1.0,0.4632850241545894,TabPFN
0.4662668665667167,0.38883888388838883,0.4587654320987654,TabPFN
0.4932533733133433,0.3204320432043204,0.455072463768116,TabPFN
