model,1,2,3,4,5
ElasticNet_DebiasM,0.6461038961038961,0.6985006518904825,0.8450627386797599,0.8323863636363636,0.7825168918918919
RandomForest_DebiasM,0.7970779220779222,0.8942307692307692,0.970267321331151,0.9315137987012987,0.9210304054054055
TabPFN_DebiasM,0.7218614718614719,0.8689700130378096,0.9023458810692853,0.9058441558441559,0.8948479729729729
ElasticNet_ComBat,0.6801948051948052,0.7213168187744459,0.8717948717948718,0.8141233766233766,0.7736486486486487
RandomForest_ComBat,0.7386363636363636,0.7684159061277706,0.9536279323513366,0.9025974025974026,0.9273648648648649
TabPFN_ComBat,0.751082251082251,0.8526727509778357,0.9198036006546646,0.9204545454545455,0.9087837837837838
ElasticNet_MMUPHin,0.5530303030303031,0.7421773142112125,0.8505182760501909,0.8327922077922078,0.7668918918918919
RandomForest_MMUPHin,0.7808441558441559,0.8878748370273795,0.9656301145662848,0.9456168831168831,0.8999155405405406
TabPFN_MMUPHin,0.7332251082251082,0.8797262059973924,0.9470812875068193,0.942775974025974,0.9024493243243243
