1,2,3,model
0.8031944444444445,0.6419354838709677,0.7956896551724137,ElasticNet
0.5731382978723404,0.7325396825396826,0.625,ElasticNet
0.6191489361702127,0.6741935483870968,0.896590909090909,ElasticNet
0.6287234042553191,0.6591397849462366,0.756896551724138,ElasticNet
0.8658333333333333,0.6166666666666667,0.7879310344827586,RandomForest
0.602659574468085,0.7940476190476191,0.4383620689655173,RandomForest
0.7015957446808511,0.7161290322580645,0.9772727272727273,RandomForest
0.7021276595744681,0.646774193548387,0.8512931034482758,RandomForest
0.8308333333333333,0.6268817204301075,0.746551724137931,TabPFN
0.7037234042553192,0.7936507936507937,0.7551724137931035,TabPFN
0.6324468085106383,0.7010752688172043,0.9026515151515151,TabPFN
0.6154255319148937,0.6419354838709678,0.8250000000000001,TabPFN
