1,2,3,model
0.5331649831649832,0.4538239538239538,0.43874643874643876,ElasticNet
0.5457627118644067,0.5166514041514041,0.6858974358974359,ElasticNet
0.4615819209039548,0.5624098124098125,0.7407878787878789,ElasticNet
0.49265536723163844,0.5555555555555555,0.5712250712250713,ElasticNet
0.4392255892255893,0.5496031746031745,0.6310541310541309,RandomForest
0.5551789077212806,0.5305860805860807,0.6830484330484332,RandomForest
0.4843691148775895,0.522907647907648,0.7456363636363637,RandomForest
0.5668549905838042,0.4880952380952381,0.6894586894586895,RandomForest
0.4569023569023569,0.512987012987013,0.5448717948717949,TabPFN
0.5525423728813559,0.5369658119658121,0.6360398860398859,TabPFN
0.4794726930320151,0.5750360750360751,0.7626666666666667,TabPFN
0.5431261770244821,0.5191197691197691,0.6574074074074074,TabPFN
