1,2,3,model
0.8994444444444444,0.6946236559139785,0.8310344827586207,ElasticNet
0.7074468085106382,0.8095238095238095,0.6387931034482759,ElasticNet
0.6090425531914894,0.586021505376344,0.9291666666666666,ElasticNet
0.6936170212765957,0.6580645161290323,0.7594827586206896,ElasticNet
0.8116666666666668,0.5989247311827958,0.9448275862068966,RandomForest
0.6303191489361701,0.8630952380952381,0.7340517241379311,RandomForest
0.6646276595744681,0.5602150537634409,0.9895833333333334,RandomForest
0.674468085106383,0.5193548387096774,0.7724137931034483,RandomForest
0.8569444444444445,0.6397849462365592,0.85,TabPFN
0.6563829787234042,0.8111111111111111,0.6991379310344827,TabPFN
0.6861702127659574,0.5709677419354838,0.9829545454545455,TabPFN
0.775,0.6010752688172043,0.8525862068965517,TabPFN
