1,2,3,model
0.42979797979797973,0.5,0.5,ElasticNet
0.5593220338983051,0.6093711843711843,0.6474358974358974,ElasticNet
0.4704331450094162,0.6691919191919192,0.7013333333333334,ElasticNet
0.5352165725047081,0.6875901875901876,0.670940170940171,ElasticNet
0.4613636363636364,0.6098484848484849,0.6267806267806267,RandomForest
0.4764595103578154,0.5656288156288156,0.7717236467236468,RandomForest
0.42071563088512237,0.5676406926406927,0.758,RandomForest
0.5751412429378531,0.6129148629148629,0.7777777777777778,RandomForest
0.4404040404040404,0.5216450216450216,0.5612535612535613,TabPFN
0.5137476459510357,0.5802655677655677,0.7770655270655271,TabPFN
0.45122410546139363,0.6767676767676768,0.7913333333333334,TabPFN
0.5235404896421846,0.6518759018759019,0.8262108262108262,TabPFN
