1,2,3,model
0.4722222222222222,0.5,0.5,ElasticNet
0.4768361581920904,0.6257020757020758,0.566951566951567,ElasticNet
0.5774011299435029,0.5761183261183261,0.7027878787878789,ElasticNet
0.5393596986817326,0.5158730158730158,0.566951566951567,ElasticNet
0.5861952861952862,0.5537518037518038,0.5904558404558404,RandomForest
0.544256120527307,0.5835927960927961,0.6552706552706553,RandomForest
0.49001883239171373,0.5620490620490621,0.757090909090909,RandomForest
0.5785310734463277,0.5517676767676767,0.8151709401709404,RandomForest
0.3956228956228956,0.49206349206349204,0.6680911680911681,TabPFN
0.503578154425612,0.5738553113553113,0.7656695156695157,TabPFN
0.47721280602636534,0.6251803751803752,0.7994545454545456,TabPFN
0.568738229755179,0.5122655122655122,0.7849002849002849,TabPFN
