1,2,3,model
0.39,0.5,0.5,ElasticNet
0.4595202398800599,1.0,0.41062801932367143,ElasticNet
0.5,0.5,0.5066666666666666,ElasticNet
0.5307346326836582,0.18944081908190818,0.5739130434782609,ElasticNet
0.5065000000000001,0.4187106210621062,0.5241545893719807,RandomForest
0.5224887556221889,1.0,0.46642512077294684,RandomForest
0.514992503748126,0.5680974347434744,0.4851851851851852,RandomForest
0.49775112443778113,0.2799561206120612,0.4734299516908213,RandomForest
0.6050000000000001,0.4515076507650765,0.5700483091787439,TabPFN
0.4992503748125937,1.0,0.4318840579710145,TabPFN
0.5142428785607197,0.726035103510351,0.5560493827160494,TabPFN
0.45277361319340326,0.37004950495049505,0.49275362318840576,TabPFN
