model,1,2,3,4,5,6,7
ElasticNet_DebiasM,0.706747843734145,0.8248587570621468,0.6400147383935151,0.5893665158371041,0.6631250000000001,0.670995670995671,0.7222572509457755
RandomForest_DebiasM,0.8467782851344495,0.6872477804681194,0.5904568901989684,0.5980392156862746,0.515,0.6713286713286714,0.6450189155107189
TabPFN_DebiasM,0.7792998477929984,0.8232445520581114,0.7966101694915255,0.5746606334841629,0.705625,0.6681651681651682,0.7799495586380832
ElasticNet_ComBat,0.8680872653475393,0.9063761097659403,0.8736182756079588,0.7620663650075415,0.80375,0.8334998334998335,0.7960277427490542
RandomForest_ComBat,0.8741755454084221,0.8845843422114609,0.8708548268238762,0.754524886877828,0.79125,0.8029470529470529,0.760718789407314
TabPFN_ComBat,0.8769660071029934,0.9233252623083132,0.894620486366986,0.7552790346907994,0.8393750000000001,0.826007326007326,0.7991803278688524
ElasticNet_MMUPHin,,,,,,,
RandomForest_MMUPHin,,,,,,,
TabPFN_MMUPHin,,,,,,,
