1,2,3,model
0.43888888888888894,0.6147186147186148,0.6225071225071225,ElasticNet
0.5058380414312618,0.5665445665445665,0.5605413105413106,ElasticNet
0.616572504708098,0.531024531024531,0.6977575757575757,ElasticNet
0.5578154425612053,0.4945887445887446,0.5263532763532763,ElasticNet
0.5287037037037037,0.5820707070707071,0.6039886039886039,RandomForest
0.512241054613936,0.5733287545787545,0.6196581196581197,RandomForest
0.5101694915254238,0.5728715728715729,0.7217575757575758,RandomForest
0.48888888888888893,0.5916305916305916,0.5844017094017093,RandomForest
0.5846801346801348,0.6316738816738817,0.688034188034188,TabPFN
0.4862523540489642,0.5376221001221001,0.4943019943019943,TabPFN
0.6580037664783428,0.505050505050505,0.734,TabPFN
0.5231638418079095,0.5216450216450217,0.5356125356125356,TabPFN
