model,1,2,3
ElasticNet_DebiasM,0.5308529945553538,0.6320754716981132,0.4864516129032258
RandomForest_DebiasM,0.5703266787658803,0.41214622641509435,0.503225806451613
TabPFN_DebiasM,0.617967332123412,0.5235849056603774,0.6012903225806452
ElasticNet_ComBat,0.585753176043557,0.6928066037735849,0.7090322580645161
RandomForest_ComBat,0.5698729582577132,0.6370872641509434,0.4580645161290322
TabPFN_ComBat,0.6188747731397459,0.6839622641509433,0.5341935483870968
ElasticNet_MMUPHin,,,
RandomForest_MMUPHin,,,
TabPFN_MMUPHin,,,
