1,2,3,model
0.505050505050505,0.5105613425925926,0.46125,ElasticNet
0.5250988142292491,0.5886967418546367,0.505,ElasticNet
0.5128458498023715,0.5989583333333333,0.5494871794871795,ElasticNet
0.5142292490118577,0.4968171296296296,0.479375,ElasticNet
0.42897395002658156,0.4697627314814815,0.6271875,RandomForest
0.5387351778656126,0.5150125313283208,0.470625,RandomForest
0.5424901185770751,0.5738570601851852,0.4521794871794872,RandomForest
0.5426877470355731,0.5013020833333333,0.641875,RandomForest
0.46576289207868155,0.44820601851851855,0.528125,TabPFN
0.4849802371541502,0.5461152882205514,0.47000000000000003,TabPFN
0.5241106719367589,0.5167824074074074,0.4523076923076923,TabPFN
0.516205533596838,0.4415509259259258,0.5025,TabPFN
