model,1,2,3
ElasticNet_DebiasM,0.7436170212765957,0.7333333333333334,0.725
RandomForest_DebiasM,0.6808510638297872,0.543010752688172,0.6409482758620689
TabPFN_DebiasM,0.6776595744680851,0.6634408602150538,0.7887931034482759
ElasticNet_ComBat,0.725,0.5989247311827957,0.8232758620689655
RandomForest_ComBat,0.7513297872340426,0.524731182795699,0.9258620689655171
TabPFN_ComBat,0.7515957446808511,0.6623655913978495,0.885344827586207
ElasticNet_MMUPHin,,,
RandomForest_MMUPHin,,,
TabPFN_MMUPHin,,,
