1,2,3,model
0.7457828282828283,0.5876623376623376,0.8515625,ElasticNet
0.6177161654135339,0.8873015873015874,0.5423177083333334,ElasticNet
0.7767857142857143,0.6266233766233765,0.8910256410256411,ElasticNet
0.7380169172932329,0.527056277056277,0.7330729166666667,ElasticNet
0.8276767676767676,0.6617965367965368,0.8466796874999999,RandomForest
0.6484962406015038,0.8453174603174602,0.5716145833333334,RandomForest
0.8196663533834586,0.5898268398268399,0.8561538461538462,RandomForest
0.755639097744361,0.6320346320346321,0.7994791666666667,RandomForest
0.7925757575757577,0.7510822510822511,0.8125,TabPFN
0.6773966165413533,0.8092063492063492,0.6608072916666666,TabPFN
0.7925281954887218,0.6796536796536797,0.9051282051282051,TabPFN
0.7051221804511278,0.6277056277056277,0.7382812499999999,TabPFN
