1,2,3,model
0.6723214285714286,0.5577507598784195,0.6054131054131054,ElasticNet
0.55,0.9548148148148148,0.8048433048433049,ElasticNet
0.6,0.668693009118541,0.781212121212121,ElasticNet
0.5405405405405406,0.8069908814589665,0.8091168091168092,ElasticNet
0.7303571428571429,0.5595238095238095,0.5644586894586895,RandomForest
0.5378378378378379,0.9215895061728396,0.801994301994302,RandomForest
0.5891891891891892,0.7826747720364742,0.830909090909091,RandomForest
0.5513513513513513,0.786727456940223,0.7838319088319089,RandomForest
0.6866071428571429,0.5845997973657548,0.6723646723646723,TabPFN
0.5472972972972973,0.9290432098765432,0.7913105413105413,TabPFN
0.6283783783783784,0.754305977710233,0.823030303030303,TabPFN
0.6054054054054054,0.7365754812563323,0.797008547008547,TabPFN
