model,1,2,3,4,5,6,7
ElasticNet_DebiasM,0.7557557557557557,0.8071025020177564,0.8286661753868828,0.6425339366515838,0.6837500000000001,0.78005328005328,0.6629886506935687
RandomForest_DebiasM,0.8059309309309309,0.8983050847457628,0.8828297715549005,0.6376319758672699,0.82125,0.7668997668997669,0.2786885245901639
TabPFN_DebiasM,0.8180680680680681,0.8902340597255851,0.8791451731761237,0.6987179487179487,0.8206249999999999,0.8334998334998336,0.755359394703657
ElasticNet_ComBat,0.841841841841842,0.8910411622276029,0.8747236551215918,0.7496229260935143,0.806875,0.8116883116883117,0.7689155107187894
RandomForest_ComBat,0.8587337337337337,0.9176755447941889,0.8120854826823877,0.7013574660633484,0.798125,0.7896270396270397,0.8417402269861286
TabPFN_ComBat,0.8405905905905905,0.8910411622276029,0.8548268238761976,0.7349170437405731,0.820625,0.818015318015318,0.8237704918032787
ElasticNet_MMUPHin,,,,,,,
RandomForest_MMUPHin,,,,,,,
TabPFN_MMUPHin,,,,,,,
