1,2,3,model
0.5087187666135035,0.492042824074074,0.5556249999999999,ElasticNet
0.5560276679841898,0.5476190476190477,0.48218750000000005,ElasticNet
0.5,0.5,0.4512820512820513,ElasticNet
0.4990118577075099,0.4798900462962963,0.47,ElasticNet
0.6536416799574695,0.5101996527777778,0.49749999999999994,RandomForest
0.5590909090909091,0.6048433583959899,0.36874999999999997,RandomForest
0.40355731225296443,0.5168547453703703,0.4230769230769231,RandomForest
0.5264822134387352,0.48451967592592593,0.34875,RandomForest
0.6601275917065391,0.5503472222222222,0.558125,TabPFN
0.5715415019762846,0.6164912280701754,0.41875,TabPFN
0.4436758893280633,0.392505787037037,0.4197435897435898,TabPFN
0.49229249011857706,0.5245949074074073,0.49500000000000005,TabPFN
