,1,2,3,4,5,6,model
1,0.73548,0.5037,0.428,0.5559,0.1302,0.5631,MGM
2,0.6385,0.71766,0.6186,0.7513,0.6264,0.589,MGM
3,0.6262,0.5469,0.58334,0.74,0.1063,0.6465,MGM
4,0.5933,0.5347,0.5263,0.49984,0.1288,0.6204,MGM
5,0.3724,0.4858,0.4156,0.5105,0.85626,0.5516,MGM
6,0.4846,0.536,0.5117,0.5831,0.163,0.56222,MGM
lodo,0.7031,0.6544,0.6284,0.8349,0.651,0.6924,MGM
