1,2,3,4,5,model
0.8295093795093795,0.8148631029986962,0.9028914348063284,0.9111201298701299,0.8315033783783784,ElasticNet
0.7840909090909091,0.9132608695652176,0.927986906710311,0.9007711038961039,0.8614864864864865,ElasticNet
0.675865800865801,0.8627770534550196,0.9971428571428571,0.8845373376623376,0.847972972972973,ElasticNet
0.6482683982683983,0.7900912646675359,0.8925259138025096,0.9280748663101605,0.8610641891891891,ElasticNet
0.6964285714285714,0.803129074315515,0.9579923622476814,0.906452922077922,0.8678113553113553,ElasticNet
0.7656926406926408,0.8679921773142111,0.9465357337697764,0.9340503246753248,0.8940033783783784,ElasticNet
0.8325036075036074,0.8327900912646675,0.9067103109656302,0.8652597402597403,0.8462837837837838,RandomForest
0.7865259740259741,0.9121376811594203,0.9465357337697763,0.8832183441558441,0.8357263513513514,RandomForest
0.788961038961039,0.8888526727509779,0.9957539682539682,0.9241071428571428,0.8828125,RandomForest
0.7632575757575758,0.8730443285528031,0.963720676486634,0.9420380273321449,0.8946368243243242,RandomForest
0.8354978354978354,0.833767926988266,0.961811238406983,0.9249188311688311,0.8625343406593406,RandomForest
0.7738095238095238,0.8767926988265972,0.9680851063829786,0.934862012987013,0.8965371621621622,RandomForest
0.8482683982683982,0.8529986962190352,0.8783415166393891,0.8678977272727273,0.8420608108108107,TabPFN
0.8079004329004329,0.9378260869565217,0.8805237315875613,0.8216314935064934,0.7179054054054055,TabPFN
0.6212121212121212,0.8601694915254237,1.0,0.8743912337662337,0.8361486486486487,TabPFN
0.6985930735930737,0.8380052151238592,0.9416257501363885,0.9332442067736185,0.9079391891891893,TabPFN
0.7256493506493507,0.8516949152542374,0.9579923622476814,0.9192370129870131,0.8397435897435898,TabPFN
0.7905844155844156,0.872555410691004,0.955810147299509,0.9344561688311688,0.8868243243243243,TabPFN
