,1,2,3,4,model
1,0.39942,0.5178,0.8522,0.473,MGM
2,0.2886,0.72634,0.46,0.571,MGM
3,0.6403,0.4336,0.58054,0.5378,MGM
4,0.2984,0.5417,0.4797,0.58142,MGM
lodo,0.3072,0.4787,0.4666,0.4873,MGM
