model,1,2,3
ElasticNet_DebiasM,0.5108695652173914,0.5373263888888888,0.5034375
RandomForest_DebiasM,0.5024703557312252,0.4884259259259259,0.435625
TabPFN_DebiasM,0.43656126482213437,0.5143229166666667,0.424375
ElasticNet_ComBat,0.558300395256917,0.45211226851851855,0.5034375
RandomForest_ComBat,0.45909090909090905,0.5325520833333333,0.46375000000000005
TabPFN_ComBat,0.4699604743083004,0.49334490740740744,0.424375
ElasticNet_MMUPHin,0.4241106719367589,0.38888888888888884,0.5034375
RandomForest_MMUPHin,0.4798418972332016,0.4733796296296296,0.42125
TabPFN_MMUPHin,0.48221343873517786,0.48119212962962965,0.49374999999999997
