1,2,3,model
0.45982142857142866,0.5319148936170213,0.6926638176638176,ElasticNet
0.5581081081081081,0.9622222222222222,0.7514245014245015,ElasticNet
0.5351351351351352,0.7854609929078014,0.7654545454545454,ElasticNet
0.5182432432432432,0.7781155015197567,0.7688746438746439,ElasticNet
0.5928571428571429,0.6114488348530902,0.4992877492877493,RandomForest
0.44121621621621626,0.9593827160493827,0.7464387464387463,RandomForest
0.5175675675675676,0.7563323201621074,0.7993939393939395,RandomForest
0.5621621621621622,0.7033941236068895,0.7368233618233618,RandomForest
0.5330357142857143,0.6167679837892605,0.6445868945868946,TabPFN
0.55,0.954567901234568,0.7542735042735044,TabPFN
0.5121621621621621,0.7330293819655522,0.8236363636363636,TabPFN
0.5351351351351351,0.7441742654508612,0.7606837606837606,TabPFN
