1,2,3,model
0.7223214285714287,0.46960486322188444,0.5854700854700855,ElasticNet
0.5635135135135135,0.9594753086419752,0.7884615384615385,ElasticNet
0.5337837837837839,0.8368794326241135,0.7154545454545455,ElasticNet
0.5621621621621622,0.837386018237082,0.7941595441595443,ElasticNet
0.7089285714285714,0.5377406281661601,0.7058404558404557,RandomForest
0.43175675675675673,0.9442438271604938,0.8383190883190883,RandomForest
0.4952702702702702,0.8910840932117527,0.8260606060606062,RandomForest
0.4432432432432432,0.8444782168186424,0.754985754985755,RandomForest
0.7044642857142857,0.563323201621074,0.6844729344729346,TabPFN
0.5013513513513512,0.9406481481481481,0.8041310541310541,TabPFN
0.5445945945945946,0.6788247213779128,0.7954545454545455,TabPFN
0.5391891891891891,0.7938196555217831,0.7948717948717948,TabPFN
