1,2,3,model
0.4557239057239057,0.5,0.5,ElasticNet
0.5630885122410546,0.5956196581196582,0.660968660968661,ElasticNet
0.4662900188323917,0.6731601731601732,0.7155757575757576,ElasticNet
0.5386064030131827,0.6800144300144301,0.6666666666666666,ElasticNet
0.538888888888889,0.5645743145743145,0.35363247863247865,RandomForest
0.6165725047080979,0.46628510378510385,0.8165954415954416,RandomForest
0.4269303201506592,0.5335497835497836,0.7635151515151515,RandomForest
0.49943502824858754,0.6309523809523809,0.6417378917378919,RandomForest
0.5200336700336701,0.5786435786435787,0.4914529914529915,TabPFN
0.520527306967985,0.6042735042735042,0.7022792022792023,TabPFN
0.4440677966101695,0.6118326118326117,0.7247878787878788,TabPFN
0.5299435028248588,0.6154401154401156,0.5356125356125356,TabPFN
