1,2,3,model
0.30166666666666664,0.5,0.5,ElasticNet
0.4362818590704648,1.0,0.45072463768115945,ElasticNet
0.5,0.5,0.5382716049382716,ElasticNet
0.535232383808096,0.4645589558955896,0.4454106280193237,ElasticNet
0.6233333333333333,0.23852385238523854,0.5681159420289855,RandomForest
0.5007496251874063,1.0,0.45772946859903385,RandomForest
0.6071964017991005,0.32912353735373534,0.49753086419753084,RandomForest
0.41004497751124436,0.22921354635463548,0.4751207729468599,RandomForest
0.649,0.41826057605760575,0.5260869565217391,TabPFN
0.4542728635682159,1.0,0.44541062801932363,TabPFN
0.4707646176911544,0.5678442844284428,0.4014814814814815,TabPFN
0.5247376311844079,0.3121624662466247,0.4024154589371981,TabPFN
