1,2,3,4,model
0.8140476190476191,0.49242424242424243,0.7844444444444444,0.46782044348296375,ElasticNet
0.5,0.4471428571428572,0.5,0.5,ElasticNet
0.6153521126760564,0.524891774891775,0.9722222222222221,0.5397512168739859,ElasticNet
0.4178873239436619,0.5681818181818181,0.5122222222222221,0.5475308641975308,ElasticNet
0.5638028169014084,0.551948051948052,0.76,0.43104380746349386,ElasticNet
0.8279761904761905,0.39177489177489183,0.5966666666666667,0.49756625202812327,RandomForest
0.41,0.5501587301587303,0.4955555555555555,0.49053542455381294,RandomForest
0.5397887323943662,0.5568181818181819,0.9805555555555555,0.5559762033531639,RandomForest
0.4850000000000001,0.47348484848484845,0.5661111111111111,0.5530864197530864,RandomForest
0.5571830985915492,0.43939393939393934,0.6211111111111112,0.5354245538128718,RandomForest
0.8421904761904763,0.34848484848484845,0.7577777777777778,0.4472687939426717,TabPFN
0.5122535211267606,0.5569841269841269,0.8655555555555555,0.515413737155219,TabPFN
0.5480281690140845,0.4545454545454546,0.9666666666666668,0.5300162249864792,TabPFN
0.4528169014084507,0.6125541125541125,0.4888888888888889,0.5175925925925926,TabPFN
0.5825352112676057,0.4556277056277056,0.7466666666666667,0.43482963764196864,TabPFN
