1,2,3,4,model
0.8738756613756614,0.5747035573122529,0.7211111111111111,0.5698924731182796,ElasticNet
0.5,0.5363636363636364,0.5,0.5,ElasticNet
0.7809452363090773,0.43478260869565216,0.788888888888889,0.48047538200339557,ElasticNet
0.4493623405851463,0.5841897233201582,0.40888888888888886,0.6103146853146852,ElasticNet
0.7231807951987997,0.5201581027667984,0.5477777777777778,0.5565930956423316,ElasticNet
0.9824074074074074,0.30079051383399213,0.7783333333333333,0.5145727221279004,RandomForest
0.4508627156789198,0.5895454545454546,0.465,0.5012733446519524,RandomForest
0.8593398349587397,0.4075098814229249,0.8388888888888889,0.5304187889077533,RandomForest
0.6046511627906976,0.5604743083003952,0.585,0.562689393939394,RandomForest
0.6046511627906976,0.5707509881422925,0.4788888888888889,0.42840973401245047,RandomForest
0.9884259259259259,0.3193675889328063,0.7711111111111111,0.5308432371250709,TabPFN
0.3218304576144036,0.5909090909090909,0.40666666666666673,0.5036785512167515,TabPFN
0.8177044261065266,0.4434782608695652,0.7277777777777777,0.5582908885116016,TabPFN
0.5558889722430608,0.47588932806324113,0.5411111111111111,0.6072843822843822,TabPFN
0.44936234058514624,0.5509881422924902,0.7155555555555556,0.547255234861347,TabPFN
