1,2,3,model
0.8736111111111112,0.6731182795698925,0.8758620689655172,ElasticNet
0.598936170212766,0.7365079365079364,0.5991379310344829,ElasticNet
0.6579787234042553,0.6161290322580645,0.9215909090909091,ElasticNet
0.7547872340425532,0.6075268817204301,0.8362068965517242,ElasticNet
0.8309722222222222,0.718279569892473,0.8150862068965518,RandomForest
0.6037234042553191,0.8626984126984126,0.7926724137931034,RandomForest
0.7603723404255319,0.5424731182795699,0.9791666666666667,RandomForest
0.7622340425531914,0.5220430107526882,0.8094827586206896,RandomForest
0.8324999999999999,0.6236559139784946,0.8956896551724138,TabPFN
0.6914893617021277,0.8158730158730159,0.7456896551724138,TabPFN
0.6058510638297873,0.6225806451612903,1.0,TabPFN
0.5558510638297872,0.6408602150537634,0.9094827586206896,TabPFN
