1,2,3,model
0.6615098351940457,0.4793113425925926,0.503125,ElasticNet
0.5,0.4947368421052632,0.5,ElasticNet
0.4800395256916996,0.4066840277777778,0.6705128205128206,ElasticNet
0.4351778656126482,0.42505787037037035,0.365,ElasticNet
0.6340244550770866,0.5087528935185185,0.47125,RandomForest
0.5390316205533596,0.741892230576441,0.46875,RandomForest
0.46729249011857704,0.5580150462962963,0.6566666666666666,RandomForest
0.46531620553359687,0.4790943287037037,0.5231250000000001,RandomForest
0.6258904837852206,0.502170138888889,0.51,TabPFN
0.4792490118577075,0.660438596491228,0.528125,TabPFN
0.43774703557312256,0.4389467592592593,0.7694871794871794,TabPFN
0.4545454545454546,0.44357638888888884,0.48000000000000004,TabPFN
