1,2,3,model
0.5969806763285024,0.6285377358490565,0.5406451612903226,ElasticNet
0.4927404718693285,0.5977489177489177,0.4051612903225807,ElasticNet
0.5621597096188747,0.6173349056603774,0.741904761904762,ElasticNet
0.616152450090744,0.6397405660377359,0.56,ElasticNet
0.6780797101449275,0.5038325471698113,0.6090322580645162,RandomForest
0.5020417422867514,0.5879220779220778,0.4864516129032258,RandomForest
0.5698729582577132,0.546875,0.7671428571428571,RandomForest
0.6191016333938294,0.44604952830188677,0.727741935483871,RandomForest
0.578743961352657,0.6314858490566038,0.5922580645161291,TabPFN
0.5326678765880217,0.6813852813852813,0.49419354838709684,TabPFN
0.6678765880217786,0.5719339622641509,0.7114285714285715,TabPFN
0.6347549909255898,0.6332547169811321,0.5832258064516129,TabPFN
