model,1,2,3,4,5,6
ElasticNet_DebiasM,0.7335930084121632,0.6803573832278906,0.5692873303167421,0.6594871794871795,0.6620498614958449,0.6368699780861944
RandomForest_DebiasM,0.6793394651566234,0.47081538565082787,0.5487839366515836,0.638974358974359,0.7451523545706371,0.4821950328707086
TabPFN_DebiasM,0.7040031422866682,0.6637333423071746,0.6263574660633484,0.6071794871794872,0.6011080332409972,0.5745069393718043
ElasticNet_ComBat,0.733625740564957,0.6069289271772783,0.6604638009049775,0.7302564102564103,0.6565096952908588,0.7036157779401023
RandomForest_ComBat,0.7477005662662434,0.6539238120877642,0.65625,0.7230769230769231,0.6024930747922438,0.6817019722425127
TabPFN_ComBat,0.7166704854178261,0.6442825413918428,0.6675904977375566,0.837948717948718,0.5664819944598338,0.6678232286340394
ElasticNet_MMUPHin,,,,,,
RandomForest_MMUPHin,,,,,,
TabPFN_MMUPHin,,,,,,
