model,1,2,3,4
ElasticNet_DebiasM,0.6706676669167292,0.46719367588932803,0.6277777777777778,0.5585738539898133
RandomForest_DebiasM,0.4216054013503376,0.3786561264822134,0.6955555555555556,0.5350877192982456
TabPFN_DebiasM,0.5536384096024005,0.34703557312252964,0.6888888888888889,0.5308432371250708
ElasticNet_ComBat,0.7021755438859716,0.5225296442687747,0.6633333333333333,0.579513299377476
RandomForest_ComBat,0.7696924231057766,0.43952569169960476,0.6277777777777779,0.46915676287492925
TabPFN_ComBat,0.7546886721680419,0.4411067193675889,0.7588888888888888,0.5441426146010186
ElasticNet_MMUPHin,,,,
RandomForest_MMUPHin,,,,
TabPFN_MMUPHin,,,,
