1,2,3,model
0.48708133971291867,0.4927662037037036,0.50875,ElasticNet
0.483596837944664,0.5684461152882206,0.5275,ElasticNet
0.5,0.5,0.4884615384615385,ElasticNet
0.4658102766798419,0.3885995370370371,0.46875,ElasticNet
0.46326422115895804,0.4692563657407407,0.5515625,RandomForest
0.533794466403162,0.5759649122807018,0.435,RandomForest
0.4357707509881423,0.585865162037037,0.39692307692307693,RandomForest
0.5217391304347826,0.4609375,0.49624999999999997,RandomForest
0.505103668261563,0.5717592592592593,0.530625,TabPFN
0.5664031620553359,0.6189974937343358,0.519375,TabPFN
0.4575098814229249,0.5756655092592593,0.47923076923076924,TabPFN
0.5219367588932806,0.6306423611111112,0.3725,TabPFN
