1,2,3,4,5,model
0.894155844155844,0.7946544980443285,0.8625204582651391,0.8569399350649352,0.8116554054054055,ElasticNet
0.7694805194805194,0.9105072463768117,0.9301691216584834,0.8232548701298702,0.8006756756756757,ElasticNet
0.6385281385281385,0.871903520208605,0.9915079365079364,0.8967126623376622,0.8944256756756757,ElasticNet
0.6044372294372293,0.7750977835723599,0.90671031096563,0.936215092097445,0.8969594594594594,ElasticNet
0.7294372294372294,0.8549543676662321,0.9650845608292418,0.9165990259740259,0.8990155677655677,ElasticNet
0.7889610389610389,0.8292046936114733,0.9432624113475176,0.9314123376623377,0.8994932432432432,ElasticNet
0.8901515151515152,0.76874185136897,0.853518821603928,0.8625202922077921,0.8431165540540541,RandomForest
0.8284632034632035,0.8993840579710145,0.9143480632842335,0.8789569805194805,0.8752111486486486,RandomForest
0.7467532467532467,0.8582138200782269,0.9876190476190475,0.935064935064935,0.9066722972972973,RandomForest
0.7080627705627707,0.8624511082138202,0.9408074195308238,0.9333927510398098,0.9159628378378379,RandomForest
0.7451298701298701,0.8621251629726207,0.9609929078014184,0.9296875,0.8739926739926739,RandomForest
0.7402597402597403,0.8803780964797914,0.9397163120567377,0.9299918831168831,0.9142736486486487,RandomForest
0.8668109668109667,0.8044328552803129,0.8603382433169666,0.8571428571428572,0.8036317567567568,TabPFN
0.8062770562770563,0.9204347826086957,0.9198036006546645,0.8806818181818181,0.8209459459459459,TabPFN
0.6737012987012987,0.864406779661017,0.983174603174603,0.9101055194805194,0.8855574324324325,TabPFN
0.6596320346320346,0.8236636245110822,0.9214402618657939,0.9443553178847296,0.9108952702702703,TabPFN
0.7099567099567099,0.8520208604954368,0.9699945444626296,0.919439935064935,0.8853021978021978,TabPFN
0.7510822510822511,0.8614732724902217,0.9498090561920349,0.929788961038961,0.9028716216216217,TabPFN
