taxid,taxname
290425,Advenella
1883,Streptomyces
953,Wolbachia
323449,Pontibacter
35798,Nitrosospira
13687,Sphingomonas
111142,Alishewanella
252301,Oceanicola
1152,Pseudanabaena
13334,Anaerobiospirillum
1279388,Kandleria
186650,Microvirga
227979,Jeotgalicoccus
1573535,Holdemanella
151754,Xenophilus
155862,Methanothermococcus
237,Flavobacterium
1506553,Lachnoclostridium
1508657,Ruminiclostridium
232523,Hylemonella
85413,Bosea
82373,Anaerovibrio
174951,Ramlibacter
2282523,Methylorubrum
990721,Christensenella
715222,Caldicoprobacter
2070447,Conservatibacter
2039240,Anaerotignum
44748,Sporobacter
1505663,Thomasclavelia
257820,Kerstersia
2742,Marinobacter
2733,Symbiobacterium
168808,Sneathia
278993,Thermincola
2005359,Faecalicatena
196119,Methanotorris
33870,Coriobacterium
233191,Caldilinea
2048137,Agathobaculum
519427,Sharpea
99906,Alkalibacterium
114248,Tepidimonas
165696,Novosphingobium
2179,Methanothermus
293088,Martelella
42054,Chromohalobacter
346096,Paludibacter
657,Photobacterium
2373,Acetonema
588605,Robinsoniella
28065,Rhodoferax
68,Lysobacter
1870884,Clostridioides
28138,Rikenella
141948,Thermomonas
1505657,Intestinibacter
2132,Spiroplasma
2263,Thermococcus
442430,Coraliomargarita
1372,Planococcus
137460,Aerosphaera
36862,Ideonella
445,Legionella
501783,Cloacibacterium
52784,Anaerofilum
46205,Pseudobutyrivibrio
2740,Peptococcus
449972,Chelativorans
420345,Lactonifactor
579,Kluyvera
13075,Globicatella
1506577,Tyzzerella
1649512,Vulcaniibacterium
2239,Halobacterium
41273,Tissierella
2192,Methanocorpusculum
404,Methylobacillus
2268,Thermofilum
898,Desulfomicrobium
44262,Oxalophagus
100175,Papillibacter
1912216,Cutibacterium
33981,Kineococcus
81682,Methylovorus
33886,Rathayibacter
255204,Pseudoclavibacter
1551504,Candidatus Babela
653683,Anaerosporobacter
61434,Dehalococcoides
1486726,Pseudobacteroides
590,Salmonella
541,Zymomonas
1111,Porphyrobacter
864,Pectinatus
2147,Acholeplasma
489140,Geminicoccus
1200657,Saccharofermentans
182709,Oceanobacillus
33071,Gloeobacter
1562,Desulfotomaculum
1792239,Caviibacter
1913599,Peptoanaerobacter
34104,Streptobacillus
374,Bradyrhizobium
172900,Victivallis
55506,Schwartzia
123,Pirellula
84034,Propionispira
44249,Paenibacillus
666508,Phycisphaera
256846,Lentisphaera
2735,Verrucomicrobium
270497,Christensenella
1573806,Mariniphaga
423604,Elusimicrobium
978,Cytophaga
362865,Sandarakinorhabdus
361177,Altererythrobacter
57665,Sulfurospirillum
1041,Erythrobacter
1649501,Tangfeifania
1236988,Geofilum
299566,Adhaeribacter
70992,Flexithrix
1637257,Mageeibacillus
186831,Acetoanaerobium
499058,Spongitalea
118966,Anaerorhabdus
314318,Prolixibacter
633413,Pseudozobellia
150333,Thermobrachium
286729,Alkaliflexus
1573534,Faecalitalea
1866885,Mycolicibacterium
262406,Thermobaculum
253238,Ethanoligenens
129337,Geobacillus
203470,Tepidiphilus
71655,Brenneria
187,Aquaspirillum
2370,Xylella
265980,Alkalimonas
626,Xenorhabdus
155493,Gallibacterium
70411,Frateuria
2094023,Glaesserella
18,Pelobacter
242605,Luteibacter
1765964,Acidihalobacter
469322,Steroidobacter
271159,Nicoletella
697331,Basfia
1960084,Rodentibacter
958,Bdellovibrio
504481,Sediminibacterium
79328,Chitinophaga
1648517,Mesocricetibacter
1505660,Asaccharospora
75984,Mannheimia
73029,Dechloromonas
359336,Castellaniella
508459,Cloacibacillus
1647,Erysipelothrix
28067,Rubrivivax
332162,Candidatus Solibacter
114627,Alkaliphilus
29407,Rhodoplanes
43947,Tolumonas
553372,Asaccharobacter
1344362,Rehaibacterium
106591,Ensifer
178440,Opitutus
12960,Azoarcus
2057233,Amedibacterium
85,Hyphomonas
332102,Fluviicola
1408818,Youngiibacter
31988,Aminobacter
204447,Skermanella
29487,Photorhabdus
1860,Geodermatophilus
2282740,Desulfallas
1843210,Anaerocolumna
1004300,Hydrotalea
697025,Hoyosella
47420,Hydrogenophaga
380240,Candidatus Brocadia
1649453,Gimesia
296051,Terrimonas
84036,Syntrophococcus
1505652,Terrisporobacter
2040476,Rhabdanaerobium
28050,Lachnospira
83660,Desulfonispora
160795,Ureibacillus
1573536,Faecalicoccus
35829,Acetivibrio
44261,Oxobacter
862,Syntrophomonas
79206,Desulfosporosinus
2282742,Desulfofarcimen
78119,Succinispira
1121829,Fodinicurvata
36853,Desulfitobacterium
140625,Lachnobacterium
1291539,Methanomethylophilus
101,Flectobacillus
660628,Insolitispirillum
2042899,Andreesenia
93217,Pandoraea
869806,Marivirga
293136,Desulfitibacter
204446,Zavarzinia
343331,Kopriimonas
252965,Mahella
241189,Hespellia
63132,Geitlerinema
1565532,Rouxiella
364031,Sulfurivirga
365348,Pelosinus
56112,Dehalobacter
518753,Luteolibacter
1505664,Gottschalkia
448125,Dethiosulfatibacter
173479,Gemmatimonas
41707,Lawsonia
1849822,Paraclostridium
1769729,Hathewaya
496496,Viridibacillus
33926,Candidatus Phytoplasma
2375,Sporomusa
150818,Heliophilum
69894,Tindallia
1155934,Marininema
866,Ruminobacter
28100,Phyllobacterium
373984,Rivularia
200473,Brumimicrobium
274470,Alkalibacter
392735,Uliginosibacterium
1115103,Wandonia
909656,Phocaeicola
204456,Gemmobacter
1021,Beggiatoa
1618113,Saccharicrinis
267986,Owenweeksia
83681,Nonomuraea
1676142,Wenzhouxiangella
65502,Cryptosporangium
28033,Sulfobacillus
1754,Thermoanaerobacter
157226,Jeotgalibacillus
218204,Garciella
1884930,Maledivibacter
35838,Holophaga
282132,Candidatus Protochlamydia
89958,Natronincola
1051898,Actimicrobium
53244,Desulfonatronovibrio
49082,Candidatus Arthromitus
45667,Halobacillus
46239,Mesoplasma
82802,Trichococcus
1054211,Sulfuritalea
117999,Denitrovibrio
165812,Sporanaerobacter
96,Gallionella
455358,Balneola
151037,Anaerosinus
44260,Moorella
1653174,Actinotignum
1125,Microcystis
45662,Desulfohalobium
83612,Psychroflexus
28261,Thermodesulfovibrio
1030,Thiothrix
2755,Brochothrix
28231,Geobacter
35823,Arthrospira
1822464,Paraburkholderia
929509,Solitalea
1481960,Peptoclostridium
57739,Vogesella
896,Desulfococcus
177399,Anaerophaga
1502725,Effusibacillus
1569,Sporosarcina
178469,Arenibacter
1107,Chloroflexus
1813,Amycolatopsis
29526,Syntrophobacter
253255,Soehngenia
81466,Aminobacterium
306539,Halolactibacillus
329857,Cohnella
349,Zoogloea
1120752,Nodosilinea
2282741,Desulfofundulus
271087,Geopsychrobacter
795750,Ignavibacterium
48463,Prosthecobacter
31980,Acetitomaculum
1918452,Extibacter
375928,Natranaerobius
16,Methylophilus
2086,Anaeroplasma
456492,Saccharibacillus
224474,Desulfothermus
85273,Rhodothalassium
32,Myxococcus
1647190,Aquibacillus
1123967,Porticoccus
67572,Psychromonas
47251,Leptolyngbya
281472,Jiangella
453850,Joostella
370735,Zhihengliuella
1501226,Romboutsia
91914,Asaia
28250,Ornithobacterium
400060,Paludibacterium
66848,Desulfonatronum
373053,Calditerricola
643217,Afifella
74030,Roseovarius
46238,Entomoplasma
150059,Halonatronum
226,Alteromonas
1190,Fischerella
269258,Nitratiruptor
13034,Dactylococcopsis
119977,Acidithiobacillus
457933,Elioraea
2425,Teredinibacter
143222,Salegentibacter
290180,Roseivirga
992,Flexibacter
162171,Magnetococcus
933,Thiomicrospira
399320,Sphaerochaeta
376488,Halotalea
689697,Salisaeta
1742990,Paeniglutamicibacter
693074,Caldisericum
240411,Chitinimonas
100715,Chloroherpeton
59740,Persicobacter
261933,Pleomorphomonas
503005,Dasania
467975,Iamia
336260,Thermovirga
82800,Desemzia
1203,Scytonema
1068,Rhodomicrobium
57494,Nesterenkonia
155977,Acaryochloris
65047,Roseateles
29298,Planobispora
253183,Myceligenerans
85079,Thiohalocapsa
1495038,Mesoaciditoga
