taxid,taxname
1522429,Lihuaxuella
475794,Haliea
292486,Avibacterium
453849,Henriciella
105591,Symploca
42734,Thermopallium
196013,Caldimonas
312063,Azohydromonas
1912771,Halodesulfovibrio
2211641,Yoonia
153232,Oceanicaulis
59282,Blastochloris
77674,Paracraurococcus
223927,Oxalicibacterium
32068,Sebaldella
444051,Mesoflavibacter
1068904,Primorskyibacter
1649452,Geothermomicrobium
1004302,Parasegetibacter
484508,Ornithinibacillus
352,Azotobacter
1654931,Crenobacter
477695,Thermogladius
83766,Propionivibrio
406099,Aquisalimonas
311411,Pseudoruegeria
264688,Trichormus
348581,Propionicicella
180541,Salinisphaera
138117,Quatrionicoccus
623282,Psychrilyobacter
59739,Flammeovirga
54302,Dermocarpella
280472,Aquiflexum
973,Sporohalobacter
1263978,Candidatus Endolissoclinum
89404,Glaciecola
133,Methylocystis
165301,Lentzea
221065,Kordia
585890,Chitiniphilus
182269,Aurantimonas
64968,Marinospirillum
273135,Candidatus Cardinium
33993,Neorickettsia
263066,Malikia
68288,Cyclobacterium
661182,Perlucidibaca
13724,Thiocystis
1123955,Oceanobacterium
212742,Morococcus
240236,Woodsholea
70190,Chroococcus
200414,Caldisphaera
89092,Ignavigranum
34067,Cycloclasticus
449810,Lutimonas
1397106,Fodinibius
29574,Taylorella
366614,Haematobacter
1434030,Phytomonospora
1518147,Wenyingzhuangia
54253,Thermosphaera
64895,Borreliella
188905,Jannaschia
326319,Dokdonia
768,Anaplasma
2212691,Thiolinea
2279,Staphylothermus
475087,Methanosphaerula
1184396,Mesotoga
1857532,Muribacter
171868,Thermovibrio
461,Fluoribacter
312278,Emticicia
83764,Formivibrio
85265,Phaeospirillum
186188,Xylanimonas
85077,Isochromatium
1827195,Caballeronia
327159,Candidatus Accumulibacter
1572663,Chishuiella
92944,Ketogulonicigenium
570266,Methanocella
1884449,Salipaludibacillus
1522432,Pseudoduganella
2233,Archaeoglobus
53452,Lamprocystis
1210116,Flavitalea
871740,Halomarina
937253,Thermohydrogenium
57479,Microvirgula
34102,Sphaerotilus
2039723,Thiomicrorhabdus
649461,Lacibacter
146785,Thermosynechococcus
2276,Pyrobaculum
192987,Allofustis
1935172,Haloactinomyces
191028,Leisingera
465,Tatlockia
83677,Thermobifida
1395977,Aidingimonas
1222,Prochlorothrix
45989,Methanoculleus
1649279,Epibacterium
235572,Candidatus Portiera
28895,Thermoanaerobacterium
154346,Thiorhodospira
404235,Maritimibacter
577469,Demequina
214904,Tepidibacter
561554,Zeaxanthinibacter
1123949,Robiginosimarina
1425377,Haloechinothrix
1649487,Rhizorhapis
1274351,Kroppenstedtia
427077,Salsuginibacillus
200903,Paraliobacillus
1649514,Caldimonas
1329200,Fictibacillus
407217,Aquitalea
119979,Thermithiobacillus
46631,Picrophilus
219181,Ottowia
106146,Pelistega
136099,Knoellia
574892,Kriegella
230666,Chitinibacter
283810,Stackebrandtia
1101,Prosthecochloris
81463,Anaeromusa
1778601,Apibacter
418700,Litorivicinus
472054,Leptobacterium
1820341,Crenalkalicoccus
49277,Psychroserpens
254250,Isoptericola
690086,Salinarimonas
741759,Tomitella
1187078,Cecembia
267408,Arsenicicoccus
54247,Hyperthermus
1029631,Amnibacterium
58050,Moritella
402649,Actinomycetospora
388463,Edaphobacter
1123,Chlorogloeopsis
387658,Marixanthomonas
2211635,Cognatishimia
2220,Methanolobus
475230,Pullulanibacillus
745153,Umboniibacter
68034,Sporotomaculum
659428,Marivita
54251,Pyrolobus
261827,Algibacter
1047,Chromatium
2284,Sulfolobus
863253,Marinicella
574559,Hellea
647960,Marinactinospora
28070,Gloeothece
225143,Oceanisphaera
1048757,Candidatus Moranella
57488,Thiorhodococcus
2225,Methanococcoides
442432,Perexilibacter
59613,Skermania
700450,Siphonobacter
311207,Gaetbulibacter
2040254,Salinifilum
1205,Trichodesmium
354349,Pseudochrobactrum
1472344,Basilea
157920,Cellulosimicrobium
1884922,Herbihabitans
1344552,Noviherbaspirillum
1658781,Aliiroseovarius
217510,Fulvimarina
2029,Kibdelosporangium
596495,Sciscionella
336803,Thorsellia
613121,Smaragdicoccus
79603,Denitrobacterium
142577,Prauserella
2420,Thermosipho
130795,Crossiella
653686,Wenxinia
1543704,Niveispirillum
93682,Roseivivax
651553,Haloglycomyces
225447,Yaniella
124224,Brackiella
54258,Ignicoccus
93368,Pseudaminobacter
246861,Grimontia
1096776,Flexivirga
869,Dichelobacter
52605,Myxosarcina
1195526,Gryllotalpicola
168470,Laribacter
2212731,Thiofilum
1679449,Pseudooceanicola
568987,Candidatus Hamiltonella
286800,Tenuibacillus
644355,Inhella
83461,Corallococcus
82559,Thiolamprovum
88723,Natrinema
74968,Ferroplasma
1158296,Poseidonocella
292713,Silanimonas
41980,Metallosphaera
153497,Kozakia
476528,Bibersteinia
911,Nitrobacter
626119,Ruania
34000,Acidomonas
63958,Demetria
2038280,Robbsia
152053,Starkeya
104204,Streptomonospora
78328,Allocoenonia
1621534,Paraglaciecola
41201,Ewingella
186829,Agitococcus
1940136,Tibeticola
635,Edwardsiella
367298,Phycicoccus
47494,Pedomicrobium
1930924,Haematomicrobium
1273095,Anaerosphaera
429014,Desulfopila
1184606,Austwickia
2024958,Alkalispirochaeta
1649467,Mariniluteicoccus
194195,Alysiella
116071,Micropruina
162491,Oerskovia
37924,Thermocrispum
227873,Pannonibacter
46466,Halocella
482136,Fangia
1294511,Naumannella
2040262,Allobranchiibius
28186,Acetohalobium
37817,Desulfuromusa
227864,Cerasibacillus
34069,Telluria
2202,Methanospirillum
152161,Stappia
375673,Paraferrimonas
331654,Alkalibacillus
576341,Halovibrio
1998,Planomonospora
43673,Jonesia
28209,Chelatococcus
1082702,Lonsdalea
395331,Methanoregula
568394,Pseudogulbenkiania
33969,Melissococcus
2211638,Limimaricola
33976,Caryophanon
53456,Propioniferax
157932,Paucimonas
122277,Pectobacterium
454159,Kiloniella
1645,Renibacterium
84756,Beutenbergia
230355,Methanolacinia
1436289,Candidatus Symbiobacter
291183,Lacinutrix
279,Xanthobacter
551759,Aromatoleum
168657,Hydrogenobaculum
292691,Christiangramia
40136,Afipia
364409,Granulibacter
2019,Thermomonospora
401618,Candidatus Riesia
991903,Polymorphum
1073531,Mycolicibacter
551,Erwinia
64159,Desulfurobacterium
309512,Dinoroseobacter
88,Leptothrix
1269201,Salinarchaeum
53357,Intrasporangium
2302,Thermoplasma
2321,Methanohalobium
12914,Acidianus
196136,Methanosalsum
2016,Streptoalloteichus
54260,Ferroglobus
203135,Halomicrobium
659427,Sediminimonas
1617805,Amylibacter
2175,Methanohalophilus
387342,Halopiger
1354333,Cosenzaea
82978,Budvicia
76886,Caldivirga
52607,Xenococcus
33874,Catenuloplanes
437506,Robiginitomaculum
1862,Dermatophilus
1069494,Trueperella
53392,Thiodictyon
34100,Filibacter
320496,Neoasaia
1156568,Methylovirgula
1433986,Actibacterium
120376,Salana
1855402,Allohahella
1114981,Piscinibacter
81416,Methanofollis
2249,Halococcus
353799,Halostagnicola
940550,Gilvimarinus
200677,Meniscus
1649483,Pseudopelagicola
119044,Filomicrobium
42418,Halanaerobacter
64,Herpetosiphon
358023,Lutibacter
1868332,Neomicrococcus
1121253,Catelliglobosispora
365532,Belnapia
85043,Williamsia
269773,Atopococcus
427753,Humibacter
1609627,Hydrogenibacillus
93681,Roseateles
1100891,Paenalcaligenes
1137960,Allokutzneria
1424614,Thermoactinospora
1237104,Litoribacter
158848,Moellerella
390250,Labedella
28194,Thermonema
54066,Xylophilus
52003,Natroniella
600332,Zavarzinella
1167830,Litorimonas
334108,Bergeriella
501022,Glaciibacter
984996,Mobilicoccus
1156392,Pseudokineococcus
1331730,Microcella
1143004,Methyloferula
344063,Oryzihumus
1070314,Halorussus
33073,Zymobacter
367771,Marinovum
1649470,Minicystis
2314,Methanoplanus
1008195,Halopelagius
56688,Halorubrum
497721,Desulfoluna
1121254,Hamadaea
58122,Spirillospora
293431,Haloquadratum
64322,Carnimonas
744724,Halarchaeum
695982,Halogranum
121871,Haloterrigena
63743,Natronomonas
146825,Halorhabdus
228398,Streptacidiphilus
1198,Phormidium
300264,Silvimonas
60846,Halogeometricum
1073986,Halobellus
43356,Kutzneria
90974,Acrocarpospora
1073987,Halorientalis
367188,Haladaptatus
947567,Litoreibacter
2204,Methanomicrobium
376170,Haloplanus
332951,Halovivax
1377992,Halovenus
1792303,Sphaerimonospora
1331737,Ruania
182402,Rubritepida
665568,Paraoerskovia
253106,Natronolimnobius
2195,Methanogenium
69961,Azomonas
908935,Yimella
926359,Natronoarchaeum
110103,Anabaenopsis
556178,Humibacillus
1434046,Sphingorhabdus
869896,Halonotius
482135,Thermogymnomonas
2251,Haloferax
1075398,Salarchaeum
29287,Natronococcus
342943,Sinobaca
472058,Schumannella
82976,Buttiauxella
444052,Tanticharoenia
331525,Kribbia
336827,Rhodonellum
1049006,Fortiea
387095,Palleronia
332246,Halalkalicoccus
2256,Natronobacterium
263377,Salipiger
166974,Lentzea
13242,Rarobacter
205841,Cryocola
1511643,Corallibacter
41674,Stygiolobus
246263,Hydrogenivirga
183669,Macromonas
1747777,Cuniculiplasma
43927,Halobaculum
158876,Yokenella
69655,Sulfurisphaera
321315,Sphaerisporangium
507753,Acidiplasma
159191,Nodularia
132605,Limnothrix
160794,Filobacillus
1820337,Haloparvum
2308,Pyrodictium
1995,Microtetraspora
2304691,Thermoclostridium
2304692,Acetivibrio
697279,Bavariicoccus
582472,Wohlfahrtiimonas
99,Ancylobacter
2100764,Mixta
2529408,Schaalia
444459,Flagellimonas
767528,Geomicrobium
165798,Neocyanospira
334857,Goodfellowiella
518733,Microterricola
224455,Hyalangium
74032,Antarctobacter
1450140,Halohasta
58842,Sagittula
