ncbi_816,ncbi_838,ncbi_1263,ncbi_33024,ncbi_1678,ncbi_102106,ncbi_397864,ncbi_1578,ncbi_1766253,ncbi_33042,ncbi_572511,ncbi_239759,ncbi_1505663,ncbi_1573534,ncbi_841,ncbi_216851,ncbi_40840,ncbi_292632,ncbi_209879,ncbi_135858,ncbi_29465,ncbi_1301,ncbi_189330,ncbi_2039302,ncbi_580596,ncbi_1980693,ncbi_39948,ncbi_191303,ncbi_872,ncbi_2740,ncbi_207244,ncbi_904,ncbi_547,ncbi_2086,ncbi_1774107,ncbi_28050,ncbi_158846,ncbi_40544,ncbi_1573535,ncbi_848,ncbi_1769710,ncbi_123375,ncbi_577309,ncbi_577310,ncbi_83770,ncbi_1743,ncbi_375288,ncbi_35832,ncbi_1386,ncbi_946234,ncbi_117563,ncbi_283168,ncbi_1407607,ncbi_447020,ncbi_84108,ncbi_906,ncbi_1505657,ncbi_84111,ncbi_1506553,ncbi_1283313,ncbi_1473205,ncbi_580024,ncbi_86331,ncbi_1350,ncbi_644652,ncbi_46255,ncbi_1649459,ncbi_1980681,ncbi_119852,ncbi_1940255,ncbi_574697,ncbi_1378,ncbi_1506577,ncbi_52225,ncbi_416916,ncbi_724,ncbi_469,ncbi_570,ncbi_713,ncbi_1348911,ncbi_2152,ncbi_459786,ncbi_244127,ncbi_638847,ncbi_239934,ncbi_100883,ncbi_172900,ncbi_1918511,ncbi_1392389,ncbi_1926663,ncbi_482,ncbi_404402,ncbi_168808,ncbi_596767,ncbi_2701,ncbi_204475,ncbi_1485,ncbi_140625,ncbi_2172
0.0,0.0,0.09570189357982432,0.0,0.0,0.0,0.0,0.03407777060761368,0.0,0.0,0.0,0.0,0.0,0.0,0.17351139633035192,0.0321087387098876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671317403028147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032141245385015296,0.0,0.2707655356441923,0.0,0.0,0.0,0.0,0.0,0.0,0.011981175288454174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07939375129622153,-0.2054013358984973,0.0,0.0,0.0
0.0,0.0,0.09527206364191533,0.0,0.03780217192446966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10625270736220514,0.0,0.0,0.0,0.0,0.0,0.09950219780755118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689128895875197,0.0,0.0,0.0,0.0,0.04313335391720743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27947869136549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06156041931681056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03096162281156081,-0.17771174038948745,0.0,0.0,0.0
0.0,0.0,0.14975580641956193,0.0,0.0,0.1462138148605428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05101235011974602,0.03639275346770515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05145101627955108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014207868705845117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30057931151217376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1005198166202564,0.0,0.0,0.0,0.0
0.0,0.0,0.04405610241276204,0.0,0.0,0.0805993467540839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13619272602824467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1694344244204056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3384212803613102,0.0,-0.046644916918167204,0.0,0.0,0.0,0.013655804140371756,0.0,0.0,0.0,0.011515450466231212,0.0,0.0,0.0,0.0,0.1615183968214501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07135079959870061,0.0,0.0,0.0
0.0,0.0,0.05414335832533315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015959664730629493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03541366468254131,0.0,0.0,0.0,0.0,-0.20353520888344578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01282938597326159,0.0,0.0,0.0,0.0,0.0,0.2294834151439929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027583044077156928,0.0,0.0,0.0,0.0,0.0,0.2533987674736852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013364071288742731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10035909456978251,0.0,0.0,0.0
0.0,0.0,0.1029988813117868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07281409436167915,0.043294438954294884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16502538281756676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025589903108994432,0.0,0.021343820226375352,-0.00047008979689000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09343945699698983,0.0,0.0,0.0,0.02459688393683696,0.2346609254607775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07914264983008187,0.0,0.0,0.09529519577326188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01776467364425427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13798729671933666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2345732250149465,0.0,0.0,0.0,0.0,0.0,0.02127119554721419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03314967966754347,0.0,0.003579223801928322,0.0,0.0,0.02407986151141322,0.0,0.0,0.0,0.0,0.030032753636548924,0.0,0.0,0.0,0.0
0.0,0.0,0.08814067795332706,0.09893353913254688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022931104617202594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13972359140774873,0.0,0.0,0.0,0.010298729238022341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007975075747968066,0.0,0.0,0.07418545458654113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019185899345137036,0.0,0.0,0.0,0.03467473460785426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03386406526420077,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08192379178629998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04773441594813401,0.04060678565059268,-0.029905325280404568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1704097947206009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020401932170406985,0.0,0.0,0.0,0.01892008511341599,0.0,0.0,0.0,0.29762689798588315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12547457120583796,0.015874786190594348,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999600748745859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09161743836168952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07252088015166121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04252055659708037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2117495279082016,0.0,0.015242585023365595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001443662390898047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03922928670786571,0.035742413550963484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19466673540729296,0.0,0.0,0.0
