g__Acetonema,g__Acidaminococcus,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aggregatibacter,g__Akkermansia,g__Alistipes,g__Allofustis,g__Anaerococcus,g__Anaerofilum,g__Anaerofustis,g__Anaerolinea,g__Anaerostipes,g__Anaerotruncus,g__Aneurinibacillus,g__Atopobium,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Brevibacillus,g__Brevundimonas,g__Bulleidia,g__Butyrivibrio,g__Carnobacterium,g__Caulobacter,g__Cellulosilyticum,g__Cetobacterium,g__Clostridioides,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Cutibacterium,g__Deinococcus,g__Desulfotomaculum,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Eikenella,g__Enterococcus,g__Enterovibrio,g__Escherichia,g__Ethanoligenens,g__Eubacterium,g__Facklamia,g__Faecalibacterium,g__Finegoldia,g__Flavobacterium,g__Francisella,g__Fusobacterium,g__Gemella,g__Geobacter,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Halobacteriovorax,g__Herbihabitans,g__Holdemanella,g__Holdemania,g__Ignatzschineria,g__Ignavigranum,g__Intestinibacter,g__Jeotgalicoccus,g__Kandleria,g__Klebsiella,g__Lachnobacterium,g__Lachnoclostridium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Lactonifactor,g__Leptotrichia,g__Leuconostoc,g__Mageeibacillus,g__Marinobacterium,g__Megasphaera,g__Microbacterium,g__Mobiluncus,g__Mogibacterium,g__Neisseria,g__Nocardioides,g__Odoribacter,g__Olsenella,g__Oscillibacter,g__Oxalobacter,g__Oxalophagus,g__Paenibacillus,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Parvimonas,g__Pectinatus,g__Pediococcus,g__Pedobacter,g__Pelobacter,g__Peptoanaerobacter,g__Peptococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Porphyromonas,g__Prevotella,g__Proteus,g__Pseudomonas,g__Robinsoniella,g__Roseburia,g__Rothia,g__Ruminiclostridium,g__Ruminococcus,g__Salinivibrio,g__Salmonella,g__Scardovia,g__Selenomonas,g__Slackia,g__Sporobacter,g__Staphylococcus,g__Streptococcus,g__Streptomyces,g__Sutterella,g__Syntrophococcus,g__Syntrophomonas,g__Tannerella,g__Teredinibacter,g__Thalassolituus,g__Thermosulfidibacter,g__Tissierella,g__Truepera,g__Tyzzerella,g__Varibaculum,g__Veillonella,g__Vibrio,g__Waddlia,g__Weissella,g__Xylella,g__Youngiibacter,g__Butyricicoccus,g__Butyricimonas,g__Catenibacterium,g__Gemmiger,g__Megamonas,g__Methanobrevibacter,g__Phascolarctobacterium,g__Turicibacter,g__Morganella,g__Serratia,g__Subdoligranulum
0.0068574673,0.0041868873,0.0,0.00580615,0.0,0.0,0.007863137,0.056922592,0.0,0.008050148,0.0,0.0,0.0048955637,0.04522686,0.0044024256,0.00366722,0.0041576824,0.0065893885,0.014590874,0.006168336,0.012577511,0.0,0.007309315,0.004176369,0.0,0.003195599,0.0050960523,0.00393532,0.006085552,0.004554491,0.0,0.0045982786,0.0054601957,0.0058480934,0.0036665222,0.00570704,0.0059701125,0.0059943823,0.0042965123,0.0,0.008285506,0.010696381,0.0073370254,0.0,0.005087631,0.0042891195,0.005808483,0.005523751,0.0042438717,0.0037271723,0.005398969,0.0,0.009948776,0.0053149103,0.009592892,0.0043259272,0.0069435695,0.0077844537,0.0073182327,0.0036226397,0.009445122,0.0072516603,0.00382854,0.008951753,0.008270971,0.0041248533,0.0041983607,0.0036360633,0.004287977,0.0050971545,0.0038703862,0.005435693,0.0,0.0160305,0.0,0.009610817,0.004942047,0.0,0.005343816,0.00481868,0.0046169343,0.0077696047,0.005962514,0.0064152507,0.0,0.0065361024,0.03174858,0.0062487954,0.008338882,0.0040652556,0.007881723,0.003901521,0.0044652955,0.0048177256,0.051894166,0.011410864,0.0050198217,0.0057893773,0.0,0.0,0.006656332,0.0031324693,0.0031185588,0.005310642,0.007273905,0.004344781,0.0108967265,0.027427573,0.0,0.041151945,0.004499679,0.053266574,0.013059084,0.0046451245,0.0050044,0.0,0.0037878389,0.0,0.004715834,0.0040508932,0.0031115336,0.0056743743,0.03158565,0.00518057,0.010486721,0.0,0.0034555625,0.0,0.0035622169,0.0048038648,0.004798269,0.003867827,0.0047193924,0.0059177615,0.0,0.024939086,0.004788383,0.00400228,0.0037647102,0.0,0.0038671927,,,,,,,,,,,
0.009231669,0.00544468,0.0,0.0055191936,0.0,0.0,0.007860994,0.05921279,0.0,0.006066427,0.004691402,0.0050247735,0.005270798,0.037805967,0.006021675,0.0,0.005458654,0.008088879,0.017013289,0.007357502,0.007189879,0.0,0.010280989,0.004320466,0.0,0.003406044,0.0049036285,0.0041594175,0.0,0.0049583176,0.0,0.0,0.0054061674,0.011436115,0.0034529034,0.0057975403,0.0074118967,0.005729469,0.0056444216,0.005275545,0.008251824,0.01685097,0.036687188,0.005690072,0.0074232295,0.0,0.0047113746,0.0064807306,0.0,0.0034546724,0.004085476,0.0,0.00924533,0.0,0.01231695,0.0045606224,0.014077165,0.016831527,0.0065207346,0.0026941928,0.010342375,0.015958253,0.0043866457,0.0042338334,0.009220276,0.0,0.0039097765,0.0032959196,0.0043864036,0.005335724,0.004728101,0.0,0.0,0.019725831,0.0,0.014870528,0.006265006,0.0,0.008435836,0.005147281,0.0,0.0,0.004851781,0.0074866856,0.0,0.006509506,0.024966864,0.006719827,0.0065712663,0.005008485,0.0086972555,0.0,0.0,0.0052173208,0.009095577,0.0093260035,0.01207939,0.0055857985,0.0,0.0042428933,0.006350245,0.003531005,0.0,0.0,0.0,0.005773941,0.01200677,0.018286573,0.0,0.040233504,0.004570362,0.057893135,0.017113764,0.0058814324,0.005513081,0.0,0.0,0.0,0.004822247,0.005221668,0.0028766876,0.005904242,0.036317274,0.00601792,0.008656102,0.0,0.00418991,0.0,0.0032917322,0.0050537926,0.0045635477,0.0,0.0060082693,0.0053195297,0.0,0.034834675,0.0055967486,0.0,0.004774778,0.003473073,0.0,,,,,,,,,,,
0.008180378,0.005303602,0.0052642184,0.02226244,0.0,0.0,0.0066319653,0.06056051,0.0,0.0066331825,0.0042829583,0.007929937,0.005117152,0.035030417,0.00619356,0.0028164308,0.006800338,0.0075996337,0.01487155,0.0078049256,0.012632952,0.0,0.00697243,0.0035824787,0.0,0.0032544334,0.0051532043,0.0040689986,0.0,0.004236873,0.0,0.0041924356,0.007392879,0.008805366,0.003662709,0.0043104296,0.005783378,0.0054611713,0.005133723,0.0,0.008852906,0.013508341,0.007268974,0.0052562733,0.006798627,0.0045212545,0.0052682986,0.0056227758,0.0046925573,0.004200748,0.006260701,0.0,0.008193107,0.004816135,0.009199546,0.005381841,0.0068253824,0.013382734,0.0053442526,0.003858763,0.009598415,0.0065997723,0.0034067142,0.004177686,0.007875168,0.006519699,0.0036126226,0.0,0.005142983,0.006778573,0.0,0.0041423575,0.0,0.014639209,0.0,0.008511059,0.006467968,0.0,0.00526322,0.0051167454,0.0056734565,0.008456595,0.005618693,0.0066407896,0.0,0.006044239,0.021904431,0.008121945,0.008443231,0.004354336,0.007766242,0.0,0.0,0.005191786,0.05565282,0.009296567,0.0053368355,0.0,0.003667774,0.0037637977,0.0,0.0035798205,0.0,0.0,0.0053018145,0.0052194777,0.010661052,0.015846457,0.0038857579,0.034820173,0.0031824827,0.057090547,0.0125734685,0.004978834,0.006232981,0.0,0.0030631213,0.0,0.004463761,0.0054423786,0.003929181,0.005766294,0.0323973,0.0063671866,0.010387615,0.0,0.00420356,0.0,0.003270852,0.0050657257,0.00531921,0.0042599975,0.004590916,0.006300256,0.0,0.035299867,0.0055343374,0.0,0.0,0.0,0.0,,,,,,,,,,,
0.0034355174,0.007584581,0.0,0.004823097,0.0,0.0,0.010059713,0.03855892,0.0,0.00699085,0.0,0.0052625397,0.006035641,0.034672007,0.008034463,0.0031081536,0.005309686,0.00660141,0.04297535,0.0072589573,0.0,0.0,0.0082468325,0.006310117,0.0,0.0,0.006157837,0.0,0.0,0.0044429414,0.0,0.0,0.0054052914,0.010908577,0.0038682458,0.0029340407,0.008520209,0.006395657,0.0069028973,0.006073104,0.011395784,0.014262239,0.02976345,0.006394983,0.0052839303,0.0,0.0058820373,0.0055719414,0.0042082504,0.0,0.0048288335,0.0,0.024318494,0.0,0.012084618,0.0044642305,0.011469799,0.009768352,0.0054826327,0.0033177584,0.008574817,0.006514072,0.004732883,0.0034785268,0.008298868,0.0,0.0039241128,0.0036323178,0.0,0.008335813,0.0038424467,0.004680587,0.003936088,0.020583075,0.0,0.007865159,0.006514055,0.0038331514,0.007930914,0.0059277564,0.0,0.0,0.005789766,0.008147234,0.0,0.0062801726,0.020522295,0.0067072785,0.008616572,0.0066190185,0.0,0.0,0.0,0.0046016425,0.04806876,0.013089647,0.008957722,0.0074988683,0.0,0.0044696406,0.007931616,0.003723112,0.0,0.004995877,0.0,0.0067080464,0.0,0.032163993,0.0,0.035763007,0.0038511627,0.03605723,0.0,0.0045768297,0.009696473,0.0,0.0038542033,0.0,0.005440636,0.005876116,0.0032697686,0.0063936645,0.027311722,0.0069888965,0.010664922,0.0,0.0043844874,0.0,0.009280544,0.0048002587,0.0051902207,0.0,0.005200741,0.007422917,0.0,0.042219047,0.0073297964,0.0,0.0051094596,0.003184524,0.0032634486,,,,,,,,,,,
0.009355813,0.0048123794,0.006382598,0.026428249,0.0,0.0041346275,0.0,0.041301366,0.0,0.0077487687,0.0,0.005763643,0.0051430003,0.0,0.005721103,0.0,0.0049266736,0.0078060334,0.01728071,0.007449831,0.018707696,0.0,0.059163082,0.00491412,0.0,0.0,0.0045707775,0.0055504697,0.0,0.004914264,0.0056769694,0.0,0.0055601764,0.010282305,0.0,0.0042636725,0.007813238,0.005458375,0.004983149,0.0,0.009235577,0.020224191,0.0368554,0.00589272,0.0054831277,0.004247355,0.0052854484,0.006294815,0.004668432,0.003667274,0.0048241154,0.0,0.0133771,0.0,0.0101236785,0.0043427306,0.0069975685,0.008349512,0.006628892,0.0,0.00848909,0.0057707233,0.004609064,0.0045354823,0.0074375547,0.0,0.0,0.0040463563,0.0043726554,0.00553766,0.004171406,0.0,0.0,0.035132933,0.0,0.008659556,0.0059207114,0.0,0.0069774287,0.005151175,0.0072448663,0.008809754,0.0048448634,0.0067164972,0.0,0.005831246,0.017680831,0.009336561,0.008885831,0.004581302,0.011104084,0.0,0.0,0.0055984855,0.048042063,0.008618425,0.008089504,0.004791183,0.00493665,0.004177895,0.005921727,0.0036670153,0.0,0.0042060977,0.0,0.004669996,0.018909136,0.010223283,0.0049846596,0.044642687,0.0,0.021911873,0.024744203,0.005843563,0.0051353686,0.0,0.0040719546,0.0,0.006276525,0.0048932787,0.0039696726,0.0054914635,0.00683132,0.0070917853,0.0116328625,0.0,0.00416739,0.0056290315,0.004036424,0.004820248,0.005090271,0.0,0.008650311,0.0055622985,0.0,0.009908091,0.0055153263,0.0044557247,0.0043336307,0.0,0.0,,,,,,,,,,,
0.00485257,0.005391123,0.0,0.007698958,0.0,0.0041843853,0.009889807,0.05151674,0.0041925786,0.007801331,0.0044773947,0.0059699016,0.004672619,0.03796587,0.0046794717,0.0026722923,0.0057984325,0.0074085435,0.014035218,0.0077521033,0.0153826205,0.0,0.008570696,0.0044412306,0.0066845175,0.0029729682,0.005517263,0.0038421408,0.0,0.0039750934,0.0,0.0,0.0054579065,0.006882113,0.003182441,0.0053570713,0.007828859,0.005641452,0.005270716,0.0047544516,0.012827198,0.009493884,0.0071012364,0.005155601,0.004498819,0.0,0.005279715,0.006175006,0.0038887986,0.0030851318,0.006052926,0.004536104,0.00938839,0.0053681545,0.01267451,0.0042676283,0.010581962,0.01703455,0.0065950365,0.003806634,0.0075862464,0.017187715,0.0037268116,0.004095411,0.0075837215,0.0037368147,0.0,0.0032975131,0.0,0.0047962773,0.003695603,0.0,0.0,0.01352857,0.0,0.008750635,0.0056681708,0.0036449814,0.007126528,0.0045113056,0.011358763,0.007889078,0.004761806,0.0067923325,0.0,0.006123971,0.028846368,0.007969448,0.009782191,0.0044667795,0.010754022,0.0,0.0049496093,0.0057820263,0.007859737,0.0058642686,0.012611598,0.0043502054,0.004338613,0.003544263,0.005224846,0.0031385876,0.0,0.0048825433,0.007439527,0.004096853,0.013837192,0.008484233,0.0,0.044687156,0.0040260847,0.04035187,0.017852237,0.0047597205,0.0073119947,0.0,0.0,0.0,0.004890253,0.0055487775,0.0032945494,0.007681986,0.030207057,0.006397814,0.006321976,0.005197467,0.004029384,0.005479544,0.0027417075,0.004557708,0.004921292,0.0,0.005202195,0.0068746298,0.0,0.043641586,0.005079096,0.0,0.0044612936,0.003151292,0.0027139941,,,,,,,,,,,
0.0026910468,0.004021943,0.0049791792,0.022499094,0.0,0.0,0.006420371,0.011746921,0.0033853871,0.005879149,0.004910127,0.0063444516,0.0052248305,0.035882562,0.0047504245,0.002184622,0.005597833,0.00836657,0.017337328,0.009905417,0.014343155,0.00884494,0.008854298,0.0055716913,0.0057062656,0.0024471723,0.0052615954,0.0037870482,0.0,0.003867982,0.0,0.0,0.0053465073,0.0055914368,0.00258748,0.0038655142,0.0,0.0053575137,0.005251933,0.0043631014,0.009665177,0.012125414,0.028779987,0.0045297206,0.0052515985,0.0,0.0054190787,0.005881278,0.0031973356,0.0024681839,0.005396179,0.004579475,0.010675938,0.0,0.009626504,0.0044915765,0.012320395,0.017237008,0.0060805376,0.0042885006,0.016303439,0.015349552,0.00373317,0.0033247843,0.006852406,0.0050904714,0.0,0.0034351177,0.0,0.0038542342,0.009030686,0.003751568,0.0,0.015622297,0.011735705,0.009381013,0.005931048,0.0026669712,0.0062476736,0.004506123,0.007470559,0.007443083,0.004373326,0.0063214605,0.0,0.0,0.021101303,0.008586594,0.006507665,0.0047136913,0.009353974,0.0,0.0045017344,0.0040374007,0.012071653,0.0060623745,0.0102453865,0.005104222,0.0035871507,0.0033828805,0.0060803653,0.0027185357,0.0,0.004939006,0.004523837,0.0050157383,0.008627262,0.013319959,0.0,0.036924727,0.0029990065,0.06227574,0.014674211,0.0049196687,0.0054480354,0.0,0.003174015,0.0,0.0034829364,0.0041418853,0.0039181835,0.0062294034,0.031811327,0.006337654,0.0077277473,0.0049761315,0.003922699,0.0052738828,0.002668187,0.0040347935,0.0042236,0.00417733,0.0046024956,0.0062896297,0.0,0.047139734,0.0054631736,0.003014733,0.0044417954,0.0036130662,0.0,,,,,,,,,,,
0.0,0.005320627,0.0,0.025464308,0.0,0.0,0.0,0.061575808,0.0,0.0067107314,0.004682523,0.0,0.005273873,0.043007065,0.004558226,0.0,0.0075687864,0.007566304,0.013294057,0.005647803,0.006286496,0.010877343,0.007101746,0.0044560884,0.007217399,0.0038136728,0.0057127574,0.0044457633,0.0,0.0,0.0,0.0,0.006419739,0.0070968387,0.003295818,0.006469433,0.009435451,0.00610074,0.0047152922,0.005319045,0.0115617635,0.011011176,0.029339314,0.005517768,0.0053316304,0.005017216,0.0062662843,0.005761887,0.0043034214,0.0035149893,0.0059701656,0.0,0.0072764456,0.0051103504,0.0,0.004340535,0.010133691,0.011177166,0.00625683,0.0,0.012723508,0.013215639,0.0038160186,0.0049987426,0.008605434,0.0,0.0041215774,0.0,0.0,0.00585142,0.0041416404,0.0045429193,0.0,0.010310315,0.0,0.007844033,0.0,0.0,0.008577728,0.0049165585,0.0065806895,0.007900243,0.005677218,0.0069208774,0.0,0.00652001,0.021821875,0.0062955683,0.009962387,0.0,0.012163958,0.003585933,0.0,0.0050290828,0.059165787,0.0067539467,0.014213861,0.0044243885,0.010141149,0.0039216084,0.006279706,0.0033013078,0.0,0.006834207,0.0044073206,0.0043506236,0.015373324,0.0129079325,0.005101558,0.038943652,0.0,0.05277863,0.014354004,0.004594807,0.0053302865,0.0,0.0,0.0,0.0064545437,0.004387595,0.003156443,0.008678834,0.027638935,0.006783972,0.0061075846,0.0,0.0,0.0,0.0036793684,0.0052142255,0.00578636,0.004091593,0.0054578204,0.00718439,0.0,0.008723847,0.0054967497,0.0,0.0045318417,0.0,0.0,,,,,,,,,,,
0.0,0.005090764,0.0,0.020147268,0.0,0.005261066,0.0129585685,0.0080254655,0.0043526776,0.00722967,0.005526038,0.006191268,0.0054112244,0.0,0.005338243,0.0036510064,0.0068310536,0.010399276,0.017647082,0.0066715027,0.016325478,0.0073635397,0.008198515,0.004261083,0.0064590485,0.0,0.0049779387,0.004493321,0.0,0.0,0.0,0.0,0.006088835,0.0086327875,0.0043043816,0.0059036766,0.0082257455,0.0075645642,0.006216604,0.0052522738,0.011755195,0.012494112,0.030363476,0.0057958323,0.0056460467,0.005463485,0.0,0.006291704,0.0,0.0037215964,0.006462851,0.004919364,0.009483369,0.0,0.0,0.0053219027,0.014115606,0.021033155,0.008319812,0.0,0.01761717,0.016673101,0.0047561163,0.0034895502,0.008479299,0.0055856523,0.0,0.004462713,0.004659623,0.0053215735,0.0,0.0044345423,0.0,0.014755105,0.0,0.010218141,0.0,0.0,0.008474281,0.005927493,0.006792827,0.0,0.0049940525,0.006961125,0.0,0.0073780203,0.02388047,0.0,0.005562212,0.0,0.007307487,0.004214987,0.004208828,0.0055538053,0.06547704,0.011088586,0.00796674,0.00505071,0.004097338,0.004545475,0.005890667,0.003115929,0.0,0.0,0.0058669006,0.004876891,0.011235856,0.015564801,0.0,0.044137668,0.0037478316,0.053579155,0.0,0.0047660084,0.0057514864,0.0,0.0,0.0,0.00457096,0.004916571,0.004608531,0.007476879,0.03349673,0.008046908,0.01817775,0.0058558215,0.0,0.0,0.0037635176,0.004450632,0.0047237296,0.0,0.0056052096,0.0067653363,0.0,0.037749644,0.0059719943,0.0039998135,0.0051652906,0.0,0.0,,,,,,,,,,,
0.0034906904,0.0068943026,0.0051620435,0.024319712,0.0,0.004681114,0.0,0.0070820507,0.0,0.0060989927,0.0,0.0070331963,0.005785838,0.04353388,0.006279334,0.0,0.005702774,0.006762305,0.015683174,0.0058917566,0.017681029,0.0075106877,0.007441002,0.0,0.0,0.004413592,0.005436168,0.0038891663,0.0,0.0041640038,0.0,0.0059908032,0.0054658027,0.009940745,0.0035175711,0.0044704746,0.006525824,0.0065589617,0.0053119273,0.0045315954,0.0076745967,0.01520331,0.032921188,0.00488914,0.007318747,0.0053006387,0.0,0.005633881,0.004328662,0.0030844393,0.004651886,0.0,0.010255632,0.0,0.012909149,0.0039460673,0.006925207,0.009888924,0.0062712193,0.0,0.016381005,0.005307955,0.003918397,0.0048146737,0.0,0.006638553,0.0034698222,0.0,0.0,0.0051881485,0.0,0.0036411511,0.0,0.016425619,0.0,0.010949209,0.0065156072,0.0,0.006466822,0.005189071,0.0056515504,0.007966322,0.0052207606,0.006740982,0.0,0.0068001323,0.009641886,0.0069082794,0.005340069,0.0058956807,0.0068815104,0.003593642,0.009087619,0.005948899,0.03476981,0.008431893,0.014806812,0.005338035,0.003730086,0.0036357306,0.00680427,0.0030107088,0.0026093475,0.0,0.005278541,0.005996021,0.010256468,0.012511959,0.003777245,0.04091266,0.0032482266,0.06384896,0.016520461,0.005258614,0.0048495354,0.0028788599,0.0033772583,0.0,0.0049147983,0.0,0.0041112495,0.0056653633,0.034660574,0.0071562924,0.007661911,0.0051169335,0.0043233912,0.0,0.0034279888,0.0046245055,0.0040630912,0.0,0.005829427,0.0071499776,0.0,0.04659363,0.005190926,0.003668051,0.004953827,0.0,0.0,,,,,,,,,,,
