g__Acidaminococcus,g__Actinobacillus,g__Actinobaculum,g__Actinomyces,g__Adlercreutzia,g__Aggregatibacter,g__Akkermansia,g__Alistipes,g__Alloscardovia,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Corynebacterium,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Finegoldia,g__Flavonifractor,g__Fusobacterium,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Morganella,g__Odoribacter,g__Olsenella,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parascardovia,g__Parasutterella,g__Parvimonas,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudoflavonifractor,g__Pseudomonas,g__Roseburia,g__Rothia,g__Ruminococcus,g__Slackia,g__Solobacterium,g__Streptococcus,g__Subdoligranulum,g__Sutterella,g__Turicibacter,g__Veillonella,g__Weissella,g__Aeromonas,g__Shewanella
0.0,0.0,0.0,0.042195186,0.025286008,0.0,0.0,0.061929505,0.0,0.0,0.0,0.015252186,0.04885933,0.05665677,0.0,0.018350622,0.0,0.019780075,0.0,0.0,0.0,0.0,0.0,0.036549,0.019687302,0.0,0.0,0.017105354,0.0,0.0,0.0,0.042886313,0.037407488,0.0,0.0,0.0,0.024973555,0.027188705,0.0,0.033258155,0.0,0.0,0.022783909,0.045837063,0.031617347,0.028610472,0.0,0.0,0.037798695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031101717,0.0,0.03590899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02469197,0.025096957,0.021657225,0.0,0.0,0.029997837,0.03370824,0.0,0.03759323,0.06623085,0.0,,
0.0,0.0,0.0,0.040772017,0.013808842,0.038550436,0.0,0.01543086,0.0,0.0,0.0,0.0,0.023742327,0.01950831,0.0,0.022564702,0.0,0.018294103,0.0,0.0,0.0,0.0,0.0,0.019404707,0.015176045,0.0,0.0,0.015573219,0.0,0.0,0.0,0.015404594,0.021359775,0.0,0.0,0.028174128,0.014703878,0.018680835,0.0,0.021652948,0.03282664,0.0,0.018163519,0.0,0.024044955,0.017460033,0.029882554,0.056854058,0.03826297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023921901,0.0,0.027365286,0.0,0.018015318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045274418,0.04419195,0.0,0.0,0.014028348,0.0,0.014429669,0.0,0.016582832,0.0,0.045551106,0.050396014,0.01396711,0.0,0.032269485,0.04118796,0.032522198,,
0.0,0.0,0.0,0.03899093,0.012060966,0.0,0.013366886,0.032760616,0.0,0.060092032,0.0,0.037735477,0.024295915,0.02820558,0.015456474,0.018893134,0.025301984,0.016885303,0.0,0.0,0.0,0.022665894,0.0,0.030319383,0.016367566,0.0,0.0,0.013120366,0.0,0.040016733,0.0131863,0.010702556,0.026203116,0.0,0.0,0.024976294,0.011697639,0.013494684,0.0,0.0,0.0,0.0,0.0139932865,0.0,0.0,0.027820677,0.0,0.02722175,0.033259198,0.0,0.0,0.0,0.016418738,0.02227019,0.0,0.0,0.0,0.0,0.028524967,0.0,0.024978908,0.0,0.0,0.0,0.033195287,0.0,0.0,0.030137256,0.0,0.04538574,0.0,0.0,0.0,0.0,0.0,0.01654059,0.0,0.012644241,0.019252604,0.0,0.04031349,0.009526525,0.0,0.0,0.051720783,0.0,,
0.053745106,0.0,0.0,0.0,0.017850678,0.0,0.0,0.0,0.0,0.0,0.032920863,0.062270824,0.0,0.03532369,0.0,0.015550562,0.0,0.032575235,0.0,0.0,0.0,0.0,0.0,0.040660016,0.01642719,0.04482095,0.0,0.0,0.0,0.0,0.02410424,0.016971234,0.032635566,0.0,0.0,0.0,0.023798859,0.013457965,0.0,0.027246386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051479954,0.052233588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02161439,0.0,0.027647488,0.0,0.0,0.058780845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027153613,0.05668031,0.072324045,0.0,0.0,0.04205283,0.041026026,0.0,0.0,0.058647446,0.0,,
0.0,0.0,0.0,0.035855092,0.022906661,0.0,0.0,0.0572235,0.0,0.0,0.0,0.03034489,0.0,0.051103145,0.024859669,0.014250512,0.029606229,0.01775614,0.0,0.0,0.0,0.0,0.0,0.033587813,0.012426285,0.0,0.0,0.015771132,0.056345653,0.0,0.0,0.014914825,0.031727236,0.0,0.02376489,0.0,0.01830983,0.014379018,0.0,0.029400203,0.0,0.02747337,0.019635262,0.03439595,0.022460556,0.032409243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032391608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02971492,0.0,0.0,0.0,0.0354127,0.0,0.0,0.0,0.04188718,0.035157096,0.016288824,0.0,0.02407673,0.017576216,0.018840298,0.0,0.029483756,0.048263617,0.0,,
0.0,0.0,0.0,0.0,0.029450355,0.0,0.0,0.02537624,0.0,0.0,0.049029477,0.043002162,0.0,0.020008726,0.0,0.01793897,0.0319938,0.028704964,0.0,0.0,0.0,0.0,0.0,0.034403108,0.02972373,0.0,0.0,0.017253242,0.0,0.0,0.0,0.014003091,0.032118063,0.0,0.0,0.0,0.02207394,0.017619058,0.0,0.04398534,0.0,0.0,0.019153075,0.06290946,0.03566179,0.049464438,0.0,0.0,0.058090795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034380298,0.0,0.046759926,0.0,0.019746657,0.0,0.0,0.04137512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023504011,0.0,0.01978738,0.0,0.019356316,0.0,0.0,0.040455002,0.011817699,0.0,0.0,0.06085375,0.0,,
0.0,0.0,0.0,0.0,0.01819795,0.0,0.050008997,0.06529715,0.0,0.0,0.042415548,0.03296802,0.0,0.02841212,0.024360206,0.03161345,0.028388178,0.01693782,0.045625523,0.0,0.0,0.0,0.0,0.03595391,0.021604655,0.0,0.047452234,0.014644955,0.0,0.0,0.0,0.014934518,0.03468104,0.0,0.02442936,0.044405337,0.015162368,0.010677446,0.0,0.037694797,0.0,0.0,0.0,0.0,0.0,0.03167333,0.018607875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022408372,0.0,0.036079936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021094462,0.0,0.024763413,0.0,0.0,0.043067023,0.018687217,0.04350427,0.0,0.054248445,0.0,,
0.0,0.0,0.0,0.0,0.020224389,0.0,0.0135553,0.028358435,0.0,0.0,0.0,0.02110356,0.037175417,0.017480915,0.02239934,0.02115412,0.02762997,0.017334908,0.0,0.0,0.0,0.0,0.0,0.040262897,0.0,0.03304398,0.0,0.014884206,0.0,0.040260047,0.05898718,0.018030562,0.023438925,0.0,0.0,0.02118605,0.013446198,0.0131226955,0.0,0.03941781,0.0,0.0,0.018574622,0.0,0.0,0.030337881,0.0,0.0,0.041438606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04800248,0.0,0.0263296,0.0,0.03684898,0.0,0.0,0.031716373,0.0,0.0,0.0,0.0,0.0,0.06380569,0.0,0.0,0.0,0.0,0.0,0.020343853,0.0,0.013540729,0.0,0.0,0.04636451,0.016273364,0.0,0.0,0.0639264,0.0,,
0.0,0.0,0.0,0.06270275,0.011462859,0.0,0.012454323,0.04824449,0.0,0.0,0.0183084,0.016145203,0.03584686,0.034561586,0.0,0.011554643,0.016828183,0.024174036,0.0,0.0,0.0,0.0,0.0,0.033121575,0.03801827,0.0,0.034323227,0.016403643,0.0,0.0,0.0,0.01104683,0.02096873,0.0,0.0,0.042022903,0.012586032,0.011768209,0.0,0.025294086,0.0,0.0,0.010808257,0.034109503,0.030538678,0.024325715,0.030103562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042406425,0.0,0.019466283,0.0,0.042926304,0.0,0.0,0.0479565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010947106,0.0,0.016371166,0.0,0.0,0.0588122,0.010462893,0.0,0.03644655,0.046482153,0.0,,
0.0,0.0,0.0,0.0,0.010869401,0.0,0.015851382,0.056503803,0.0,0.0,0.0,0.013891047,0.032210324,0.021291804,0.028087625,0.011990448,0.03152335,0.019269982,0.0,0.0,0.0,0.0,0.0,0.02860027,0.0125385905,0.018585162,0.0,0.010534998,0.0,0.0,0.0,0.015822902,0.02154623,0.0,0.0,0.03756911,0.01460766,0.030966463,0.0,0.032351565,0.0,0.0,0.021825112,0.0,0.02722273,0.03709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04183701,0.0,0.034345083,0.0,0.033792313,0.0,0.0,0.0,0.030808132,0.0,0.0,0.04472177,0.0,0.0,0.04229427,0.0,0.0,0.0,0.0,0.038053527,0.03229547,0.015636334,0.0,0.0,0.02255625,0.015766662,0.0,0.03713079,0.06000561,0.0,,
0.0,0.0,0.0,0.0,0.011835779,0.0,0.017293615,0.043647394,0.0,0.0,0.02356498,0.03427677,0.0282743,0.04232186,0.033140816,0.03270215,0.02775336,0.014653061,0.0,0.0,0.0,0.0,0.0,0.029215675,0.014568244,0.02908182,0.0,0.010711222,0.0,0.032109488,0.0,0.01223425,0.023845835,0.0,0.0,0.0,0.013793432,0.024668925,0.0,0.036269903,0.0,0.04337182,0.015752316,0.042608082,0.0,0.023168422,0.0,0.0,0.034485504,0.0,0.0,0.0,0.019725392,0.0,0.0,0.0,0.0,0.0,0.03393263,0.0,0.043069046,0.0,0.0,0.0,0.0,0.0,0.0,0.04154878,0.0,0.037025154,0.0,0.0,0.0,0.0,0.0,0.025042772,0.0,0.013682954,0.0,0.0,0.04254493,0.014714123,0.0,0.033365253,0.0,0.0,,
0.0,0.0,0.0,0.0,0.017998848,0.0,0.0,0.030775404,0.0,0.0,0.0,0.062305015,0.052219238,0.0400862,0.0,0.0,0.0,0.017642695,0.0,0.0,0.0,0.0,0.0,0.03826798,0.043925468,0.0,0.0,0.01742753,0.0,0.0,0.0,0.017769275,0.03192446,0.0,0.0,0.0,0.022500327,0.01747917,0.0,0.045551665,0.0,0.0,0.022128563,0.0,0.06120389,0.050518837,0.0,0.0,0.0,0.0,0.0,0.043904923,0.039959997,0.0,0.0,0.0,0.0,0.0,0.032697834,0.0,0.039388366,0.0,0.0,0.05005253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036149956,0.0,0.021972222,0.0,0.023782039,0.0,0.0,0.049625132,0.017645977,0.0,0.055096433,0.0,0.0,,
0.0,0.0,0.0,0.0,0.015408663,0.0,0.0,0.05467877,0.0,0.0,0.023630567,0.051332224,0.03728043,0.048885733,0.0,0.023870261,0.034052677,0.011590143,0.0,0.0,0.0,0.0,0.0,0.026941333,0.0,0.023248157,0.04515499,0.0,0.0,0.0,0.0,0.012552936,0.028756503,0.0,0.04279583,0.04516912,0.015459327,0.023608426,0.0,0.038337853,0.0,0.0,0.017790638,0.0,0.0,0.023577236,0.0,0.05673796,0.045418546,0.0,0.0,0.0,0.024182586,0.0,0.0,0.0,0.0,0.0,0.025961226,0.0,0.04556305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024528494,0.0,0.013212475,0.0207523,0.0,0.043842174,0.011457703,0.0,0.0442218,0.0,0.0,,
0.0,0.0,0.0,0.05098913,0.011424526,0.0,0.0,0.01941186,0.0,0.058795698,0.022609806,0.038140416,0.030899577,0.037032627,0.0,0.010865125,0.024923762,0.01016394,0.0,0.035978857,0.0,0.0,0.0,0.027797207,0.011361643,0.023576152,0.022047896,0.010237384,0.0,0.0,0.025303569,0.009155699,0.019660087,0.0,0.0,0.024295013,0.0111442655,0.023767373,0.0,0.0,0.0,0.0,0.011903788,0.0,0.0,0.03290437,0.0,0.0,0.031387344,0.0,0.0,0.03002014,0.0,0.0,0.0,0.0,0.029405052,0.0,0.04777434,0.0,0.039440814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047622196,0.0,0.02355961,0.0,0.013436134,0.0,0.029001148,0.0,0.010080014,0.014392617,0.0,0.03209883,0.008004393,0.039387506,0.0,0.0,0.0,,
0.046426807,0.0,0.0,0.0,0.02085751,0.0,0.0,0.020549739,0.0,0.0,0.0,0.04706619,0.05330905,0.061355945,0.01910384,0.0252752,0.01837416,0.021209806,0.0,0.0,0.0,0.0,0.0,0.0521904,0.015564435,0.0,0.046681046,0.018022627,0.0,0.027314497,0.0,0.016842633,0.0,0.0,0.0,0.0,0.017285129,0.012255959,0.0,0.0,0.0,0.0,0.028876193,0.0,0.0,0.046757407,0.0,0.0,0.043875013,0.0,0.027004957,0.0,0.021776805,0.0,0.0,0.0,0.028856853,0.0,0.058072075,0.011691656,0.02647081,0.020719709,0.0,0.05395715,0.0,0.0,0.0,0.0,0.0,0.0,0.019999867,0.0,0.0,0.0,0.0,0.015847592,0.0,0.013344013,0.0,0.0,0.03312573,0.009939293,0.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.050851554,0.010802303,0.0,0.0,0.05539099,0.0,0.0,0.0,0.030627415,0.0,0.046095364,0.0,0.012073256,0.0291102,0.026860852,0.0,0.0,0.0,0.0,0.0,0.029618535,0.012328447,0.024580183,0.0,0.011538151,0.0,0.0,0.0,0.010770845,0.038924515,0.0,0.027998164,0.02739506,0.013747916,0.015874214,0.0,0.029128876,0.0,0.0,0.0133791,0.04639916,0.029202877,0.036771275,0.0,0.031022111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048439246,0.0,0.044344313,0.0,0.0,0.04075674,0.0,0.0,0.0,0.0,0.0,0.0,0.023013415,0.020653306,0.0,0.0,0.0,0.019944709,0.031891853,0.018366482,0.0,0.0,0.019403318,0.017690893,0.0,0.024165213,0.030839067,0.0,,
0.0,0.0,0.0,0.0,0.021611061,0.0,0.0,0.025795843,0.0,0.0,0.0,0.055115398,0.06525972,0.017958805,0.0,0.0,0.025593739,0.016926112,0.0,0.0,0.0,0.0,0.0,0.046413742,0.0,0.0,0.0,0.015835576,0.0,0.0,0.04843892,0.013129897,0.055134144,0.0,0.0,0.061059866,0.019608738,0.018555913,0.0,0.056227185,0.0,0.0,0.020516828,0.0,0.0,0.059683662,0.0,0.0,0.0,0.0,0.0,0.0,0.030845143,0.0,0.05874803,0.0,0.0,0.0,0.03489321,0.0,0.012474547,0.021803526,0.0,0.050272744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028050719,0.0,0.044376187,0.0,0.021028202,0.0,0.0,0.04368538,0.01095716,0.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.0,0.014195617,0.0,0.0,0.022159804,0.0,0.0,0.0,0.05128875,0.06517993,0.03761632,0.0,0.0,0.0,0.023278704,0.0,0.0,0.0,0.0,0.0,0.027288606,0.020602958,0.027211422,0.0,0.013442917,0.0,0.0,0.017498849,0.014150746,0.04211455,0.0,0.0,0.05888171,0.018618628,0.011400763,0.0,0.0,0.0,0.0,0.018541485,0.066487305,0.0,0.034285378,0.0,0.0,0.057990286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061720967,0.0,0.03360731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027466673,0.0,0.041094754,0.0,0.0126770465,0.0,0.018070912,0.0,0.0,0.048835065,0.011315382,0.0,0.051314145,0.05166293,0.0,,
0.0,0.0,0.0,0.0,0.015571571,0.0,0.0,0.045058496,0.0,0.0,0.0,0.014889576,0.0,0.065157495,0.037873525,0.023154145,0.0,0.019685278,0.0,0.0,0.0,0.0,0.0,0.03351389,0.0,0.0,0.0,0.016345186,0.0,0.0,0.019694377,0.014091141,0.05983604,0.0,0.0,0.0443586,0.017398993,0.013511102,0.0,0.02933974,0.0,0.0,0.019413995,0.05775042,0.044200897,0.028463036,0.0,0.07329432,0.048708048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03821101,0.0,0.0,0.0,0.0,0.044840198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015141772,0.0,0.023805143,0.0,0.0,0.035126016,0.016877448,0.0,0.039679736,0.045008834,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022706905,0.0,0.03528753,0.0,0.0,0.059797585,0.029991085,0.0,0.0,0.0,0.0,0.0,0.046778172,0.025641032,0.040849503,0.0,0.015763385,0.0,0.0,0.0,0.017612081,0.062219962,0.0,0.0,0.06310567,0.02027598,0.014532053,0.0,0.04521729,0.0,0.0,0.0,0.0,0.043710373,0.054239616,0.0,0.061586652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044209104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024310652,0.0,0.015080379,0.0,0.0,0.0,0.0,0.020386608,0.0,0.020146059,0.0,0.0,0.05845471,0.0423853,0.051550757,0.0,0.06416164,0.0,,
0.0,0.0,0.0,0.0,0.011912686,0.0,0.021056874,0.017971408,0.0,0.0,0.0,0.022733664,0.03334038,0.040405206,0.040630553,0.015454617,0.023298088,0.01391508,0.0,0.0,0.0,0.0,0.0,0.03438872,0.013815383,0.020798137,0.0,0.013234264,0.0,0.03053894,0.0,0.012139499,0.028025402,0.0,0.015409487,0.038722433,0.012779617,0.021920476,0.0,0.0,0.0,0.0,0.012262903,0.0,0.0,0.03824407,0.0,0.05835465,0.03266708,0.0,0.01989066,0.028479636,0.0,0.0,0.0,0.0,0.053466488,0.0,0.034826186,0.0,0.01883342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036632366,0.0,0.0,0.0,0.0,0.034396674,0.0,0.012491774,0.0,0.0,0.039739713,0.010077504,0.041297883,0.0,0.045848113,0.0,,
0.0,0.0,0.0,0.0,0.012595497,0.0,0.038522027,0.045558248,0.028370993,0.0,0.0,0.02922571,0.0,0.04259532,0.024077361,0.0128030125,0.02407916,0.015841614,0.0,0.0,0.0,0.0,0.0,0.026729496,0.015961068,0.0,0.0,0.011921343,0.0,0.038118236,0.022605345,0.013552168,0.03845406,0.0,0.018832473,0.029322632,0.013011658,0.012467629,0.0,0.030575028,0.0,0.0,0.0,0.0,0.036967944,0.03368368,0.0,0.06640858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040405523,0.031347524,0.026960256,0.0,0.040843364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019107703,0.0,0.011173675,0.0,0.0,0.05015588,0.01597156,0.033147868,0.0,0.04860643,0.0,,
0.0,0.0,0.0,0.038635567,0.013804389,0.0,0.0,0.05025831,0.0,0.0,0.022202859,0.029150741,0.030015774,0.047065537,0.025393516,0.037680436,0.0,0.012542077,0.0,0.0,0.0,0.0,0.0,0.031655792,0.020298699,0.021815447,0.0,0.0119993845,0.0,0.0,0.016264386,0.015716344,0.026331259,0.0,0.027920477,0.015579011,0.011238765,0.016821846,0.0,0.025170436,0.0,0.0,0.010199391,0.042874616,0.0,0.032823633,0.028927945,0.044073716,0.037138063,0.032493714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024259439,0.0,0.030004034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02916098,0.0,0.011941339,0.0,0.0,0.05592009,0.01938893,0.0,0.0,0.053233087,0.0,,
