g__Abiotrophia,g__Acidaminococcus,g__Acidovorax,g__Actinomyces,g__Advenella,g__Akkermansia,g__Alistipes,g__Alloscardovia,g__Anaerofustis,g__Anaerorhabdus,g__Anaerosinus,g__Anaerotruncus,g__Arthrobacter,g__Atopobium,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bulleidia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Catenibacterium,g__Chelativorans,g__Christensenella,g__Cloacibacillus,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprococcus,g__Coriobacterium,g__Corynebacterium,g__Cytophaga,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterococcus,g__Escherichia,g__Faecalibacterium,g__Finegoldia,g__Gemmiger,g__Granulicatella,g__Halomonas,g__Helicobacter,g__Herbaspirillum,g__Hespellia,g__Holdemania,g__Lachnoanaerobaculum,g__Lachnospira,g__Lactobacillus,g__Lactonifactor,g__Leuconostoc,g__Limnobacter,g__Methanobrevibacter,g__Millisia,g__Mitsuokella,g__Neisseria,g__Odoribacter,g__Olsenella,g__Papillibacter,g__Parabacteroides,g__Paraprevotella,g__Pediococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Prevotella,g__Proteus,g__Pseudomonas,g__Pyramidobacter,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Selenomonas,g__Slackia,g__Sphingomonas,g__Sporobacter,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Succinispira,g__Synergistes,g__Vibrio,g__Victivallis,g__Weissella,g__Brevundimonas,g__Caulobacter,g__Porphyromonas,g__Rhizobium,g__Streptomyces,g__Aeromonas,g__Cetobacterium,g__Shigella,g__Succinivibrio,g__Sutterella,g__Algoriphagus,g__Bordetella,g__Deinococcus,g__Lysobacter,g__Massilia,g__Methylobacterium,g__Micromonospora,g__Nocardioides,g__Pedobacter,g__Rhodococcus,g__Rhodopseudomonas,g__Sphingobium,g__Treponema
0.0,0.0,0.0,0.0,0.0,0.019863559,0.036910195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07534531,0.0,0.02658406,0.0,0.0,0.040983398,0.0,0.0,0.0,0.021136716,0.027524875,0.03689607,0.037032172,0.0,0.023515822,0.027795661,0.0,0.0,0.0,0.0,0.033564202,0.0,0.037585314,0.0,0.02909124,0.0,0.04183426,0.0,0.0,0.0,0.0,0.0,0.052259427,0.0,0.0,0.0,0.031539474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038819794,0.034857318,0.0,0.0,0.0,0.0,0.0,0.08239522,0.0,0.0,0.0,0.038096588,0.0,0.028098417,0.0,0.0,0.0,0.0,0.023370806,0.0,0.049577065,0.035870623,0.034851417,0.034601003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.06397658,0.07613401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578411,0.0,0.081479646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10377266,0.0,0.07231402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06346447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096456535,0.0,0.0,0.0,0.07667121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04986696,0.0,0.05962831,0.0,0.14840598,0.0,0.0,0.0,0.0,0.0,0.042045463,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15476918,0.0,0.0,0.0,0.0,0.09475758,0.0,0.06363855,0.0,0.081830375,0.0,0.0,0.0,0.0,0.0,0.0,0.10406528,0.07025457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04458536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08593419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08179953,0.0,0.0811328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07572023,0.061512303,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.04158781,0.0,0.0,0.04570795,0.0,0.0,0.0,0.0,0.0,0.049117345,0.0,0.0,0.0,0.04406763,0.0,0.0,0.0,0.0,0.0,0.0,0.084100716,0.05029135,0.0,0.04527967,0.0,0.0,0.0,0.0,0.0,0.07159846,0.0,0.0,0.0,0.025588792,0.0,0.06657686,0.0,0.0,0.0,0.0,0.0,0.071528,0.0,0.0,0.0,0.0556227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055048153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032122828,0.0,0.053561237,0.0,0.0,0.0,0.0,0.046871264,0.0,0.054469295,0.059113067,0.047746938,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.06350436,0.0,0.0,0.0,0.0,0.049182713,0.0,0.0,0.0,0.0,0.07948466,0.071733244,0.03260438,0.0,0.025291817,0.0,0.0,0.0,0.041931596,0.0,0.0,0.042079996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025585763,0.0,0.0,0.0,0.028708478,0.0,0.039614372,0.0,0.04913049,0.0,0.0,0.0,0.04187036,0.0,0.0,0.057922006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032067776,0.0,0.0,0.0,0.05952268,0.0,0.039493624,0.0,0.048799172,0.0,0.05073406,0.0,0.0,0.06891011,0.0,0.051828347,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.030155916,0.0,0.0,0.0,0.058322225,0.0,0.0,0.0,0.0,0.05391413,0.0,0.03141723,0.0,0.03303774,0.0,0.0,0.0,0.0,0.0,0.0,0.04340197,0.045360092,0.029538903,0.0,0.0,0.07132462,0.0,0.04163717,0.0,0.030294936,0.0434713,0.0,0.0,0.030850008,0.0,0.03641603,0.0,0.0665906,0.0,0.025010599,0.0,0.03597775,0.0,0.0,0.0,0.031664833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04638979,0.0,0.0,0.0,0.06526987,0.0,0.0,0.0,0.033981353,0.0,0.033844057,0.0,0.031529073,0.0,0.0,0.028357623,0.0,0.0,0.022242194,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.041095532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178581,0.058527127,0.03231313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018099986,0.029435985,0.03542387,0.0,0.023558967,0.0,0.0,0.0,0.037104316,0.0,0.044423718,0.0320283,0.0,0.0,0.024011856,0.0,0.035247605,0.0,0.0,0.0,0.021278063,0.0,0.040946007,0.0,0.0,0.044736773,0.019283533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044714667,0.047278974,0.039782614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023983449,0.035685107,0.0,0.021840578,0.0,0.03133054,0.024189254,0.0,0.015187684,0.0,0.044587296,0.044655178,0.017464122,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.03200787,0.0,0.06064193,0.028317723,0.0,0.0,0.027118785,0.0,0.0,0.042410936,0.0,0.0,0.07502203,0.042552162,0.03666918,0.0,0.055166885,0.025798656,0.0,0.0,0.023815636,0.0,0.0,0.037717625,0.024332426,0.0,0.0,0.0,0.07774287,0.0,0.042040825,0.0,0.0488244,0.02828329,0.0,0.0,0.0,0.0,0.0,0.0,0.04284677,0.041137066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03948933,0.0,0.0,0.0,0.0,0.0,0.032561157,0.0,0.05867356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025009079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032393478,0.019426262,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.08903234,0.0,0.0,0.06565623,0.0,0.0,0.0,0.0,0.0,0.0,0.059923552,0.0,0.0,0.0,0.090683356,0.10218749,0.0,0.06795439,0.0,0.076178,0.0,0.0,0.0,0.0,0.0,0.0,0.08848081,0.0663183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07039751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045666166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056056134,0.06560062,0.0,0.0,0.0,0.0,0.0,0.0,0.055865042,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.077127874,0.0424816,0.0,0.0,0.0,0.040034134,0.0,0.0,0.0,0.0,0.07110629,0.09633121,0.051401183,0.0,0.060250975,0.0,0.0,0.0,0.0,0.0,0.0,0.06855401,0.0787862,0.0,0.0,0.0,0.0,0.1460982,0.054364678,0.0,0.03854597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06055784,0.0,0.0,0.0,0.0,0.0,0.0,0.06926427,0.045095563,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
