prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,0.009812179813671773,0.8123550415039062,0.9624828611101423
RA,Log-Std,-0.00958291192032712,0.47490501403808594,0.9624828611101423
RA,ALR,-0.009595351094533355,0.8408222198486328,0.9624828611101423
RA,CLR,0.0007610623261173899,0.9854354858398438,0.9854354858398438
RA,GPTemb,0.06236055951237207,0.058258056640625,0.42745113372802734
Binary,RA,-0.009812179813671773,0.8123550415039062,0.9624828611101423
Binary,Binary,0.0,,
Binary,Log-Std,-0.019395091733998893,0.5458755493164062,0.9624828611101423
Binary,ALR,-0.01940753090820513,0.6742229461669922,0.9624828611101423
Binary,CLR,-0.009051117487554383,0.7561664581298828,0.9624828611101423
Binary,GPTemb,0.0525483796987003,0.06372261047363281,0.42745113372802734
Log-Std,RA,0.00958291192032712,0.47490501403808594,0.9624828611101423
Log-Std,Binary,0.019395091733998893,0.5458755493164062,0.9624828611101423
Log-Std,Log-Std,0.0,,
Log-Std,ALR,-1.2439174206235748e-05,0.8123550415039062,0.9624828611101423
Log-Std,CLR,0.01034397424644451,0.8983173370361328,0.9624828611101423
Log-Std,GPTemb,0.07194347143269919,0.09730720520019531,0.42745113372802734
ALR,RA,0.009595351094533355,0.8408222198486328,0.9624828611101423
ALR,Binary,0.01940753090820513,0.6742229461669922,0.9624828611101423
ALR,Log-Std,1.2439174206235748e-05,0.8123550415039062,0.9624828611101423
ALR,ALR,0.0,,
ALR,CLR,0.010356413420650745,0.8123550415039062,0.9624828611101423
ALR,GPTemb,0.07195591060690543,0.11398696899414062,0.42745113372802734
CLR,RA,-0.0007610623261173899,0.9854354858398438,0.9854354858398438
CLR,Binary,0.009051117487554383,0.7561664581298828,0.9624828611101423
CLR,Log-Std,-0.01034397424644451,0.8983173370361328,0.9624828611101423
CLR,ALR,-0.010356413420650745,0.8123550415039062,0.9624828611101423
CLR,CLR,0.0,,
CLR,GPTemb,0.06159949718625468,0.1893482208251953,0.5680446624755859
GPTemb,RA,-0.06236055951237207,0.058258056640625,0.42745113372802734
GPTemb,Binary,-0.0525483796987003,0.06372261047363281,0.42745113372802734
GPTemb,Log-Std,-0.07194347143269919,0.09730720520019531,0.42745113372802734
GPTemb,ALR,-0.07195591060690543,0.11398696899414062,0.42745113372802734
GPTemb,CLR,-0.06159949718625468,0.1893482208251953,0.5680446624755859
GPTemb,GPTemb,0.0,,
