prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,-0.008158474370730695,0.5478979833969788,1.0
RA,Log-Std,-0.013053038149695162,0.7666987905977294,1.0
RA,ALR,-0.007662533415013439,0.9066497695166618,1.0
RA,CLR,-0.003263289085875476,1.0,1.0
RA,GPTemb,0.06486862058484977,0.05256650934825302,0.15769952804475906
Binary,RA,0.008158474370730695,0.5478979833969788,1.0
Binary,Binary,0.0,,
Binary,Log-Std,-0.004894563778964467,0.6737286209827289,1.0
Binary,ALR,0.0004959409557172556,0.9395183113774692,1.0
Binary,CLR,0.004895185284855219,0.9834906762916944,1.0
Binary,GPTemb,0.07302709495558046,0.000749469854781637,0.011242047821724555
Log-Std,RA,0.013053038149695162,0.7666987905977294,1.0
Log-Std,Binary,0.004894563778964467,0.6737286209827289,1.0
Log-Std,Log-Std,0.0,,
Log-Std,ALR,0.0053905047346817225,0.9066497695166618,1.0
Log-Std,CLR,0.009789749063819686,0.7985112731585104,1.0
Log-Std,GPTemb,0.07792165873454493,0.013149019516276894,0.04930882318603835
ALR,RA,0.007662533415013439,0.9066497695166618,1.0
ALR,Binary,-0.0004959409557172556,0.9395183113774692,1.0
ALR,Log-Std,-0.0053905047346817225,0.9066497695166618,1.0
ALR,ALR,0.0,,
ALR,CLR,0.0043992443291379635,0.9834906762916944,1.0
ALR,GPTemb,0.07253115399986321,0.006844498431746615,0.04473680211958708
CLR,RA,0.003263289085875476,1.0,1.0
CLR,Binary,-0.004895185284855219,0.9834906762916944,1.0
CLR,Log-Std,-0.009789749063819686,0.7985112731585104,1.0
CLR,ALR,-0.0043992443291379635,0.9834906762916944,1.0
CLR,CLR,0.0,,
CLR,GPTemb,0.06813190967072524,0.008947360423917416,0.04473680211958708
GPTemb,RA,-0.06486862058484977,0.05256650934825302,0.15769952804475906
GPTemb,Binary,-0.07302709495558046,0.000749469854781637,0.011242047821724555
GPTemb,Log-Std,-0.07792165873454493,0.013149019516276894,0.04930882318603835
GPTemb,ALR,-0.07253115399986321,0.006844498431746615,0.04473680211958708
GPTemb,CLR,-0.06813190967072524,0.008947360423917416,0.04473680211958708
GPTemb,GPTemb,0.0,,
