g__Acidaminococcus,g__Acinetobacter,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Alloprevotella,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Cronobacter,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Enhydrobacter,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Mitsuokella,g__Morganella,g__Neisseria,g__Odoribacter,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Parvimonas,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Proteus,g__Pseudoflavonifractor,g__Pyramidobacter,g__Raoultella,g__Roseburia,g__Rothia,g__Ruminococcus,g__Shigella,g__Slackia,g__Solobacterium,g__Streptococcus,g__Subdoligranulum,g__Sutterella,g__Turicibacter,g__Veillonella,g__Weissella,g__Anaeroglobus,g__Catenibacterium,g__Butyricimonas,g__Actinobaculum,g__Kocuria,g__Ochrobactrum,g__Pseudoramibacter,g__Synergistes
0.0,0.048381034,0.0,0.0,0.0,0.07788333,0.0,0.0,0.07200336,0.02362505,0.0,0.021410361,0.0,0.019516263,0.0351058,0.018391894,0.0,0.021864058,0.021543277,0.035389554,0.012478265,0.0,0.0,0.0,0.0,0.0,0.016541258,0.0,0.029012164,0.0,0.028988637,0.0,0.01480026,0.013366004,0.013936943,0.023193901,0.0,0.0,0.0,0.0,0.0,0.0,0.017833518,0.0,0.0,0.0,0.03616992,0.0,0.0,0.0,0.02656477,0.0,0.0,0.0,0.0,0.05578515,0.0,0.046091057,0.0,0.0,0.0,0.0,0.0,0.06429564,0.0,0.0,0.0,0.0,0.048665307,0.0,0.032875802,0.0,0.0,0.0,0.057441816,0.016092185,0.0,0.0,0.050753355,0.0,,,,,,,,
0.0,0.0,0.04178658,0.0,0.0,0.09354613,0.0,0.0,0.016621575,0.0,0.033376828,0.029926678,0.0,0.014663096,0.0,0.020531638,0.0,0.034927726,0.026107848,0.0,0.016744437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024226943,0.0,0.0,0.0,0.017702296,0.02153814,0.010729451,0.0,0.027849387,0.03448659,0.0,0.0302342,0.025885185,0.0,0.035455275,0.0,0.0,0.0,0.034735568,0.017376704,0.0,0.0,0.0,0.039314512,0.0,0.0,0.0,0.063263886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041119464,0.0,0.0,0.0,0.0,0.06618452,0.027205044,0.014607785,0.0,0.0,0.03424272,0.014721069,0.05150473,0.017897034,0.0,0.021487,0.0,,,,,,,,
0.0,0.0,0.052089524,0.0,0.027852144,0.08710979,0.037289403,0.0,0.03671341,0.0,0.026894568,0.016850863,0.0,0.012626186,0.0,0.009734934,0.022861445,0.0,0.014368251,0.03765027,0.015707426,0.0,0.0,0.0,0.0,0.0,0.012988576,0.0,0.019879546,0.0,0.022013731,0.0,0.012743527,0.011472797,0.011992998,0.025519159,0.0,0.04560187,0.0,0.039904866,0.008313698,0.0,0.02072431,0.015023626,0.0,0.023845658,0.021620711,0.022242159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026901484,0.0,0.0,0.061006565,0.0,0.0,0.0,0.0,0.012670128,0.021758713,0.026300052,0.0,0.0,0.029915256,0.01511367,0.060367856,0.013865803,0.0,0.020465016,0.0,,,,,,,,
0.0,0.0,0.05504525,0.0,0.034704052,0.088011324,0.0,0.0,0.03057993,0.02707881,0.02602085,0.023057321,0.0,0.016608723,0.0,0.013320625,0.0,0.031211626,0.019675786,0.0,0.010297509,0.0,0.0,0.0,0.0,0.0,0.015609244,0.0,0.027654264,0.0,0.02308951,0.025128724,0.015151643,0.014269738,0.013357532,0.020643357,0.0,0.0,0.0,0.033018902,0.022019884,0.0,0.019154444,0.0,0.0,0.0,0.029105809,0.0,0.0,0.0,0.0,0.0408952,0.0,0.0,0.0,0.014860715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405179,0.0,0.0,0.0,0.016526785,0.02583437,0.029116625,0.027222352,0.0,0.0,0.026117804,0.067799516,0.038460836,0.0,0.0,0.025299108,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.014411287,0.08596387,0.0,0.0,0.0,0.024079671,0.0,0.019926852,0.0,0.025306227,0.0,0.0402849,0.0,0.0,0.029891249,0.0,0.01196724,0.0,0.0,0.0,0.0,0.0,0.020740638,0.0,0.028823437,0.0,0.032110423,0.0,0.015061095,0.016482217,0.02187853,0.021491142,0.0,0.0,0.0,0.051211905,0.035801154,0.022728946,0.031273674,0.0,0.0,0.0,0.036137145,0.039982162,0.0,0.0,0.0,0.0,0.0,0.022545801,0.0,0.010760304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07138002,0.0,0.0,0.0,0.018009052,0.018944021,0.040109772,0.037813257,0.0,0.0,0.0,0.065462545,0.057668414,0.0,0.0,0.03175307,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.046684768,0.08723702,0.0,0.0,0.054963138,0.0,0.0,0.022230558,0.0,0.01105036,0.0,0.022457795,0.0,0.0,0.026916664,0.013599664,0.013029078,0.0,0.0,0.0,0.0,0.019027062,0.012597868,0.0,0.030010097,0.0,0.0,0.0,0.015382228,0.016160354,0.01167961,0.030158859,0.020341512,0.05031491,0.0,0.025904173,0.021962773,0.0,0.028213106,0.0,0.0,0.0,0.028891249,0.014149946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022082115,0.0,0.01510256,0.0,0.0,0.0,0.0,0.0,0.06253311,0.0,0.0,0.0,0.0,0.07107907,0.024072984,0.019058306,0.0,0.0,0.0,0.06374579,0.056210354,0.0,0.0,0.04315293,0.0,,,,,,,,
0.011052779,0.0,0.0,0.0,0.01921226,0.067952245,0.02467472,0.0,0.055192564,0.0,0.0,0.01991637,0.018491479,0.0076899175,0.013221232,0.033955943,0.0,0.0,0.015589686,0.0,0.010842745,0.0,0.0096126385,0.0,0.0,0.011764849,0.043336947,0.0,0.022614019,0.0,0.0,0.0,0.014673907,0.01027664,0.009347308,0.016566824,0.03559258,0.02664845,0.0,0.016263656,0.012802623,0.012692595,0.0,0.07761759,0.0,0.0,0.015050306,0.0,0.0,0.0,0.0,0.0,0.0,0.014846462,0.0,0.011194399,0.0,0.027799148,0.015784709,0.0,0.017718572,0.0,0.036210142,0.061071206,0.0,0.0,0.014330615,0.0,0.010661011,0.019085044,0.008798389,0.0,0.0,0.0,0.064303294,0.008991478,0.010743523,0.018449226,0.02735991,0.0,,,,,,,,
0.0,0.056151066,0.0,0.0,0.042244732,0.06836524,0.0,0.0,0.06750068,0.0,0.0,0.019575257,0.0,0.010888504,0.0,0.0098540215,0.0,0.0,0.02186758,0.0,0.014772234,0.0,0.0,0.0,0.013372311,0.027427245,0.042270552,0.0,0.014337121,0.0,0.027609844,0.02453238,0.0154014155,0.015246651,0.04182198,0.018233636,0.015387125,0.0,0.010358083,0.0,0.05343553,0.014650794,0.0,0.0,0.0,0.0,0.024592284,0.0,0.0,0.0,0.0,0.0,0.0,0.013246845,0.0,0.011751805,0.0,0.0,0.0,0.018053832,0.0,0.0,0.022724368,0.0366089,0.0,0.0,0.0,0.0,0.06432305,0.0,0.02415223,0.0,0.0,0.016259355,0.054704558,0.041866798,0.0,0.0,0.026411954,0.0,,,,,,,,
0.0,0.0,0.08301792,0.01329966,0.015466959,0.01644877,0.0,0.0,0.050888184,0.0,0.0,0.02198585,0.012527666,0.02113754,0.017270967,0.019394906,0.0,0.0,0.023651652,0.0,0.016648192,0.0,0.01249999,0.0,0.028646573,0.015023532,0.024863575,0.0,0.03403165,0.0,0.0,0.0,0.0178525,0.0134858675,0.01124586,0.026300684,0.0,0.0,0.0,0.0,0.032266844,0.023258025,0.0,0.0,0.0,0.0,0.028343746,0.0,0.0,0.0,0.0,0.0,0.014073759,0.02427417,0.0,0.015150836,0.0,0.02186938,0.0,0.0,0.0,0.0,0.0,0.059929743,0.0,0.0,0.022657959,0.0,0.013401993,0.048422992,0.012916464,0.0,0.0,0.0,0.057669718,0.025007619,0.045619514,0.0,0.059448782,0.0,,,,,,,,
0.0,0.0,0.05506135,0.0,0.02871661,0.06862614,0.0,0.0,0.01617503,0.0,0.0,0.060689434,0.0,0.010389569,0.0,0.010118717,0.0,0.0,0.015752485,0.0,0.015040502,0.0,0.0,0.0,0.0,0.0,0.010847625,0.0,0.01671033,0.0,0.0,0.018700168,0.012329461,0.021746432,0.050809372,0.019433817,0.0,0.0,0.013447208,0.02437753,0.0154937105,0.0,0.023273038,0.05336196,0.023886159,0.0,0.02388764,0.0,0.0,0.0,0.017263118,0.03643991,0.0,0.0,0.0,0.042114653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047045533,0.015954876,0.0,0.0,0.0,0.059304126,0.023070585,0.021120664,0.0,0.0,0.020643443,0.054377872,0.040523533,0.0,0.0,0.013267398,0.0,,,,,,,,
0.0,0.0255476,0.044419337,0.0,0.028679417,0.06903943,0.0,0.0,0.03341198,0.0,0.017291667,0.057452526,0.0,0.008550782,0.0,0.012376335,0.0,0.024296025,0.0,0.0,0.007108331,0.0,0.0,0.0,0.0,0.0,0.050941255,0.0,0.012015607,0.0,0.020113532,0.014498591,0.01102855,0.013904857,0.05099128,0.0,0.028111475,0.01950763,0.0,0.016259374,0.011119861,0.0,0.015537944,0.016633134,0.020159205,0.0,0.019483643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046068948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042695794,0.01826273,0.0,0.0,0.0,0.05826704,0.019950202,0.016421428,0.011737951,0.0,0.015516632,0.04562681,0.04427048,0.020150732,0.0,0.012551906,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.037023153,0.08597567,0.0,0.0,0.056520946,0.0,0.0,0.019020448,0.0,0.013271829,0.018882334,0.037103213,0.0,0.0,0.033610526,0.03577919,0.01836499,0.0,0.011524063,0.0,0.0,0.045209102,0.024415178,0.0,0.0,0.0,0.0,0.0,0.019272946,0.016338114,0.012026393,0.03140703,0.0312623,0.0,0.0,0.0,0.046862718,0.02061948,0.0,0.0,0.0,0.0,0.027193611,0.029192278,0.0,0.0,0.0,0.0,0.0,0.018819526,0.0,0.022396194,0.0,0.01662937,0.0,0.0,0.0,0.0,0.0,0.072067566,0.0,0.0,0.0,0.0,0.017508218,0.0,0.014341323,0.0,0.0,0.0,0.06662294,0.01584219,0.0,0.0,0.08489721,0.0,,,,,,,,
0.03262072,0.0,0.0,0.0,0.042264894,0.074690156,0.0,0.0,0.0,0.0,0.0,0.019692682,0.0,0.018596256,0.0,0.014677742,0.0,0.0,0.024027498,0.0405363,0.015605032,0.0,0.011229689,0.0,0.0,0.013597318,0.046510648,0.0,0.021763867,0.0,0.0,0.0,0.01578626,0.014920582,0.013336586,0.019333068,0.0,0.0,0.0,0.057706334,0.024998942,0.015224093,0.034868427,0.0,0.0,0.0,0.027135292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022081159,0.0,0.019723129,0.0,0.0,0.0,0.0,0.040452514,0.059117,0.0,0.0,0.020354567,0.0,0.053825304,0.053241335,0.028921962,0.0,0.0,0.0,0.06221937,0.014104611,0.0,0.0,0.02683665,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.055959,0.020117626,0.0,0.0,0.07363637,0.0,0.0,0.018707326,0.02204231,0.028389368,0.0,0.024254458,0.0,0.0,0.021242373,0.032983463,0.022876667,0.033795066,0.0,0.0,0.0,0.035489503,0.04894535,0.0,0.0,0.0,0.0,0.0,0.03286032,0.016589703,0.015130327,0.023061741,0.0,0.0,0.0,0.0,0.024895601,0.026770165,0.035666507,0.0,0.0,0.0,0.02225468,0.0,0.0,0.0,0.0,0.0,0.0,0.02480585,0.0,0.06498959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074295215,0.0,0.0,0.0,0.0,0.019362153,0.0,0.015446663,0.0,0.0,0.03132332,0.066034205,0.018950997,0.0,0.0,0.04912413,0.0,,,,,,,,
0.0,0.0,0.0,0.013097853,0.036520872,0.02209151,0.0,0.0,0.071052656,0.025560593,0.0,0.016969033,0.0,0.015274678,0.017633175,0.012058871,0.0,0.0,0.022534931,0.017246729,0.01852906,0.0,0.014103384,0.0,0.02648015,0.0585414,0.015324166,0.0,0.0212165,0.0,0.0,0.0,0.01924548,0.015208257,0.014188555,0.023500675,0.016903939,0.0,0.0,0.0,0.057187885,0.019521074,0.0,0.0966932,0.0,0.0,0.015275948,0.023856578,0.0,0.0,0.0,0.0,0.0,0.021190554,0.0,0.011519716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011822824,0.0,0.0,0.0,0.0,0.029442161,0.05345318,0.014772309,0.0,0.0,0.029394444,0.056299053,0.011341597,0.0,0.0,0.03494702,0.0,,,,,,,,
0.037957206,0.0,0.060165096,0.0,0.0,0.090296954,0.0,0.0,0.053328946,0.0,0.0,0.019471109,0.0,0.023416955,0.019430654,0.017397813,0.0,0.034891736,0.020532245,0.0,0.012100197,0.0,0.0,0.0,0.0,0.021216873,0.0,0.0,0.042265832,0.0,0.0,0.0,0.017392922,0.015584408,0.014656227,0.031368636,0.0,0.0,0.0,0.0,0.031376027,0.012585039,0.031385712,0.0,0.0,0.0,0.03778051,0.01504858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048949257,0.025489962,0.0,0.0,0.0,0.08004505,0.040518284,0.03567146,0.0,0.0,0.0,0.045233287,0.027894959,0.0,0.0,0.025795449,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.030731574,0.08233371,0.0,0.0,0.0,0.025328754,0.0,0.020415906,0.0,0.014834591,0.018958673,0.023495203,0.0,0.0,0.024604239,0.03324428,0.015830949,0.0,0.0,0.0,0.0,0.0,0.03301926,0.0,0.025711035,0.0,0.0,0.0,0.020556029,0.0155849075,0.015091901,0.028964577,0.0,0.0,0.02129779,0.0,0.048335206,0.023478838,0.0,0.0,0.0,0.0,0.043966495,0.0,0.0,0.0,0.0,0.0,0.0,0.028257819,0.0,0.0151826935,0.0,0.04468517,0.0,0.0,0.0,0.0458137,0.0,0.080016844,0.0,0.0,0.0,0.0,0.0172123,0.0,0.014735462,0.0,0.0,0.0,0.0802709,0.026025657,0.0,0.0,0.08201552,0.0,,,,,,,,
0.0,0.03831614,0.0,0.0,0.01956898,0.081227325,0.0,0.0,0.06614374,0.017964665,0.0,0.0158677,0.0,0.012645161,0.013401406,0.011427277,0.015570007,0.0,0.018879842,0.0,0.014603141,0.0,0.0,0.0,0.022478703,0.012602183,0.049083922,0.02616683,0.024137078,0.0,0.0,0.030482443,0.012509452,0.01201423,0.07679973,0.019326827,0.0,0.0,0.0,0.0,0.02410871,0.0,0.028134324,0.0,0.0,0.0,0.02738477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010992982,0.0,0.0,0.0,0.0,0.0,0.049797837,0.0,0.013072223,0.0,0.0,0.0,0.0,0.071519114,0.043825556,0.021016555,0.0116557395,0.0,0.0,0.044699315,0.011728593,0.0,0.0,0.03084748,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.019953825,0.0,0.0,0.06327559,0.028596314,0.0,0.019448832,0.0,0.023051307,0.018760294,0.028204782,0.0,0.0,0.023902798,0.046529572,0.020115372,0.0,0.014165407,0.0,0.0,0.021079296,0.019275097,0.0,0.030701194,0.0,0.0,0.0,0.015395197,0.0154146785,0.019279864,0.0,0.0,0.035804823,0.0,0.053154487,0.027863821,0.022794958,0.033316553,0.0,0.0,0.0,0.028102286,0.0,0.0,0.0,0.0,0.0,0.022631077,0.023624852,0.0,0.020904286,0.0,0.020030946,0.0,0.0,0.0,0.0,0.0,0.08431389,0.0,0.0,0.0,0.0,0.012932547,0.0,0.01530967,0.0,0.0,0.03641794,0.061668403,0.021428542,0.0,0.0,0.052551463,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.035016213,0.02989817,0.0,0.0,0.014192797,0.018532803,0.0,0.025224531,0.020867433,0.013032607,0.014982928,0.011047266,0.0,0.025746362,0.021948496,0.036229003,0.013512516,0.0,0.010974826,0.0,0.0,0.07160575,0.015645238,0.0,0.0,0.0,0.0,0.0,0.01446397,0.011530864,0.0113618625,0.027961224,0.0,0.0,0.0,0.0,0.033958778,0.01944192,0.022746343,0.09840726,0.0,0.0,0.028158588,0.02280531,0.0,0.0,0.0,0.0,0.014357743,0.021911146,0.015215038,0.014199548,0.012755587,0.04307628,0.0,0.0,0.0,0.011462777,0.0,0.008684168,0.0,0.0,0.0,0.0,0.01163931,0.059971545,0.012170817,0.0,0.0,0.0,0.023440307,0.014479514,0.0,0.0,0.06734319,0.0,,,,,,,,
0.0,0.0,0.0,0.011080077,0.0,0.014569927,0.0,0.0,0.048454117,0.026264949,0.0,0.015972655,0.016502667,0.023812592,0.015546333,0.027812101,0.0,0.0,0.018456653,0.026550455,0.016598757,0.0,0.0,0.0,0.035507005,0.0,0.013077164,0.0,0.02779756,0.0,0.0,0.0,0.01668503,0.015299452,0.012177997,0.02895234,0.036472645,0.0,0.0,0.0,0.039314654,0.0,0.0,0.0,0.0,0.0,0.020537725,0.019582488,0.0,0.0,0.0,0.0,0.011923155,0.019506264,0.018068742,0.019605186,0.0,0.041652303,0.0,0.0,0.0,0.0,0.0,0.08107075,0.0,0.0,0.0,0.0,0.019139541,0.06654644,0.013031403,0.0,0.0,0.0,0.041103203,0.021848183,0.034718443,0.0,0.08476109,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.051406562,0.07823278,0.0,0.0,0.064293355,0.027407857,0.0,0.01732937,0.033983216,0.016901774,0.01364511,0.02365692,0.0,0.0,0.017912507,0.014867911,0.012618002,0.0,0.009333437,0.0,0.0,0.03702109,0.0,0.0,0.028166711,0.0,0.0314615,0.0,0.015161231,0.0127621265,0.011442128,0.013156843,0.0,0.0,0.0,0.04775524,0.014519636,0.014487711,0.026633976,0.0,0.0,0.0,0.026565708,0.02465858,0.0,0.0,0.0,0.0,0.0,0.014354623,0.0,0.050825987,0.0,0.020690883,0.0,0.0,0.0,0.0,0.0,0.061260734,0.0,0.0,0.0,0.0,0.011415508,0.04298285,0.010295094,0.0,0.0,0.0,0.06566189,0.010488787,0.0,0.0,0.026642384,0.0,,,,,,,,
0.0,0.0,0.07493079,0.0,0.024456784,0.01929842,0.0,0.0,0.05359049,0.031145334,0.0,0.023601677,0.0,0.03217816,0.0,0.02257651,0.0,0.0,0.026840445,0.03601448,0.019863382,0.0,0.011926078,0.0,0.0,0.024139898,0.020137731,0.0,0.041685894,0.0,0.0,0.0,0.018364327,0.015934365,0.018818906,0.02592388,0.0,0.0,0.0,0.04927379,0.031089447,0.025867186,0.0,0.0,0.0,0.0,0.02454289,0.029615037,0.0,0.0,0.0,0.0,0.0,0.021171752,0.0,0.009900969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07336743,0.0,0.0,0.0,0.0,0.013614895,0.03663062,0.031082455,0.0,0.0,0.0,0.054030515,0.03605739,0.0,0.0,0.02232808,0.0,,,,,,,,
0.024714695,0.0,0.08033919,0.0,0.0,0.05185036,0.0,0.0,0.030754488,0.017536966,0.0,0.019503057,0.0,0.012587977,0.0,0.016308527,0.0,0.02451912,0.021893965,0.016076932,0.015196324,0.0,0.010087392,0.0,0.0,0.027998256,0.013463499,0.025861572,0.023118954,0.0,0.0,0.0,0.014588753,0.012352544,0.027772361,0.025926068,0.030734498,0.0,0.0,0.0,0.0344068,0.0,0.0,0.0,0.0,0.0,0.035327468,0.0,0.0,0.0,0.0,0.0,0.017814254,0.0153654255,0.0,0.013690504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06909026,0.0,0.0,0.030692339,0.0,0.033994477,0.049944215,0.012218772,0.0,0.0,0.0,0.063716166,0.012638146,0.0,0.0,0.06791572,0.0,,,,,,,,
0.0,0.0,0.06272538,0.0,0.0,0.07712565,0.0,0.0,0.07467044,0.019708889,0.0,0.025017522,0.0,0.017336003,0.015700065,0.016727012,0.0,0.0,0.025014037,0.015604977,0.018939218,0.0,0.0109483665,0.014694955,0.0,0.018248335,0.020413961,0.0,0.027105419,0.0,0.029390119,0.0,0.013914163,0.013330165,0.013353146,0.01881014,0.0,0.0,0.013774915,0.033400264,0.021391058,0.018610157,0.023474032,0.023380563,0.0,0.0,0.02608944,0.012530696,0.0,0.0,0.0,0.0,0.0,0.019686539,0.0,0.0113772545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06767947,0.0,0.0,0.0,0.0,0.016125858,0.03092263,0.010825817,0.0,0.0,0.0,0.06567981,0.016059663,0.0,0.0,0.040213928,0.0,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.08451393,0.0,0.0,0.061152812,0.02212394,0.0,0.022284498,0.0,0.01527767,0.014731012,0.01780582,0.023311885,0.0,0.020196348,0.01991861,0.013644817,0.0,0.0,0.0,0.0,0.0,0.033858877,0.0,0.031595714,0.0,0.0,0.0,0.022968546,0.016228117,0.014002482,0.024350038,0.0,0.036820993,0.0,0.048700746,0.01717331,0.015066308,0.0,0.0,0.0,0.0,0.030583726,0.03101945,0.0,0.0,0.0,0.0,0.0,0.016794244,0.0,0.053927287,0.0,0.03733738,0.0,0.0,0.0,0.0,0.0,0.06680516,0.0,0.0,0.0,0.0,0.014465666,0.035389222,0.021532092,0.0,0.0,0.0,0.067677915,0.014665386,0.0,0.0,0.034075987,0.0,,,,,,,,
