g__Abiotrophia,g__Actinomyces,g__Akkermansia,g__Alistipes,g__Anaerofustis,g__Anaerorhabdus,g__Anaerosinus,g__Anaerotruncus,g__Atopobium,g__Bacillus,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bulleidia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Christensenella,g__Cloacibacillus,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coriobacterium,g__Cytophaga,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Enterococcus,g__Faecalibacterium,g__Gemmiger,g__Granulicatella,g__Hespellia,g__Holdemania,g__Lachnospira,g__Lactobacillus,g__Lactonifactor,g__Leuconostoc,g__Limnobacter,g__Megamonas,g__Neisseria,g__Odoribacter,g__Olsenella,g__Papillibacter,g__Parabacteroides,g__Paraprevotella,g__Pediococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Pseudomonas,g__Pyramidobacter,g__Roseburia,g__Rothia,g__Ruminococcus,g__Selenomonas,g__Sporobacter,g__Streptococcus,g__Subdoligranulum,g__Succinispira,g__Sutterella,g__Weissella,g__Acidaminococcus,g__Acinetobacter,g__Bilophila,g__Campylobacter,g__Catenibacterium,g__Coprococcus,g__Cronobacter,g__Finegoldia,g__Herbaspirillum,g__Lactococcus,g__Mitsuokella,g__Mobiluncus,g__Parvimonas,g__Pectinatus,g__Peptoniphilus,g__Peptostreptococcus,g__Proteus,g__Rhodopseudomonas,g__Robinsoniella,g__Slackia,g__Streptobacillus,g__Succinatimonas,g__Synergistes,g__Uruburuella,g__Victivallis,g__Actinobacillus,g__Adlercreutzia,g__Aggregatibacter,g__Allobaculum,g__Anaerostipes,g__Blautia,g__Corynebacterium,g__Fusobacterium,g__Geobacter,g__Haemophilus,g__Lachnobacterium,g__Megasphaera,g__Methanobrevibacter,g__Mogibacterium,g__Morganella,g__Oribacterium,g__Oxalobacter,g__Paracoccus,g__Peptococcus,g__Plesiomonas,g__Providencia,g__Pseudobutyrivibrio,g__Rhodococcus,g__Serratia,g__Staphylococcus,g__Thermomonas,g__Turicibacter,g__Varibaculum,g__Veillonella,g__Alcanivorax,g__Anaerococcus,g__Deinococcus,g__Inquilinus,g__Lysobacter,g__Ochrobactrum,g__Ralstonia,g__Salinibacter,g__Methanosphaera,g__Succinivibrio,g__Treponema
0.0,0.0,0.0,0.09618189,0.0,0.0,0.0,0.0,0.0,0.0,0.0800787,0.0,0.07684315,0.0,0.095852375,0.0,0.0,0.0,0.0,0.1368475,0.0,0.0,0.0,0.12832525,0.0,0.0,0.08619052,0.0,0.0,0.0,0.107744485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09497015,0.0,0.0,0.0,0.0,0.096966,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.061686434,0.0,0.0,0.07138121,0.0,0.0,0.0,0.0626764,0.0,0.0,0.0,0.048741758,0.0,0.0,0.0,0.0,0.06240025,0.0,0.0,0.0,0.0,0.123623215,0.0,0.06445638,0.0,0.0,0.0,0.05591335,0.041656855,0.0,0.0,0.0,0.03744124,0.0,0.0,0.0,0.0,0.0,0.0,0.057811175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03189283,0.0,0.039340865,0.0,0.065264486,0.06164156,0.078783266,0.035288736,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091641374,0.070561275,0.0,0.057594255,0.0,0.0,0.06461962,0.0,0.0,0.0,0.06907685,0.058734503,0.0,0.0,0.02627502,0.0,0.0,0.0,0.0,0.04808306,0.0,0.0,0.0,0.0,0.07310915,0.0,0.03366051,0.0,0.0,0.0,0.03511971,0.026190672,0.0,0.0,0.0,0.0,0.0,0.025970059,0.0,0.0,0.0,0.0,0.052853126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023988947,0.0,0.031765755,0.0,0.033805624,0.07431771,0.0,0.023253988,0.0,0.07937871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.06687861,0.0,0.0,0.13169624,0.0,0.0,0.0,0.07929128,0.096239865,0.051752754,0.0,0.043492686,0.0,0.0,0.0,0.0,0.060089238,0.0,0.0,0.0,0.049635552,0.0,0.0,0.06177951,0.0,0.0,0.0,0.04942666,0.0,0.0,0.0,0.0,0.0,0.0,0.036017276,0.0,0.0,0.0,0.0,0.10650279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03596121,0.0,0.042224657,0.0,0.0,0.08901165,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.053507563,0.0,0.0,0.0,0.0,0.0,0.0,0.03773823,0.050586462,0.04806341,0.0,0.051929954,0.0,0.0,0.033604328,0.04910188,0.040035248,0.0,0.0,0.0,0.051751815,0.046665367,0.0,0.02253781,0.0,0.0,0.0,0.033923186,0.03109524,0.0,0.028182037,0.09047698,0.0,0.0,0.028257066,0.0,0.0,0.0,0.0,0.0,0.0,0.07193294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099741064,0.027578987,0.0,0.028957125,0.0,0.0,0.049667586,0.0,0.024665724,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.14311695,0.0,0.0,0.0,0.07425854,0.0,0.05630647,0.0,0.06147419,0.0,0.0,0.0,0.0,0.08677723,0.0,0.0,0.0,0.0,0.0,0.0,0.05431032,0.0,0.0,0.0,0.053055484,0.046349514,0.0,0.0,0.0,0.0,0.0,0.056092024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13279258,0.0,0.0,0.051964507,0.0,0.099783644,0.0,0.0,0.08371851,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.08143024,0.0,0.0,0.0,0.0,0.0,0.0,0.078581356,0.0,0.06802183,0.0,0.06515868,0.0,0.0,0.0,0.0,0.07790297,0.0,0.0,0.0,0.0,0.0,0.0,0.057550807,0.0,0.0846234,0.0,0.08916091,0.0892291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070978075,0.0,0.0,0.0,0.0,0.0766774,0.076837905,0.0,0.083847284,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0715959,0.0,0.0,0.09068629,0.09334295,0.0,0.0,0.07820473,0.0,0.05496361,0.0,0.080773145,0.0,0.0,0.0,0.0,0.069921166,0.0,0.0,0.0,0.0,0.0,0.0,0.048562057,0.0,0.10381042,0.0,0.06227236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046834584,0.0,0.05800694,0.0,0.0,0.072885804,0.06814003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.25483042,0.0,0.0,0.0,0.07659556,0.14153172,0.0,0.0,0.0670465,0.0,0.0,0.0,0.0,0.09644968,0.0,0.0,0.0,0.0,0.0,0.0,0.072797984,0.0,0.0,0.0,0.06878459,0.0,0.0,0.0,0.0,0.0,0.0,0.041072153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06756973,0.0,0.0,0.070165224,0.0,0.043156475,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.049129985,0.0,0.0,0.0,0.0,0.0,0.091997385,0.052162312,0.0,0.0,0.0,0.03800524,0.0,0.0,0.0,0.0,0.05731093,0.0,0.0,0.0,0.0,0.06446806,0.0,0.04450786,0.0,0.0,0.0,0.081373826,0.0,0.0,0.0,0.0,0.0,0.0,0.027517194,0.0,0.0,0.0,0.0,0.107013375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807018,0.052716363,0.05423974,0.060733143,0.05199741,0.046493266,0.06867251,0.02385433,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
