g__Acidaminococcus,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Alloscardovia,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyrivibrio,g__Catenibacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Corynebacterium,g__Cronobacter,g__Desulfovibrio,g__Dialister,g__Dorea,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Gardnerella,g__Gemella,g__Gordonibacter,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Marvinbryantia,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Mitsuokella,g__Odoribacter,g__Olsenella,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Parvimonas,g__Pediococcus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Prevotella,g__Propionibacterium,g__Pseudoflavonifractor,g__Pseudomonas,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Slackia,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Sutterella,g__Turicibacter,g__Veillonella,g__Alloprevotella,g__Brachyspira,g__Butyricicoccus,g__Butyricimonas,g__Hafnia,g__Pyramidobacter,g__Ralstonia,g__Selenomonas,g__Succinatimonas,g__Aggregatibacter,g__Eikenella
0.0,0.05039005,0.013427082,0.0,0.05081971,0.0,0.032180432,0.029756995,0.0,0.025455298,0.020397339,0.01206886,0.02978086,0.015086374,0.0,0.0,0.0,0.028840074,0.012404978,0.017276429,0.0,0.012601723,0.0,0.0,0.0,0.0,0.0103460895,0.025943903,0.0,0.026919322,0.022677368,0.014005783,0.020905768,0.0,0.0,0.0,0.04567057,0.0,0.0,0.0,0.021588359,0.0,0.02195611,0.024739256,0.03268831,0.0,0.0,0.0,0.016624732,0.0,0.0,0.032129716,0.0,0.0,0.0,0.019055162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0871,0.02266782,0.04273001,0.013663137,0.0,0.0,0.0,0.01120919,0.010865548,0.04515984,0.0,0.080867834,,,,,,,,,,,
0.0,0.0,0.012828943,0.015110406,0.033480946,0.0,0.011267163,0.026305748,0.0,0.064654976,0.019659154,0.010186104,0.027612938,0.020640174,0.0,0.0,0.0,0.026384935,0.014093457,0.019406626,0.028820846,0.012847775,0.0,0.0,0.0,0.0,0.012263179,0.027658153,0.0,0.026661923,0.026822338,0.01356293,0.018707559,0.0,0.0,0.0,0.03912755,0.013316122,0.03808325,0.04154754,0.01571466,0.0,0.066709146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04302247,0.0,0.034806784,0.0,0.0,0.0,0.049136292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013209898,0.049756434,0.012928575,0.0,0.0,0.0,0.026348503,0.010423094,0.0,0.0,0.07689348,,,,,,,,,,,
0.0,0.0,0.014797059,0.014526523,0.07543017,0.0,0.06564765,0.0,0.0,0.03470232,0.0,0.020949673,0.0,0.018826073,0.0,0.0,0.0,0.036577333,0.015331761,0.023653785,0.0,0.015268713,0.0,0.0,0.0,0.033722296,0.014820175,0.027576344,0.0,0.0,0.0,0.01846707,0.022522494,0.0,0.0,0.0,0.0,0.014872087,0.0,0.044254985,0.020717358,0.0,0.07410989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038796198,0.0,0.050512753,0.0,0.02895326,0.024887266,0.0,0.0,0.0,0.0,0.0,0.0,0.028743604,0.0,0.0,0.012790071,0.049933724,0.017584218,0.0,0.0,0.0,0.06761066,0.012675112,0.0,0.0,0.06073935,,,,,,,,,,,
0.0,0.050297193,0.0,0.020905701,0.058781587,0.0,0.026894836,0.0,0.022830196,0.06418901,0.0,0.0093884235,0.0,0.017577475,0.0,0.0,0.0,0.020043815,0.0138673,0.016106408,0.0,0.011942707,0.0,0.0,0.0,0.0,0.009185063,0.02250644,0.0,0.019975154,0.020599471,0.012117546,0.010646761,0.01941875,0.0,0.0,0.036640044,0.0,0.027929053,0.0,0.020809248,0.0,0.047425397,0.024517074,0.026586749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021737149,0.036994968,0.0,0.0568212,0.018612565,0.0,0.0,0.0,0.0,0.024755161,0.0,0.0,0.0,0.0,0.016561568,0.030402662,0.010619601,0.0,0.0,0.0,0.054600354,0.012446632,0.02850546,0.0,0.056761306,,,,,,,,,,,
0.0,0.060356542,0.0,0.0,0.0,0.0,0.026799113,0.0,0.02455003,0.059264075,0.0,0.016980775,0.030702287,0.015848419,0.0,0.0,0.0,0.02751745,0.016270824,0.01819231,0.0,0.0,0.0,0.0,0.0,0.0,0.05794626,0.027121644,0.0,0.024347488,0.019560032,0.0,0.05089052,0.031623263,0.0,0.0,0.0349863,0.0,0.03958891,0.0,0.0,0.0,0.0,0.032985203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045589637,0.0,0.055447616,0.032743752,0.0,0.0,0.0,0.028976372,0.041160606,0.0,0.0,0.0,0.081060454,0.019343397,0.0,0.0,0.0,0.0,0.0,0.038335565,0.02098364,0.0,0.020827502,0.0,,,,,,,,,,,
0.0,0.05227075,0.014007644,0.033797447,0.058008563,0.0,0.049900416,0.0,0.028063452,0.057161983,0.0,0.01362298,0.0,0.019795597,0.0,0.0,0.0,0.025753964,0.02294743,0.011973196,0.0,0.011518141,0.0,0.0,0.0,0.0,0.012126448,0.025343537,0.0,0.0,0.01727056,0.012757859,0.016675115,0.0,0.0,0.0,0.033905797,0.011864021,0.037249584,0.0,0.020539137,0.0,0.044329695,0.021814888,0.0,0.0,0.021945484,0.023529725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028843392,0.0,0.046677794,0.0,0.0,0.07270175,0.031779677,0.03343763,0.014920155,0.0,0.014927691,0.0,0.019697083,0.018935181,0.0,0.019906247,0.0,,,,,,,,,,,
0.0,0.0,0.023115749,0.0,0.06507443,0.0,0.019476395,0.0,0.0,0.069026604,0.0,0.0,0.0,0.018706733,0.0,0.023725117,0.0,0.037451718,0.023582475,0.0,0.0,0.02082883,0.0,0.0,0.0,0.0,0.015459859,0.0,0.0,0.029997965,0.0,0.018124862,0.014779524,0.0,0.0,0.0,0.0,0.0,0.05234973,0.0,0.0,0.0,0.0,0.03010721,0.043413453,0.0,0.0,0.0,0.026750576,0.0,0.0,0.0,0.0,0.057871114,0.0,0.058377676,0.02856091,0.0,0.0,0.0,0.0,0.019534808,0.052095745,0.0,0.0,0.0,0.032741576,0.056366157,0.019360255,0.0,0.0,0.0,0.055647757,0.014742867,0.0,0.0,0.07272998,,,,,,,,,,,
0.0,0.0,0.011022364,0.035570204,0.04085361,0.0,0.044641837,0.0,0.0,0.059609972,0.029696899,0.011068815,0.0,0.018563248,0.0,0.0,0.0,0.0,0.014093193,0.0,0.0,0.0115401065,0.0,0.0,0.0,0.010732309,0.010314201,0.035099458,0.028667022,0.020852447,0.012943201,0.011185712,0.010436317,0.0,0.0,0.0,0.0,0.010040879,0.0,0.0,0.018570306,0.0,0.06715246,0.02363333,0.031501308,0.0,0.0,0.0,0.018314887,0.033721704,0.03292313,0.0,0.0,0.0,0.0,0.036856785,0.0,0.039617203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08228419,0.017289681,0.038950793,0.011391495,0.0,0.0,0.0,0.057754118,0.009204609,0.0,0.0,0.05390225,,,,,,,,,,,
0.0,0.061900366,0.023948113,0.0,0.054399326,0.0,0.021833198,0.0,0.0,0.059203777,0.0441948,0.025872605,0.0,0.02260727,0.0,0.0,0.0,0.049408708,0.02054549,0.0,0.0,0.01899977,0.0,0.0,0.0,0.0,0.015854767,0.05159626,0.0,0.0,0.0,0.020917753,0.026724255,0.0,0.0,0.0,0.048872687,0.02419768,0.05602005,0.0,0.052279044,0.0,0.05681145,0.044082772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043855894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036010303,0.0,0.0,0.053672526,0.0,0.018662637,0.0,0.0,0.0,0.020601224,0.026927328,0.0,0.0,0.0,,,,,,,,,,,
0.0,0.0,0.019091362,0.03826059,0.026696347,0.0,0.059398316,0.030917726,0.0,0.0383309,0.0,0.01637745,0.034934636,0.017569883,0.0,0.0,0.0,0.027512103,0.019609228,0.0,0.0,0.014973757,0.0,0.0,0.0,0.0,0.050475918,0.026522843,0.0,0.0,0.034697723,0.01711755,0.01550369,0.039103515,0.0,0.0,0.0,0.015120227,0.0,0.0,0.020101342,0.0,0.059324685,0.037083153,0.0,0.0,0.022490647,0.0,0.0,0.0,0.0,0.0,0.0,0.029055715,0.0,0.0476824,0.029005144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023353938,0.0,0.02192341,0.0,0.0145260645,0.0,0.0,0.0,0.04668874,0.011990587,0.056981705,0.03757865,0.0,,,,,,,,,,,
