g__Acidaminococcus,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Alloprevotella,g__Anaeroglobus,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacteroides,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Campylobacter,g__Catenibacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Desulfovibrio,g__Dialister,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Enterobacter,g__Enterococcus,g__Escherichia,g__Eubacterium,g__Faecalibacterium,g__Flavonifractor,g__Fusobacterium,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lactobacillus,g__Lactococcus,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Odoribacter,g__Oscillibacter,g__Oxalobacter,g__Parabacteroides,g__Paraprevotella,g__Parasutterella,g__Peptostreptococcus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudoflavonifractor,g__Roseburia,g__Rothia,g__Ruminococcus,g__Scardovia,g__Slackia,g__Staphylococcus,g__Streptococcus,g__Subdoligranulum,g__Sutterella,g__Turicibacter,g__Veillonella,g__Weissella,g__Abiotrophia,g__Actinobaculum,g__Aggregatibacter,g__Anaerococcus,g__Anaerofustis,g__Cellulosilyticum,g__Corynebacterium,g__Cronobacter,g__Eikenella,g__Finegoldia,g__Gemella,g__Gordonibacter,g__Hafnia,g__Leuconostoc,g__Mitsuokella,g__Morganella,g__Olsenella,g__Parvimonas,g__Pediococcus,g__Providencia,g__Pseudomonas,g__Raoultella,g__Shigella,g__Solobacterium,g__Stenotrophomonas,g__Cetobacterium,g__Neisseria,g__Peptoniphilus,g__Plesiomonas,g__Pyramidobacter,g__Selenomonas,g__Synergistes,g__Thauera,g__Lachnoanaerobaculum,g__Methanosphaera
0.0,0.0,0.0,0.0,0.043715928,0.018411683,0.0,0.0,0.046400707,0.022196457,0.0,0.021918789,0.0,0.013603162,0.022432067,0.045972396,0.0,0.0,0.0,0.0,0.0,0.0,0.020705184,0.027033443,0.0,0.0,0.0,0.0,0.031606995,0.027247999,0.0,0.03052531,0.037306156,0.0,0.022608878,0.025183083,0.022074362,0.027338155,0.0,0.0,0.048356555,0.017232593,0.0,0.10001363,0.0,0.0,0.0,0.0,0.02543992,0.023989722,0.0,0.024105808,0.0,0.0,0.0,0.0,0.0,0.021660637,0.0,0.0,0.0,0.07320335,0.0,0.016406586,0.0,0.0,0.0,0.041906245,0.017781032,0.0,0.0,0.083623186,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.032392893,0.0,0.0,0.0,0.0,0.0,0.03756128,0.033560824,0.06431898,0.07714712,0.08373343,0.0,0.0,0.03945436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031983223,0.0,0.0,0.0707989,0.0,0.0,0.0,0.0,0.0,0.041250497,0.021314355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052569497,0.0,0.0,0.04442872,0.07017929,0.0731243,0.029955244,0.0,0.0,0.0,0.0,0.0,0.04956316,0.0,0.0,0.0,0.033446092,0.0,0.044073943,0.0,0.0,0.0,0.0,0.024284596,0.044859357,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.036341146,0.0,0.0,0.0,0.0,0.0,0.04848432,0.0,0.0,0.0,0.08274535,0.0,0.0,0.0,0.0,0.0,0.0,0.072550155,0.0,0.0,0.0,0.0,0.0,0.043537006,0.12949301,0.0,0.0,0.0,0.0,0.0,0.059255116,0.040752787,0.07909649,0.0,0.0,0.072561085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061384972,0.0,0.036947194,0.0,0.0,0.0,0.0,0.0,0.0,0.07343912,0.0,0.0,0.054555457,0.0,0.0,0.0,0.0,0.0,0.0,0.057708237,0.0,0.0,0.051148564,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.05346103,0.040276103,0.0,0.0,0.064091004,0.033790246,0.0,0.025856966,0.0,0.013119036,0.019259874,0.026957344,0.0,0.0,0.0,0.0,0.0,0.0,0.03011739,0.025124526,0.0,0.0,0.012637059,0.060203012,0.0434073,0.020292265,0.0,0.0,0.0,0.0,0.016393906,0.016175533,0.024378205,0.049863562,0.0,0.0,0.032529633,0.025609188,0.0,0.0,0.0,0.0,0.027265636,0.0,0.0,0.05104481,0.0,0.031155374,0.0,0.018075243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046427336,0.044219017,0.03825663,0.0,0.0,0.0,0.036508836,0.013835485,0.0,0.0,0.05966847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.039103895,0.028331265,0.0,0.0,0.057394035,0.0,0.0,0.027767252,0.0,0.029981501,0.038711794,0.072794184,0.0,0.0,0.0,0.0,0.0,0.0,0.035676647,0.084439576,0.0,0.0,0.0,0.0,0.031441413,0.037801128,0.0,0.0,0.0,0.0,0.04564223,0.032997884,0.030400105,0.05009016,0.0,0.0,0.0,0.047672745,0.0,0.0,0.0646614,0.0,0.0,0.0,0.04180733,0.03375568,0.0,0.029024012,0.0,0.0,0.0,0.0,0.0,0.033237863,0.0,0.0,0.0,0.029085858,0.0,0.05606365,0.0,0.0,0.0,0.0,0.022118326,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.037157018,0.0,0.0,0.0,0.06558893,0.017301833,0.0,0.0,0.0,0.024104044,0.0,0.017212667,0.0,0.021293817,0.026451241,0.04852759,0.0,0.0,0.0,0.0,0.0,0.0,0.025986036,0.063727714,0.0,0.0,0.015903065,0.0,0.023673823,0.030922424,0.0,0.0,0.0,0.0,0.032168925,0.018449852,0.024627479,0.03368993,0.0,0.0,0.043849085,0.029993601,0.0,0.0,0.0,0.0,0.028919514,0.0,0.0,0.025146816,0.0,0.025387848,0.0,0.034438927,0.0,0.0,0.0,0.087747894,0.0,0.0,0.0,0.04845543,0.0,0.022219887,0.0,0.0,0.0,0.042173196,0.018299438,0.0,0.0,0.066582054,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.04232438,0.026520452,0.0,0.0,0.057642642,0.0,0.0,0.032664217,0.0,0.035510633,0.03428688,0.08109866,0.0,0.0,0.0,0.0,0.0,0.0,0.04493039,0.095853254,0.0,0.0,0.0,0.0,0.03861596,0.05210725,0.0,0.0,0.0,0.0,0.095387,0.041041072,0.021646623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04601724,0.041606076,0.0,0.03279334,0.0,0.046225462,0.0,0.0,0.0,0.02157747,0.0,0.0,0.0,0.04046734,0.0,0.047988296,0.0,0.0,0.0,0.0,0.023695368,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015386154,0.0,0.0,0.01718821,0.0,0.016701553,0.0,0.0,0.05461336,0.02568694,0.0,0.018767206,0.0,0.018189669,0.03319289,0.014599462,0.0,0.0,0.0,0.0,0.0,0.0,0.020815803,0.018903509,0.027674515,0.0,0.016911978,0.0,0.0,0.020162668,0.0,0.027257271,0.0,0.0,0.023268228,0.020279873,0.08425827,0.026865304,0.0,0.0,0.07711675,0.029839266,0.0,0.0,0.0,0.0,0.031240862,0.0,0.02513493,0.024855707,0.0,0.02705322,0.0,0.046394374,0.026914721,0.0,0.049982585,0.06785356,0.0,0.0,0.0,0.034151,0.0,0.03932585,0.0,0.0,0.0,0.0,0.019414283,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.04020191,0.024287343,0.0,0.0,0.0,0.028730506,0.0,0.025419453,0.0,0.051720414,0.025671264,0.031131517,0.0,0.0,0.0,0.0,0.0,0.0,0.035946466,0.035988215,0.0,0.0,0.017895794,0.0,0.031545393,0.021540409,0.0,0.0,0.0,0.0,0.021436129,0.023424132,0.026045771,0.052143056,0.0,0.0,0.07071772,0.036013022,0.0,0.0,0.0,0.0,0.03282455,0.0,0.0,0.053987887,0.0,0.019936714,0.0,0.08506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047032997,0.0,0.0,0.0,0.0,0.0,0.040166687,0.022701547,0.0,0.0,0.098427154,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.033315487,0.0,0.0,0.0,0.048883192,0.017293708,0.0,0.0,0.0,0.029481545,0.0,0.017455816,0.0,0.017217422,0.026936539,0.036068413,0.0,0.0,0.0,0.0,0.033417936,0.0,0.03292652,0.0404818,0.0,0.0,0.015563377,0.0,0.0,0.018775383,0.0,0.0,0.0,0.0,0.0204142,0.0189212,0.025010657,0.03796556,0.0,0.0,0.05235912,0.0,0.0,0.051501658,0.0,0.0,0.026043808,0.0,0.0,0.02331169,0.0,0.02725404,0.0,0.06333322,0.0,0.0,0.0,0.072988436,0.0,0.0,0.025666585,0.024563132,0.0,0.041546308,0.031607315,0.0,0.0,0.039804548,0.015393974,0.0,0.0,0.03449738,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
